seed,layer,left_loop,right_loop,commutator_distance,bootstrap_mean,bootstrap_ci_low,bootstrap_ci_high,edge_quality_passed,stable_noncommuting
0,early,AB_square,AC_square,8.192450674060324e-15,8.192450674060325e-15,8.192450674060324e-15,8.192450674060324e-15,True,False
0,early,AB_square,BC_square,8.192450674060324e-15,8.192450674060325e-15,8.192450674060324e-15,8.192450674060324e-15,True,False
0,early,AB_square,swap_ABC_BAC,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AB_square,swap_ABC_ACB,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AB_square,swap_ACB_CAB,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AB_square,swap_BAC_BCA,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AB_square,swap_BCA_CBA,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AB_square,swap_CAB_CBA,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AC_square,BC_square,8.192450674060324e-15,8.192450674060325e-15,8.192450674060324e-15,8.192450674060324e-15,True,False
0,early,AC_square,swap_ABC_BAC,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AC_square,swap_ABC_ACB,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AC_square,swap_ACB_CAB,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AC_square,swap_BAC_BCA,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AC_square,swap_BCA_CBA,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,AC_square,swap_CAB_CBA,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,BC_square,swap_ABC_BAC,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,BC_square,swap_ABC_ACB,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,BC_square,swap_ACB_CAB,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,BC_square,swap_BAC_BCA,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,BC_square,swap_BCA_CBA,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,BC_square,swap_CAB_CBA,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,9.603778625923267e-15,True,False
0,early,swap_ABC_BAC,swap_ABC_ACB,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ABC_BAC,swap_ACB_CAB,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ABC_BAC,swap_BAC_BCA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ABC_BAC,swap_BCA_CBA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ABC_BAC,swap_CAB_CBA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ABC_ACB,swap_ACB_CAB,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ABC_ACB,swap_BAC_BCA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ABC_ACB,swap_BCA_CBA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ABC_ACB,swap_CAB_CBA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ACB_CAB,swap_BAC_BCA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ACB_CAB,swap_BCA_CBA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_ACB_CAB,swap_CAB_CBA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_BAC_BCA,swap_BCA_CBA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_BAC_BCA,swap_CAB_CBA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,early,swap_BCA_CBA,swap_CAB_CBA,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,1.2948638994598139e-14,True,False
0,mid,AB_square,AC_square,9.098480655879566e-15,9.098480655879567e-15,9.098480655879566e-15,9.098480655879566e-15,True,False
0,mid,AB_square,BC_square,9.098480655879566e-15,9.098480655879567e-15,9.098480655879566e-15,9.098480655879566e-15,True,False
0,mid,AB_square,swap_ABC_BAC,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AB_square,swap_ABC_ACB,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AB_square,swap_ACB_CAB,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AB_square,swap_BAC_BCA,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AB_square,swap_BCA_CBA,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AB_square,swap_CAB_CBA,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AC_square,BC_square,9.098480655879566e-15,9.098480655879567e-15,9.098480655879566e-15,9.098480655879566e-15,True,False
0,mid,AC_square,swap_ABC_BAC,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AC_square,swap_ABC_ACB,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AC_square,swap_ACB_CAB,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AC_square,swap_BAC_BCA,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AC_square,swap_BCA_CBA,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,AC_square,swap_CAB_CBA,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
0,mid,BC_square,swap_ABC_BAC,9.472625472526816e-15,9.472625472526812e-15,9.472625472526816e-15,9.472625472526816e-15,True,False
