seed,order_family,loop_id,left_node,right_node,left_mean_accuracy,right_mean_accuracy,absolute_mean_accuracy_delta,absolute_worst_accuracy_delta,left_first_task_forgetting,right_first_task_forgetting,absolute_forgetting_delta,prediction_disagreement,feature_discrepancy,absolute_ece_delta,parameter_distance,pairwise_transport_residual,inverse_consistency,loop_identity_distance,loop_spectral_radius,loop_singular_spread,loop_commutator_max,loop_stable_nonidentity,order_sensitivity_score
0,AB_vs_BA,0:AB_square,M_AB,M_BA,0.4899999996026357,0.4916666646798451,0.0016666650772094,0.1110000014305114,0.1140000224113464,0.0479999780654907,0.0660000443458557,0.3656666576862335,0.2358749955892563,0.0098626791732385,0.2668303797090925,1.5211026329043214e-07,1.0916357305803841e-14,3.99786509148144e-14,1.0000000000000095,2.688960165642129e-13,9.7880313848179e-15,False,0.102576893156796
0,AC_vs_CA,0:AC_square,M_AC,M_CA,0.4879999955495198,0.4946666558583577,0.0066666603088378,0.1539999842643737,0.1599999964237213,0.1170000433921814,0.0429999530315399,0.426333338022232,0.2563640475273132,0.0035905296583678,0.2798349916597403,1.461575363434831e-07,1.134661821474882e-14,3.2590508600544604e-14,1.00000000000001,2.026157019940911e-13,9.963191657569134e-15,False,0.1155505454221968
0,BC_vs_CB,0:BC_square,M_BC,M_CB,0.4763333251078923,0.4803333381811778,0.0040000130732854,0.038000002503395,0.0339999794960022,0.0540000200271606,0.0200000405311584,0.2726666629314422,0.1784990727901458,0.0031866489783472,0.2069135150399033,1.455108232613428e-07,1.2311149671623521e-14,3.642296968274938e-14,1.0000000000000195,2.4003021792395884e-13,9.521341196242632e-15,False,0.0639443278729624
0,ABC_vs_BAC,0:swap_ABC_BAC,M_ABC,M_BAC,0.4796666800975799,0.4913333257039388,0.0116666456063588,0.0300000011920928,0.1850000023841858,0.0320000052452087,0.152999997138977,0.0860000029206276,0.0889754965901374,0.023178966230868,0.1480386583831089,1.4039317306259054e-07,1.1786397754229212e-14,6.228728667203635e-14,1.0000000000000102,4.3354209111612363e-13,9.863557999235913e-15,False,0.0644769708017196
0,ABC_vs_ACB,0:swap_ABC_ACB,M_ABC,M_ACB,0.4796666800975799,0.4856666723887126,0.0059999922911326,0.0449999868869781,0.1850000023841858,0.1400000154972076,0.0449999868869781,0.2796666622161865,0.1877834647893905,0.0059826068560748,0.2158812937081373,1.451731480514168e-07,1.2053706015206496e-14,4.398232427447336e-14,1.000000000000013,2.7466917629226373e-13,9.963191657569134e-15,False,0.0727529241143392
0,ACB_vs_CAB,0:swap_ACB_CAB,M_ACB,M_CAB,0.4856666723887126,0.4913333257039388,0.0056666533152262,0.0230000019073486,0.1400000154972076,0.062000036239624,0.0779999792575836,0.0526666678488254,0.0748142078518867,0.0077032021993848,0.1270080049575679,1.4508137470133582e-07,1.7793450412887264e-14,4.798362173660664e-14,1.000000000000011,3.071987109137808e-13,9.570684106811055e-15,False,0.0401472261345455
0,BAC_vs_BCA,0:swap_BAC_BCA,M_BAC,M_BCA,0.4913333257039388,0.4976666768391927,0.0063333511352539,0.1489999890327453,0.0320000052452087,0.0499999523162841,0.0179999470710754,0.4169999957084656,0.2516211569309234,0.010151957598282,0.2760508383469718,1.4933576977200946e-07,1.1992526172494717e-14,5.0508491672361344e-14,1.0000000000000129,3.3173463975799677e-13,9.367337120551371e-15,False,0.1084278178339588
0,BCA_vs_CBA,0:swap_BCA_CBA,M_BCA,M_CBA,0.4976666768391927,0.5016666650772095,0.0039999882380167,0.0090000033378601,0.0499999523162841,0.1170000433921814,0.0670000910758972,0.1066666692495346,0.105265200138092,0.0009946523350663,0.1577042192299651,1.5282738088048217e-07,1.1229614681200272e-14,5.5525263295518445e-14,1.000000000000018,3.723688024592775e-13,9.6481557200849e-15,False,0.0434514671978282
0,CAB_vs_CBA,0:swap_CAB_CBA,M_CAB,M_CBA,0.4913333257039388,0.5016666650772095,0.0103333393732706,0.1200000047683715,0.062000036239624,0.1170000433921814,0.0550000071525573,0.3610000014305115,0.234351247549057,0.018650462438624,0.2622018489062904,1.5347607675968953e-07,1.2110671437454432e-14,5.2820074493571634e-14,1.0000000000000322,3.5704772471945034e-13,9.51619795625759e-15,False,0.1045049948697045
1,AB_vs_BA,1:AB_square,M_AB,M_BA,0.4880000054836273,0.487333337465922,0.0006666680177052,0.1080000102519989,0.1020000278949737,0.0370000004768371,0.0650000274181366,0.3686666786670685,0.2302576005458831,0.0012561214195253,0.2631167329232597,1.5634555218224957e-07,1.1479190399485771e-14,2.6585927538379542e-14,1.0000000000000056,1.1957101975212936e-13,9.551112855780551e-15,False,0.1008610689866063
1,AC_vs_CA,1:AC_square,M_AC,M_CA,0.482666661341985,0.4923333426316579,0.0096666812896728,0.1629999876022339,0.1550000011920929,0.1139999628067016,0.0410000383853912,0.4326666593551636,0.2635886371135711,0.0011235572116371,0.277644518718708,1.5517583422563858e-07,1.1303143540424983e-14,2.3420143870433644e-14,1.000000000000006,8.315570454442422e-14,9.475370054363914e-15,False,0.1187486575818981
1,BC_vs_CB,1:BC_square,M_BC,M_CB,0.4733333438634872,0.4826666812102,0.0093333373467127,0.0460000187158584,0.0289999842643737,0.0529999732971191,0.0239999890327453,0.2776666581630707,0.1806718558073043,0.0025085344968829,0.2059143623706851,1.488027685568025e-07,1.2627560832008782e-14,2.2472383137465363e-14,1.000000000000005,7.771561172376097e-14,9.497474392499226e-15,False,0.0685322427219452
