stage,group_seed,family,claim_scope,scramble,method,status,decision,accepted_scramble,maximum_individual_relative_delta_error,maximum_individual_logit_error,maximum_individual_prediction_disagreement,maximum_individual_validation_accuracy_change,relative_delta_change_from_unscrambled,relative_delta_distance_from_oracle,maximum_validation_logit_change,maximum_test_logit_change,test_prediction_disagreement,validation_accuracy,validation_accuracy_change,validation_nll,validation_brier,validation_ece,validation_worst_chart_accuracy,test_accuracy,test_accuracy_change,test_nll,test_brier,test_ece,test_worst_chart_accuracy,unscrambled_validation_accuracy,unscrambled_test_accuracy,merge_seconds,dense_allocation_count,temporary_dense_bytes,stored_factor_bytes,output_rank,output_rank_cap,max_cycle_frobenius_defect,max_cycle_spectral_defect
pilot,0,orthogonal,primary_well_conditioned,0,naive_factor_average,success,factor_average,True,2.1706341095565028e-16,5.329070518200751e-15,0.0,0.0,1.3880576936757547,1.3880576936757547,1.1721743484562266,1.1487730169236205,0.0925,0.5263671875,0.011474609375,1.4849821605084395,0.6577856355461054,0.15113458307983405,0.48046875,0.505875,0.01899999999999996,1.5297870379425966,0.670722847406364,0.13587176926640604,0.464,0.514892578125,0.486875,4.3584033846855164e-05,0,0,4096,4,4,0.0,0.0
pilot,0,orthogonal,primary_well_conditioned,0,full_delta_svd,success,dense_mean_then_deterministic_svd,True,2.1706341095565028e-16,5.329070518200751e-15,0.0,0.0,8.119282348326975e-16,3.567089539046028,5.329070518200751e-15,4.440892098500626e-15,0.0,0.57861328125,0.0,1.2771647455275486,0.5841455365728183,0.10021987055229765,0.5546875,0.548,0.0,1.3162804112080937,0.6012991824131034,0.0751717497031572,0.514,0.57861328125,0.548,0.00036116596311330795,9,294912,4096,4,4,0.0,0.0
pilot,0,orthogonal,primary_well_conditioned,0,canonical_svd_factor_average,success,canonicalize_each_dense_delta_then_factor_average,True,2.1706341095565028e-16,5.329070518200751e-15,0.0,0.0,6.285483481984238e-16,1.680082629420255,1.7763568394002505e-15,2.220446049250313e-15,0.0,0.5283203125,0.0,1.4759171962656454,0.6560209659750068,0.14832087774157465,0.498046875,0.50225,0.0,1.5144974767901487,0.6666630194582754,0.12474681589618988,0.456,0.5283203125,0.50225,0.00143174990080297,8,262144,4096,4,4,0.0,0.0
pilot,0,orthogonal,primary_well_conditioned,0,pairwise_reference_alignment,success,whitened_pairwise_reference_alignment,True,2.1706341095565028e-16,5.329070518200751e-15,0.0,0.0,1.013643597865421e-15,2.1248303033657168,4.440892098500626e-15,3.9968028886505635e-15,0.0,0.537353515625,0.0,1.4122597245618267,0.6298855269783068,0.11038016257702672,0.509765625,0.504,0.0,1.4683861542849008,0.6502149080896338,0.08977112535086763,0.47,0.537353515625,0.504,0.0021479169372469187,0,0,4096,4,4,1.6737828784466902,2.0000000000000018
pilot,0,orthogonal,primary_well_conditioned,0,global_synchronization,success,whitened_orthogonal_global_synchronization,True,2.1706341095565028e-16,5.329070518200751e-15,0.0,0.0,4.478707402514782e-15,3.266957693640782,8.881784197001252e-15,8.881784197001252e-15,0.0,0.536376953125,0.0,1.4048440619849736,0.6275974828929356,0.09471358346531927,0.513671875,0.50275,0.0,1.4644434493370353,0.6496917226977674,0.07355432599027259,0.472,0.536376953125,0.50275,0.0025286669842898846,0,0,4096,4,4,1.6737828784466902,2.0000000000000018
pilot,0,orthogonal,primary_well_conditioned,0,cycle_aware_alignment,success,fallback_full_delta_svd,True,2.1706341095565028e-16,5.329070518200751e-15,0.0,0.0,8.119282348326975e-16,3.567089539046028,5.329070518200751e-15,4.440892098500626e-15,0.0,0.57861328125,0.0,1.2771647455275486,0.5841455365728183,0.10021987055229765,0.5546875,0.548,0.0,1.3162804112080937,0.6012991824131034,0.0751717497031572,0.514,0.57861328125,0.548,0.0028128339909017086,9,294912,4096,4,4,1.6737828784466902,2.0000000000000018
pilot,0,orthogonal,primary_well_conditioned,0,oracle_alignment,success,invert_planted_scramble,True,2.1706341095565028e-16,5.329070518200751e-15,0.0,0.0,2.675527390426147e-16,0.0,1.3322676295501878e-15,1.7763568394002505e-15,0.0,0.514892578125,0.0,1.4930300867493889,0.6607309934659475,0.1343667281375811,0.48046875,0.486875,0.0,1.538706478833139,0.6742760978640931,0.1131940186361433,0.449,0.514892578125,0.486875,0.0003322081174701452,0,0,4096,4,4,0.0,0.0
pilot,0,orthogonal,primary_well_conditioned,1,naive_factor_average,success,factor_average,True,1.9834618620294228e-16,5.329070518200751e-15,0.0,0.0,1.174286876730497,1.1742868767304968,0.6536229295628592,0.6805633864638316,0.063375,0.51953125,0.004638671875,1.4957880509849892,0.6612816462603596,0.144241071627923,0.4921875,0.495375,0.008500000000000008,1.539475339108556,0.6742436923298931,0.12568318214249033,0.458,0.514892578125,0.486875,3.658304922282696e-05,0,0,4096,4,4,0.0,0.0
pilot,0,orthogonal,primary_well_conditioned,1,full_delta_svd,success,dense_mean_then_deterministic_svd,True,1.9834618620294228e-16,5.329070518200751e-15,0.0,0.0,1.726585088471099e-15,3.5670895390460315,9.769962616701378e-15,8.881784197001252e-15,0.0,0.57861328125,0.0,1.2771647455275486,0.5841455365728183,0.1002198705522976,0.5546875,0.548,0.0,1.3162804112080937,0.6012991824131033,0.07517174970315707,0.514,0.57861328125,0.548,0.00041716592386364937,9,294912,4096,4,4,0.0,0.0
pilot,0,orthogonal,primary_well_conditioned,1,canonical_svd_factor_average,success,canonicalize_each_dense_delta_then_factor_average,True,1.9834618620294228e-16,5.329070518200751e-15,0.0,0.0,1.013114295526324e-15,1.6800826294202553,2.6645352591003757e-15,2.6645352591003757e-15,0.0,0.5283203125,0.0,1.4759171962656454,0.6560209659750069,0.14832087774157465,0.498046875,0.50225,0.0,1.514497476790149,0.6666630194582754,0.12474681589618988,0.456,0.5283203125,0.50225,0.0014511249028146267,8,262144,4096,4,4,0.0,0.0
pilot,0,orthogonal,primary_well_conditioned,1,pairwise_reference_alignment,success,whitened_pairwise_reference_alignment,True,1.9834618620294228e-16,5.329070518200751e-15,0.0,0.0,1.1181191082714928e-15,2.124830303365717,3.1086244689504383e-15,3.552713678800501e-15,0.0,0.537353515625,0.0,1.4122597245618265,0.6298855269783068,0.11038016257702671,0.509765625,0.504,0.0,1.4683861542849008,0.6502149080896338,0.08977112535086762,0.47,0.537353515625,0.504,0.002099832985550165,0,0,4096,4,4,1.6737828784466904,2.0000000000000018
pilot,0,orthogonal,primary_well_conditioned,1,global_synchronization,success,whitened_orthogonal_global_synchronization,True,1.9834618620294228e-16,5.329070518200751e-15,0.0,0.0,3.9092050108971356e-15,3.2669576936407836,1.2601031329495527e-14,1.3322676295501878e-14,0.0,0.536376953125,0.0,1.4048440619849734,0.6275974828929355,0.09471358346531933,0.513671875,0.50275,0.0,1.4644434493370353,0.6496917226977673,0.07355432599027263,0.472,0.536376953125,0.50275,0.00270574982278049,0,0,4096,4,4,1.6737828784466904,2.0000000000000018
