claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,median_merge_seconds,p25_merge_seconds,p75_merge_seconds,minimum_merge_seconds,maximum_merge_seconds,maximum_dense_allocation_count,maximum_temporary_dense_bytes,stored_factor_bytes,output_rank_cap,failure_rate
ill_conditioned_boundary,ill_conditioned,0,canonical_svd_factor_average,20,1,0.002854853984899819,0.0028254170902073383,0.002971916750539094,0.002803916810080409,0.004703375045210123,8,262144,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,0,cycle_aware_alignment,6,1,0.002930645481683314,0.002887270471546799,0.002971583104226738,0.002858625026419759,0.0032747918739914894,9,294912,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,0,full_delta_svd,20,1,0.0004814579151570797,0.0004664792213588953,0.0004966254346072674,0.0004583329427987337,0.00135508319362998,9,294912,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,0,global_synchronization,6,1,0.002647458459250629,0.0024985417257994413,0.0029779067845083773,0.0024762919638305902,0.0031469999812543392,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,0,naive_factor_average,20,1,3.939541056752205e-05,3.805197775363922e-05,4.058360354974866e-05,3.2833078876137733e-05,4.5625027269124985e-05,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,0,oracle_alignment,20,1,0.00030425016302615404,0.0002963023725897074,0.0003207501140423119,0.00027770898304879665,0.0006234999746084213,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,0,pairwise_reference_alignment,6,1,0.0021110624074935913,0.002078000456094742,0.0023088123416528106,0.002042042091488838,0.0033659578766673803,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,1,canonical_svd_factor_average,20,1,0.0030461670830845833,0.0028959375340491533,0.003270291199441999,0.0028126670513302088,0.005179499974474311,8,262144,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,1,cycle_aware_alignment,6,1,0.00300745852291584,0.002945625106804073,0.0030606662621721625,0.0029124580323696136,0.0033056249376386404,9,294912,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,1,full_delta_svd,20,1,0.0004944580141454935,0.00048259354662150145,0.0005158647545613348,0.0004681251011788845,0.0005385829135775566,9,294912,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,1,global_synchronization,6,1,0.0026232709642499685,0.0025939063634723425,0.002808791643474251,0.0025784168392419815,0.0028834580443799496,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,1,naive_factor_average,20,1,3.7729041650891304e-05,3.5249919164925814e-05,4.124967381358147e-05,3.379094414412975e-05,4.366692155599594e-05,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,1,oracle_alignment,20,1,0.0003124369541183114,0.0002960417768917978,0.0003303649718873203,0.00028812489472329617,0.000358375022187829,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,1,pairwise_reference_alignment,6,1,0.0020911245374009013,0.002080239646602422,0.002122385485563427,0.002075416035950184,0.002132958034053445,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,2,canonical_svd_factor_average,20,1,0.002935104421339929,0.002888469258323312,0.003089948499109596,0.0028173329774290323,0.005931291030719876,8,262144,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,2,cycle_aware_alignment,6,1,0.0029892915626987815,0.002961937338113785,0.0030215514707379043,0.0029037920758128166,0.003058249829337001,9,294912,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,2,full_delta_svd,20,1,0.0005092710489407182,0.0004866975941695273,0.0005255210562609136,0.00045312498696148396,0.000577916856855154,9,294912,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,2,global_synchronization,6,1,0.0026004165410995483,0.0025921142078004777,0.0027032503276132047,0.0024833339266479015,0.0028750409837812185,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,2,naive_factor_average,20,1,4.0416489355266094e-05,3.550015389919281e-05,4.1374703869223595e-05,3.237510100007057e-05,4.495796747505665e-05,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,2,oracle_alignment,20,1,0.00031716597732156515,0.00030406226869672537,0.0003252814058214426,0.00028675002977252007,0.0009737499058246613,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,2,pairwise_reference_alignment,6,1,0.002117958036251366,0.002088489767629653,0.002188989019487053,0.002058250131085515,0.0022449169773608446,0,0,4096,4,0.0
primary_well_conditioned,dense,0,canonical_svd_factor_average,20,1,0.0014371875440701842,0.0014255211572162807,0.0014982191496528685,0.0014121669810265303,0.001588083105161786,8,262144,4096,4,0.0
primary_well_conditioned,dense,0,cycle_aware_alignment,20,1,0.002804353483952582,0.0027698753401637077,0.0028391145169734955,0.0027517920825630426,0.002887458074837923,9,294912,4096,4,0.0
primary_well_conditioned,dense,0,full_delta_svd,20,1,0.00036006257869303226,0.00034878129372373223,0.00036883371649309993,0.00034445803612470627,0.00125895906239748,9,294912,4096,4,0.0
primary_well_conditioned,dense,0,global_synchronization,20,1,0.0024943125899881124,0.002470635692588985,0.0025705931475386024,0.0024565421044826508,0.002707374980673194,0,0,4096,4,0.0
primary_well_conditioned,dense,0,naive_factor_average,20,1,3.918749280273914e-05,3.8697675336152315e-05,4.0052225813269615e-05,3.479211591184139e-05,4.52499371021986e-05,0,0,4096,4,0.0
