layer,map_family,cycle_residual,closure,inverse_consistency,centrality,distance_to_coboundaries,weighted_hodge_exact,weighted_hodge_residual,residual_rank
early_encoder,orthogonal_procrustes,1.0921929702162743,1.3579857349395752,0.5221619225785856,1.28422090140256,1.107948104540507,0.0,1.0921929702162743,4
middle_encoder,orthogonal_procrustes,1.088528958459695,1.295570969581604,0.6519993301476262,1.3774345029484143,1.0893568495909374,0.0,1.088528958459695,7
bottleneck,orthogonal_procrustes,1.1982022821903229,1.3122410774230957,0.8755524574193672,1.4047107154672795,1.2120519876480103,0.0,1.1982022821903229,14
late_decoder,orthogonal_procrustes,1.004403752585252,1.2679388523101807,0.8228723313616436,1.2025934349406848,0.9290504356225332,0.0,1.004403752585252,5
pre_mask_logits,orthogonal_procrustes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
certificate,all_required_diagnostics,1.1982022821903229,1.3122410774230957,,1.4047107154672795,1.2120519876480103,,,14
