layer,source_expert,target_expert,map_family,fit_error,held_out_fit_error,map_rank,map_norm
early_encoder,0,1,channel_permutation,6.032307440795326,3.464716939792509,4,2.0
early_encoder,0,1,positive_monomial,0.7880639405969454,0.9852416762986393,4,0.1515956785153461
early_encoder,0,1,orthogonal_procrustes,5.968236446380615,3.435763120651245,4,2.0
early_encoder,0,1,block_orthogonal,5.971666342011408,3.4357198782128124,4,1.9999999916641598
early_encoder,0,1,cca_whitened,0.47035330533981323,0.9084494709968567,3,17.784812927246094
early_encoder,0,1,low_rank_subspace,0.47035473585128784,0.9084508419036865,2,17.784812927246094
early_encoder,0,2,channel_permutation,175.66843488532834,100.10190490065791,4,2.0
early_encoder,0,2,positive_monomial,0.8028166195871499,1.0247543494007452,4,1.5989729774338886
early_encoder,0,2,orthogonal_procrustes,175.49331665039062,99.82199096679688,4,2.0
early_encoder,0,2,block_orthogonal,175.5315040285544,99.68726463332341,4,2.000000001100099
early_encoder,0,2,cca_whitened,0.5765668749809265,1.18498957157135,2,0.9907073974609375
early_encoder,0,2,low_rank_subspace,0.5765668153762817,1.18498957157135,2,0.9907074570655823
early_encoder,0,3,channel_permutation,2.797017032203884,2.558018153998066,4,2.0
early_encoder,0,3,positive_monomial,0.620265514415523,1.095375825720787,4,22.228676948106376
early_encoder,0,3,orthogonal_procrustes,2.2005081176757812,2.0361530780792236,4,2.0
early_encoder,0,3,block_orthogonal,2.3034821141771333,2.1086965191460547,4,1.999999963085651
early_encoder,0,3,cca_whitened,0.13112114369869232,0.35557064414024353,4,10.884190559387207
early_encoder,0,3,low_rank_subspace,0.8463083505630493,0.8715367317199707,2,10.839831352233887
early_encoder,1,0,channel_permutation,0.9229348897817665,0.9851008472595824,4,2.0
early_encoder,1,0,positive_monomial,0.784472566093817,1.3498035662913705,4,22.33732643931577
early_encoder,1,0,orthogonal_procrustes,0.9131320118904114,0.9768686294555664,4,2.0
early_encoder,1,0,block_orthogonal,0.9136568967222709,0.9768563096321758,4,1.9999999916641598
early_encoder,1,0,cca_whitened,0.7549877762794495,1.6443531513214111,3,2273.10107421875
early_encoder,1,0,low_rank_subspace,0.7551658153533936,1.6440280675888062,2,2273.100830078125
early_encoder,1,2,channel_permutation,26.650883940856964,28.338066801577217,4,2.0
early_encoder,1,2,positive_monomial,0.8844617749136462,0.9340872637237945,4,49.72784949705414
early_encoder,1,2,orthogonal_procrustes,26.560850143432617,28.376678466796875,4,2.0
early_encoder,1,2,block_orthogonal,26.56132462974133,28.369524148810903,4,2.0000000000794103
early_encoder,1,2,cca_whitened,0.8143334984779358,1.0097163915634155,2,51.46321105957031
early_encoder,1,2,low_rank_subspace,0.8143334984779358,1.0097163915634155,2,51.46321105957031
early_encoder,1,3,channel_permutation,0.7904189355773767,1.0955030361766882,4,2.0
early_encoder,1,3,positive_monomial,0.7693010889168893,1.2167802206253213,4,213.72123507122893
early_encoder,1,3,orthogonal_procrustes,0.7792055606842041,1.0710660219192505,4,2.0
early_encoder,1,3,block_orthogonal,0.8029206055737973,1.0798956158034896,4,2.000000011415869
early_encoder,1,3,cca_whitened,0.7243846654891968,1.5340659618377686,3,742.2615966796875
early_encoder,1,3,low_rank_subspace,0.7246058583259583,1.5326536893844604,2,742.2615966796875
early_encoder,2,0,channel_permutation,0.9999863616471449,0.9999068878808063,4,2.0
early_encoder,2,0,positive_monomial,0.999933511328801,0.999787208901273,4,5.664316440314554
early_encoder,2,0,orthogonal_procrustes,0.9989895224571228,0.9971109628677368,4,2.0
early_encoder,2,0,block_orthogonal,0.9992068801415395,0.9957650841090059,4,2.000000001100099
early_encoder,2,0,cca_whitened,0.8891160488128662,1.4089595079421997,2,226.51223754882812
early_encoder,2,0,low_rank_subspace,0.8891160488128662,1.4089595079421997,2,226.51223754882812
early_encoder,2,1,channel_permutation,0.9915722554104073,0.9955761969469752,4,2.0
early_encoder,2,1,positive_monomial,0.727792100660135,1.3191723532515636,4,51.79440317522206
early_encoder,2,1,orthogonal_procrustes,0.9882224202156067,0.9969326853752136,4,2.0
early_encoder,2,1,block_orthogonal,0.9882401134095908,0.9966813599998507,4,2.0000000000794103
early_encoder,2,1,cca_whitened,0.6074638366699219,1.4265594482421875,2,58.64860916137695
early_encoder,2,1,low_rank_subspace,0.6074638366699219,1.4265594482421875,2,58.64860916137695
early_encoder,2,3,channel_permutation,0.9971171458029354,0.9951867821197443,4,2.0
early_encoder,2,3,positive_monomial,0.9513174446038821,1.1935135685568516,4,46.97656348074225
early_encoder,2,3,orthogonal_procrustes,0.9952684044837952,0.9918935298919678,4,2.0
early_encoder,2,3,block_orthogonal,0.9958744850141207,0.9940960184073425,4,2.0000000038813788
early_encoder,2,3,cca_whitened,0.8720187544822693,1.3948684930801392,2,74.21878051757812
early_encoder,2,3,low_rank_subspace,0.8720187544822693,1.3948686122894287,2,74.21878814697266
early_encoder,3,0,channel_permutation,0.8807275157077212,0.8739991945367658,4,2.0
early_encoder,3,0,positive_monomial,0.4182575651234635,0.8423235773336605,4,12.603771836501991
early_encoder,3,0,orthogonal_procrustes,0.6928982138633728,0.6956933736801147,4,2.0
early_encoder,3,0,block_orthogonal,0.7253227812276613,0.7204793070100302,4,1.999999963085651
early_encoder,3,0,cca_whitened,0.025062451139092445,0.09812197834253311,4,4.000208377838135
early_encoder,3,0,low_rank_subspace,0.03607404977083206,0.10071583837270737,2,3.9970476627349854
early_encoder,3,1,channel_permutation,1.6267326866468885,1.3164611963345847,4,2.0
early_encoder,3,1,positive_monomial,0.754884880258794,0.9473991624160983,4,0.45975905836706643
early_encoder,3,1,orthogonal_procrustes,1.6036548614501953,1.287095308303833,4,2.0
early_encoder,3,1,block_orthogonal,1.6524619251665484,1.297705828172376,4,2.000000011415869
early_encoder,3,1,cca_whitened,0.5161101222038269,0.5924317836761475,3,2.5188138484954834
early_encoder,3,1,low_rank_subspace,0.5161101222038269,0.5924317836761475,2,2.5188138484954834
early_encoder,3,2,channel_permutation,55.155940327188986,34.04041070043176,4,2.0
early_encoder,3,2,positive_monomial,0.9509386072677856,0.9611572248465057,4,0.018665099403531605
early_encoder,3,2,orthogonal_procrustes,55.05366897583008,33.92774963378906,4,2.0
early_encoder,3,2,block_orthogonal,55.08720194022639,34.003101045263705,4,2.0000000038813788
early_encoder,3,2,cca_whitened,0.523961067199707,1.5544662475585938,2,0.1472192406654358
early_encoder,3,2,low_rank_subspace,0.5239611268043518,1.5544662475585938,2,0.1472192406654358
middle_encoder,0,1,channel_permutation,4.8166419918942305,3.144756661322378,8,2.8284271247461903
middle_encoder,0,1,positive_monomial,0.8346489729870118,0.9657335690384387,8,0.19875304198831448
middle_encoder,0,1,orthogonal_procrustes,4.25332498550415,2.904475688934326,8,2.8284270763397217
middle_encoder,0,1,block_orthogonal,4.620596357118636,3.017818566373092,8,2.828427166081809
middle_encoder,0,1,cca_whitened,0.3624670207500458,1.3303886651992798,5,33.270442962646484
middle_encoder,0,1,low_rank_subspace,0.36248624324798584,1.3304022550582886,4,33.270442962646484
middle_encoder,0,2,channel_permutation,148.11361473794176,98.85077824978096,8,2.8284271247461903
middle_encoder,0,2,positive_monomial,0.9710531566477056,0.9486304426925973,8,0.004518125706943206
middle_encoder,0,2,orthogonal_procrustes,147.65675354003906,98.74301147460938,8,2.8284270763397217
middle_encoder,0,2,block_orthogonal,147.6877572241088,98.7176114488539,8,2.8284270944665932
middle_encoder,0,2,cca_whitened,0.34002190828323364,1.645605444908142,5,0.7840920090675354
middle_encoder,0,2,low_rank_subspace,0.34115251898765564,1.6451303958892822,4,0.7840909361839294
middle_encoder,0,3,channel_permutation,3.2116923032893987,3.0772461152297477,8,2.8284271247461903
middle_encoder,0,3,positive_monomial,0.4719798368727895,0.8987973101672396,8,0.44235554385316134
middle_encoder,0,3,orthogonal_procrustes,3.1678993701934814,2.956468105316162,8,2.8284270763397217
middle_encoder,0,3,block_orthogonal,3.2601489926474905,3.0665730380709557,8,2.8284270463389896
middle_encoder,0,3,cca_whitened,0.15211142599582672,0.496430903673172,7,8.977433204650879
middle_encoder,0,3,low_rank_subspace,0.15849578380584717,0.49797454476356506,4,8.97736930847168
middle_encoder,1,0,channel_permutation,0.9923974471714034,1.0333215332262446,8,2.8284271247461903
middle_encoder,1,0,positive_monomial,0.9194020313622463,1.0626933108811039,8,40.52730552805473
middle_encoder,1,0,orthogonal_procrustes,0.8763343095779419,0.9543687105178833,8,2.8284270763397217
middle_encoder,1,0,block_orthogonal,0.9520051356189508,0.9916114907456186,8,2.828427162806879
middle_encoder,1,0,cca_whitened,0.4441504180431366,1.204078197479248,5,99.09385681152344
middle_encoder,1,0,low_rank_subspace,0.4445488452911377,1.2036110162734985,4,99.09381103515625
middle_encoder,1,2,channel_permutation,30.719388444604586,32.67202012916343,8,2.8284271247461903
middle_encoder,1,2,positive_monomial,0.9868515558694417,0.9804191869143579,8,0.03230329064690719
middle_encoder,1,2,orthogonal_procrustes,30.1567325592041,32.248565673828125,8,2.8284270763397217
middle_encoder,1,2,block_orthogonal,30.35708686713265,32.54026460071083,8,2.828427202073839
middle_encoder,1,2,cca_whitened,0.7889549136161804,0.8453025817871094,5,2.6639163494110107
middle_encoder,1,2,low_rank_subspace,0.7889962196350098,0.8452829122543335,4,2.6639163494110107
middle_encoder,1,3,channel_permutation,1.0796524554177866,1.5926843718060166,8,2.8284271247461903
middle_encoder,1,3,positive_monomial,0.8276880839042804,1.3033283521593255,8,1.7926195763307098
middle_encoder,1,3,orthogonal_procrustes,0.7723985314369202,1.5039527416229248,8,2.8284270763397217
middle_encoder,1,3,block_orthogonal,0.9320319605548435,1.5660586233437241,8,2.8284271617273102
middle_encoder,1,3,cca_whitened,0.6359943151473999,1.398563265800476,5,23.780553817749023
middle_encoder,1,3,low_rank_subspace,0.6363075375556946,1.3981598615646362,4,23.780540466308594
middle_encoder,2,0,channel_permutation,1.0005681252251475,0.9986448708007455,8,2.8284271247461903
middle_encoder,2,0,positive_monomial,0.9725072108433419,1.0308898360116554,8,111.18322766574532
middle_encoder,2,0,orthogonal_procrustes,0.9974818825721741,0.9975561499595642,8,2.8284270763397217
middle_encoder,2,0,block_orthogonal,0.9976912918356192,0.9972995639319822,8,2.8284270850555453
middle_encoder,2,0,cca_whitened,0.6841508150100708,1.1066490411758423,5,1489.9757080078125
middle_encoder,2,0,low_rank_subspace,0.6841647624969482,1.1066440343856812,4,1489.9752197265625
middle_encoder,2,1,channel_permutation,1.0072168375647101,1.0045198819017727,8,2.8284271247461903
