draw,family,cycle_residual
0,edge_shuffle,1.3847516775131226
0,matched_norm_coboundary,5.061925838485087e-16
0,matched_fit_random_gauge,1.1991229350281813
0,graph_topology_shuffle,1.4652384217608225
0,activation_bootstrap,1.2658878564834595
1,edge_shuffle,1.2955248355865479
1,matched_norm_coboundary,6.292097678362585e-16
1,matched_fit_random_gauge,1.1904306865153786
1,graph_topology_shuffle,1.4320030956566405
1,activation_bootstrap,1.1002930402755737
2,edge_shuffle,1.4188048839569092
2,matched_norm_coboundary,5.7342526331873e-16
2,matched_fit_random_gauge,1.188773830143129
2,graph_topology_shuffle,1.3770583377926602
2,activation_bootstrap,1.0584158897399902
3,edge_shuffle,1.4188048839569092
3,matched_norm_coboundary,6.602844772716084e-16
3,matched_fit_random_gauge,1.2072720587545964
3,graph_topology_shuffle,1.4494998630527278
3,activation_bootstrap,1.084867000579834
4,edge_shuffle,1.2955248355865479
4,matched_norm_coboundary,5.569516913001532e-16
4,matched_fit_random_gauge,1.220509318664817
4,graph_topology_shuffle,1.3559442046309789
4,activation_bootstrap,1.244276523590088
5,edge_shuffle,1.4185959100723267
5,matched_norm_coboundary,6.8111310655215835e-16
5,matched_fit_random_gauge,1.2151882914311443
5,graph_topology_shuffle,1.5422255977599963
5,activation_bootstrap,1.047322392463684
6,edge_shuffle,1.4188048839569092
6,matched_norm_coboundary,6.210107983129653e-16
6,matched_fit_random_gauge,1.1823975643164293
6,graph_topology_shuffle,1.496926663949656
6,activation_bootstrap,1.3443455696105957
7,edge_shuffle,1.2955248355865479
7,matched_norm_coboundary,5.391708843372109e-16
7,matched_fit_random_gauge,1.2006625834048863
7,graph_topology_shuffle,1.4235046955457245
7,activation_bootstrap,1.1292803287506104
8,edge_shuffle,1.4185959100723267
8,matched_norm_coboundary,5.789287529212845e-16
8,matched_fit_random_gauge,1.2309356645783132
8,graph_topology_shuffle,1.4373856796623845
8,activation_bootstrap,1.2860107421875
9,edge_shuffle,1.4188048839569092
9,matched_norm_coboundary,5.723457982033677e-16
9,matched_fit_random_gauge,1.2186043267730422
9,graph_topology_shuffle,1.3910117898108791
9,activation_bootstrap,1.3666777610778809
10,edge_shuffle,1.4185959100723267
10,matched_norm_coboundary,4.807669870554443e-16
10,matched_fit_random_gauge,1.1909063148570247
10,graph_topology_shuffle,1.4515832029646525
10,activation_bootstrap,1.0364171266555786
11,edge_shuffle,1.4188048839569092
11,matched_norm_coboundary,5.439921396466455e-16
11,matched_fit_random_gauge,1.20058632753291
11,graph_topology_shuffle,1.4628968414510612
11,activation_bootstrap,1.189900279045105
12,edge_shuffle,1.3847516775131226
12,matched_norm_coboundary,5.123517560715894e-16
12,matched_fit_random_gauge,1.2013714881062731
12,graph_topology_shuffle,1.3866270287832867
12,activation_bootstrap,1.191717505455017
13,edge_shuffle,1.4214595556259155
13,matched_norm_coboundary,7.258564638509287e-16
13,matched_fit_random_gauge,1.2025688343091823
13,graph_topology_shuffle,1.4142387918691997
13,activation_bootstrap,1.2634685039520264
14,edge_shuffle,1.2955248355865479
14,matched_norm_coboundary,4.985613830377523e-16
14,matched_fit_random_gauge,1.1844175770942684
14,graph_topology_shuffle,1.450034411108783
14,activation_bootstrap,1.2153065204620361
15,edge_shuffle,1.3847516775131226
15,matched_norm_coboundary,4.91813257060805e-16
15,matched_fit_random_gauge,1.203423559793739
15,graph_topology_shuffle,1.3673715426817852
15,activation_bootstrap,1.1581611633300781
16,edge_shuffle,1.3847516775131226
16,matched_norm_coboundary,4.267523169015527e-16
16,matched_fit_random_gauge,1.194000528478138
16,graph_topology_shuffle,1.397424321391851
16,activation_bootstrap,1.2211264371871948
17,edge_shuffle,1.4214595556259155
17,matched_norm_coboundary,5.833826403184089e-16
17,matched_fit_random_gauge,1.1716621454972134
17,graph_topology_shuffle,1.385482752086505
17,activation_bootstrap,1.2088741064071655
18,edge_shuffle,1.41055166721344
