mask,chart,method,exact_equal,iou,dice,boundary_dice,hausdorff
off_center_circle_marker,1,inverse_output_action,0.0,0.7518248175197577,0.8583333333338252,0.0,5.76333131969384
off_center_circle_marker,1,wrong_reflection_rotation_order,0.0,0.7518248175197577,0.8583333333338252,0.0,5.76333131969384
off_center_circle_marker,1,random_chart,0.0,0.818181818182966,0.9000000000003472,0.0,6.324555320336759
off_center_circle_marker,1,wrong_multiplication_table,0.0,0.7766810610747891,0.874305555555992,0.0,6.708203932499369
off_center_circle_marker,2,correct_retransport,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,2,omit_output_retransport,0.0,0.7518248175197577,0.8583333333338252,0.0,5.76333131969384
off_center_circle_marker,2,inverse_output_action,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,2,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,2,random_chart,0.0,0.818181818182966,0.9000000000003472,0.0,6.324555320336759
off_center_circle_marker,2,wrong_multiplication_table,0.0,0.7766810610747891,0.874305555555992,0.0,6.708203932499369
off_center_circle_marker,3,correct_retransport,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,3,omit_output_retransport,0.0,0.7766810610747891,0.874305555555992,0.0,6.708203932499369
off_center_circle_marker,3,inverse_output_action,0.0,0.7518248175197577,0.8583333333338252,0.0,5.76333131969384
off_center_circle_marker,3,wrong_reflection_rotation_order,0.0,0.7518248175197577,0.8583333333338252,0.0,5.76333131969384
off_center_circle_marker,3,random_chart,0.0,0.818181818182966,0.9000000000003472,0.0,6.324555320336759
off_center_circle_marker,3,wrong_multiplication_table,0.0,0.7766810610747891,0.874305555555992,0.0,6.708203932499369
off_center_circle_marker,4,correct_retransport,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,4,omit_output_retransport,0.0,0.7690417690431877,0.8694444444448978,0.0,5.0
off_center_circle_marker,4,inverse_output_action,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,4,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,4,random_chart,0.0,0.7766810610747891,0.874305555555992,0.0,6.708203932499369
off_center_circle_marker,4,wrong_multiplication_table,0.0,0.7766810610747891,0.874305555555992,0.0,6.708203932499369
off_center_circle_marker,5,correct_retransport,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,5,omit_output_retransport,0.0,0.7866004962792394,0.8805555555559703,0.0,4.300014504089359
off_center_circle_marker,5,inverse_output_action,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,5,wrong_reflection_rotation_order,0.0,0.7518248175197577,0.8583333333338252,0.0,5.76333131969384
off_center_circle_marker,5,random_chart,0.0,0.7866004962792394,0.8805555555559703,0.0,4.300014504089359
off_center_circle_marker,5,wrong_multiplication_table,0.0,0.7766810610747891,0.874305555555992,0.0,6.708203932499369
off_center_circle_marker,6,correct_retransport,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,6,omit_output_retransport,0.0,0.815889029004944,0.8986111111114632,0.0,8.06225774829855
off_center_circle_marker,6,inverse_output_action,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,6,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,6,random_chart,0.0,0.7866004962792394,0.8805555555559703,0.0,4.300014504089359
off_center_circle_marker,6,wrong_multiplication_table,0.0,0.7766810610747891,0.874305555555992,0.0,6.708203932499369
off_center_circle_marker,7,correct_retransport,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,7,omit_output_retransport,0.0,0.818181818182966,0.9000000000003472,0.0,6.324555320336759
off_center_circle_marker,7,inverse_output_action,1.0,1.0,1.0,1.0,0.0
off_center_circle_marker,7,wrong_reflection_rotation_order,0.0,0.7518248175197577,0.8583333333338252,0.0,5.76333131969384
off_center_circle_marker,7,random_chart,0.0,0.7866004962792394,0.8805555555559703,0.0,4.300014504089359
off_center_circle_marker,7,wrong_multiplication_table,0.0,0.7766810610747891,0.874305555555992,0.0,6.708203932499369
arrow,0,correct_retransport,1.0,1.0,1.0,1.0,0.0
arrow,0,omit_output_retransport,1.0,1.0,1.0,1.0,0.0
arrow,0,inverse_output_action,1.0,1.0,1.0,1.0,0.0
arrow,0,wrong_reflection_rotation_order,1.0,1.0,1.0,1.0,0.0
arrow,0,random_chart,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,0,wrong_multiplication_table,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,1,correct_retransport,1.0,1.0,1.0,1.0,0.0
arrow,1,omit_output_retransport,0.0,0.2189090909147716,0.3591885441565681,0.0,14.953124061561475
arrow,1,inverse_output_action,0.0,0.39202657807813934,0.5632458233916274,0.0,13.649999999999977
arrow,1,wrong_reflection_rotation_order,0.0,0.39202657807813934,0.5632458233916274,0.0,13.649999999999977
