seed,method,chart,element_role,examples,task_accuracy,chart_accuracy
30,d4_equivariant_chart_classifier,0,seen,330,0.7454545497894287,0.7272727489471436
30,d4_equivariant_chart_classifier,1,seen,324,0.7253086566925049,0.7067901492118835
30,d4_equivariant_chart_classifier,2,unseen,170,0.7764706015586853,0.729411780834198
30,d4_equivariant_chart_classifier,3,unseen,201,0.711442768573761,0.711442768573761
30,d4_equivariant_chart_classifier,4,seen,346,0.7658959627151489,0.7196531891822815
30,d4_equivariant_chart_classifier,5,unseen,207,0.7342995405197144,0.7053139805793762
30,d4_equivariant_chart_classifier,6,unseen,224,0.7366071343421936,0.7232142686843872
30,d4_equivariant_chart_classifier,7,unseen,198,0.7070707082748413,0.7323232293128967
30,capacity_matched_ordinary_chart_classifier,0,seen,330,0.7545454502105713,0.7212121486663818
30,capacity_matched_ordinary_chart_classifier,1,seen,324,0.6790123581886292,0.8672839403152466
30,capacity_matched_ordinary_chart_classifier,2,unseen,170,0.25882354378700256,0.0
30,capacity_matched_ordinary_chart_classifier,3,unseen,201,0.20895522832870483,0.0
30,capacity_matched_ordinary_chart_classifier,4,seen,346,0.7774566411972046,0.7456647157669067
30,capacity_matched_ordinary_chart_classifier,5,unseen,207,0.4444444477558136,0.0
30,capacity_matched_ordinary_chart_classifier,6,unseen,224,0.2633928656578064,0.0
30,capacity_matched_ordinary_chart_classifier,7,unseen,198,0.24242424964904785,0.0
30,augmentation_trained_ordinary_chart_classifier,0,seen,330,0.7575757503509521,0.5060606002807617
30,augmentation_trained_ordinary_chart_classifier,1,seen,324,0.7314814925193787,0.9104938507080078
30,augmentation_trained_ordinary_chart_classifier,2,unseen,170,0.24705882370471954,0.0
30,augmentation_trained_ordinary_chart_classifier,3,unseen,201,0.2537313401699066,0.0
30,augmentation_trained_ordinary_chart_classifier,4,seen,346,0.763005793094635,0.8092485666275024
30,augmentation_trained_ordinary_chart_classifier,5,unseen,207,0.5362318754196167,0.0
30,augmentation_trained_ordinary_chart_classifier,6,unseen,224,0.2589285671710968,0.0
30,augmentation_trained_ordinary_chart_classifier,7,unseen,198,0.24747474491596222,0.0
30,learned_multiplication_table_model,0,seen,330,0.7515151500701904,0.7212121486663818
30,learned_multiplication_table_model,1,seen,324,0.75,0.7191358208656311
30,learned_multiplication_table_model,2,unseen,170,0.7882353067398071,0.7235293984413147
30,learned_multiplication_table_model,3,unseen,201,0.6965174078941345,0.7711442708969116
30,learned_multiplication_table_model,4,seen,346,0.7716763019561768,0.736994206905365
30,learned_multiplication_table_model,5,unseen,207,0.748792290687561,0.7053139805793762
30,learned_multiplication_table_model,6,unseen,224,0.7321428656578064,0.71875
30,learned_multiplication_table_model,7,unseen,198,0.7171717286109924,0.7272727489471436
30,d4_equivariant_task_classifier,0,seen,330,0.6545454263687134,
30,d4_equivariant_task_classifier,1,seen,324,0.6234567761421204,
30,d4_equivariant_task_classifier,2,unseen,170,0.6823529601097107,
30,d4_equivariant_task_classifier,3,unseen,201,0.6716417670249939,
30,d4_equivariant_task_classifier,4,seen,346,0.650288999080658,
30,d4_equivariant_task_classifier,5,unseen,207,0.6714975833892822,
30,d4_equivariant_task_classifier,6,unseen,224,0.6294642686843872,
30,d4_equivariant_task_classifier,7,unseen,198,0.6262626051902771,
30,structured_hard_retransport,0,seen,330,0.7424242496490479,0.7272727489471436
30,structured_hard_retransport,1,seen,324,0.7283950448036194,0.7067901492118835
30,structured_hard_retransport,2,unseen,170,0.770588219165802,0.729411780834198
30,structured_hard_retransport,3,unseen,201,0.7164179086685181,0.711442768573761
30,structured_hard_retransport,4,seen,346,0.7514451146125793,0.7196531891822815
30,structured_hard_retransport,5,unseen,207,0.7342995405197144,0.7053139805793762
30,structured_hard_retransport,6,unseen,224,0.7276785969734192,0.7232142686843872
30,structured_hard_retransport,7,unseen,198,0.7121211886405945,0.7323232293128967
30,structured_soft_retransport,0,seen,330,0.7454545497894287,0.7272727489471436
30,structured_soft_retransport,1,seen,324,0.7253086566925049,0.7067901492118835
30,structured_soft_retransport,2,unseen,170,0.7764706015586853,0.729411780834198
30,structured_soft_retransport,3,unseen,201,0.711442768573761,0.711442768573761
30,structured_soft_retransport,4,seen,346,0.7658959627151489,0.7196531891822815
30,structured_soft_retransport,5,unseen,207,0.7342995405197144,0.7053139805793762
30,structured_soft_retransport,6,unseen,224,0.7366071343421936,0.7232142686843872
30,structured_soft_retransport,7,unseen,198,0.7070707082748413,0.7323232293128967
30,d4_test_time_augmentation,0,seen,330,0.2666666805744171,
30,d4_test_time_augmentation,1,seen,324,0.2469135820865631,
30,d4_test_time_augmentation,2,unseen,170,0.2235294133424759,
30,d4_test_time_augmentation,3,unseen,201,0.2935323417186737,
30,d4_test_time_augmentation,4,seen,346,0.29190751910209656,
30,d4_test_time_augmentation,5,unseen,207,0.2415459007024765,
30,d4_test_time_augmentation,6,unseen,224,0.2410714328289032,
30,d4_test_time_augmentation,7,unseen,198,0.26767677068710327,
30,supplied_chart_oracle,0,seen,330,0.800000011920929,1.0
30,supplied_chart_oracle,1,seen,324,0.7932098507881165,1.0
30,supplied_chart_oracle,2,unseen,170,0.8294117450714111,1.0
30,supplied_chart_oracle,3,unseen,201,0.7810945510864258,1.0
30,supplied_chart_oracle,4,seen,346,0.8150289058685303,1.0
30,supplied_chart_oracle,5,unseen,207,0.8067632913589478,1.0
30,supplied_chart_oracle,6,unseen,224,0.7857142686843872,1.0
30,supplied_chart_oracle,7,unseen,198,0.752525269985199,1.0
30,random_action_control,0,seen,330,0.2181818187236786,0.08484848588705063
30,random_action_control,1,seen,324,0.3055555522441864,0.1419753134250641
30,random_action_control,2,unseen,170,0.30000001192092896,0.11176470667123795
30,random_action_control,3,unseen,201,0.2587064802646637,0.13432836532592773
30,random_action_control,4,seen,346,0.2861271798610687,0.09537572413682938
30,random_action_control,5,unseen,207,0.2995169162750244,0.14492753148078918
30,random_action_control,6,unseen,224,0.3035714328289032,0.1205357164144516
30,random_action_control,7,unseen,198,0.2777777910232544,0.10606060922145844
30,wrong_action_control,0,seen,330,0.072727270424366,0.00909090880304575
30,wrong_action_control,1,seen,324,0.12037037312984467,0.015432098880410194
30,wrong_action_control,2,unseen,170,0.08235294371843338,0.0058823530562222
30,wrong_action_control,3,unseen,201,0.10447761416435242,0.019900497049093246
30,wrong_action_control,4,seen,346,0.06647399067878723,0.03757225349545479
30,wrong_action_control,5,unseen,207,0.08212560415267944,0.019323671236634254
30,wrong_action_control,6,unseen,224,0.0535714291036129,0.01785714365541935
30,wrong_action_control,7,unseen,198,0.08080808073282242,0.005050505045801401
31,d4_equivariant_chart_classifier,0,seen,324,0.7006173133850098,0.6882715821266174
31,d4_equivariant_chart_classifier,1,seen,355,0.7267605662345886,0.7183098793029785
31,d4_equivariant_chart_classifier,2,unseen,212,0.7028301954269409,0.7547169923782349
31,d4_equivariant_chart_classifier,3,unseen,202,0.7029703259468079,0.7128713130950928
31,d4_equivariant_chart_classifier,4,seen,321,0.7258567214012146,0.732087254524231
31,d4_equivariant_chart_classifier,5,unseen,176,0.6875,0.7159090638160706
31,d4_equivariant_chart_classifier,6,unseen,195,0.7333333492279053,0.7487179636955261
31,d4_equivariant_chart_classifier,7,unseen,215,0.7255814075469971,0.7441860437393188
31,capacity_matched_ordinary_chart_classifier,0,seen,324,0.7345678806304932,0.7716049551963806
31,capacity_matched_ordinary_chart_classifier,1,seen,355,0.6873239278793335,0.9070422649383545
31,capacity_matched_ordinary_chart_classifier,2,unseen,212,0.11320754885673523,0.0
