comparison,left_method,right_method,metric,collections,mean_delta,ci_low,ci_high
structured_minus_capacity_matched_ordinary_unseen,structured_soft_retransport,capacity_matched_ordinary_chart_classifier,task_accuracy,10,0.47430000000000005,0.4589,0.4895025
structured_minus_augmented_ordinary_unseen,structured_soft_retransport,augmentation_trained_ordinary_chart_classifier,task_accuracy,10,0.4657,0.44910000000000005,0.48249999999999993
structured_minus_learned_table_unseen,structured_soft_retransport,learned_multiplication_table_model,task_accuracy,10,-0.002299999999999991,-0.008999999999999975,0.003300000000000003
structured_minus_random_action_unseen,structured_soft_retransport,random_action_control,task_accuracy,10,0.4574999999999999,0.43859999999999993,0.4765025
structured_minus_wrong_action_unseen,structured_soft_retransport,wrong_action_control,task_accuracy,10,0.6329,0.6129,0.6525000000000001
