method,element_role,seeds,task_accuracy,chart_accuracy,ece
d4_equivariant_chart_classifier,seen,10,0.7120999999999998,0.7248000025749206,0.03175478807329844
d4_equivariant_chart_classifier,unseen,10,0.7152000000000001,0.7245000004768372,0.03520392329613136
capacity_matched_ordinary_chart_classifier,seen,10,0.7173999999999999,0.7867000043392182,0.032955721165716836
capacity_matched_ordinary_chart_classifier,unseen,10,0.24089999999999998,0.0,0.31079304635611865
augmentation_trained_ordinary_chart_classifier,seen,10,0.7165999999999999,0.7543000042438507,0.034034715715589164
augmentation_trained_ordinary_chart_classifier,unseen,10,0.24950000000000006,0.0,0.2964982360852744
learned_multiplication_table_model,seen,10,0.7117,0.7282999992370606,0.03115707106287462
learned_multiplication_table_model,unseen,10,0.7175,0.7232999920845031,0.03126756685579837
d4_equivariant_task_classifier,seen,10,0.6313,,0.08019659370002982
d4_equivariant_task_classifier,unseen,10,0.6396000000000001,,0.08620514788431625
structured_hard_retransport,seen,10,0.7101000000000001,0.7248000025749206,0.03706167937122376
structured_hard_retransport,unseen,10,0.7123999999999999,0.7245000004768372,0.03774865208632427
structured_soft_retransport,seen,10,0.7120999999999998,0.7248000025749206,0.03175478807329844
structured_soft_retransport,unseen,10,0.7152000000000001,0.7245000004768372,0.03520392329613136
d4_test_time_augmentation,seen,10,0.23339999999999997,,0.19841954436544268
d4_test_time_augmentation,unseen,10,0.23560000000000003,,0.19435506074696707
supplied_chart_oracle,seen,10,0.7708999999999999,1.0,0.028997455538889848
supplied_chart_oracle,unseen,10,0.7687000000000002,1.0,0.028539807011209894
random_action_control,seen,10,0.25599999999999995,0.12249999940395355,0.44766976773474954
random_action_control,unseen,10,0.2577,0.1268999993801117,0.4422269295183218
wrong_action_control,seen,10,0.07799999999999999,0.019299999997019767,0.6969740708116173
wrong_action_control,unseen,10,0.0823,0.013799999933689832,0.6666545000815158
