source_csv,compact_csv,shard_path,row_start_inclusive,row_end_exclusive,n_rows,key_columns,large_columns,compression
reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_large_artifacts/fixed_setting_runs_maps_part_000.csv.gz,0,5000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_large_artifacts/fixed_setting_runs_maps_part_001.csv.gz,5000,10000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_large_artifacts/fixed_setting_runs_maps_part_002.csv.gz,10000,15000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_large_artifacts/fixed_setting_runs_maps_part_003.csv.gz,15000,20000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_verification_runs.csv,reports/csv/fixed_setting_large_artifacts/fixed_setting_runs_maps_part_004.csv.gz,20000,21120,1120,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/fixed_setting_triangle_defects.csv,reports/csv/fixed_setting_triangle_defects.csv,reports/csv/fixed_setting_large_artifacts/fixed_setting_triangle_maps_part_000.csv.gz,0,5000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,triangle_type,triangle,i,j,k","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json,p_ij,p_jk,p_ki,triangle_perm",gzip
reports/csv/fixed_setting_triangle_defects.csv,reports/csv/fixed_setting_triangle_defects.csv,reports/csv/fixed_setting_large_artifacts/fixed_setting_triangle_maps_part_001.csv.gz,5000,10000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,triangle_type,triangle,i,j,k","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json,p_ij,p_jk,p_ki,triangle_perm",gzip
reports/csv/fixed_setting_triangle_defects.csv,reports/csv/fixed_setting_triangle_defects.csv,reports/csv/fixed_setting_large_artifacts/fixed_setting_triangle_maps_part_002.csv.gz,10000,14400,4400,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,triangle_type,triangle,i,j,k","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json,p_ij,p_jk,p_ki,triangle_perm",gzip
reports/csv/monomial_fixed_setting_runs.csv,reports/csv/monomial_fixed_setting_runs.csv,reports/csv/fixed_setting_large_artifacts/monomial_runs_maps_part_000.csv.gz,0,5000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/monomial_fixed_setting_runs.csv,reports/csv/monomial_fixed_setting_runs.csv,reports/csv/fixed_setting_large_artifacts/monomial_runs_maps_part_001.csv.gz,5000,10000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/monomial_fixed_setting_runs.csv,reports/csv/monomial_fixed_setting_runs.csv,reports/csv/fixed_setting_large_artifacts/monomial_runs_maps_part_002.csv.gz,10000,15000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/monomial_fixed_setting_runs.csv,reports/csv/monomial_fixed_setting_runs.csv,reports/csv/fixed_setting_large_artifacts/monomial_runs_maps_part_003.csv.gz,15000,20000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/monomial_fixed_setting_runs.csv,reports/csv/monomial_fixed_setting_runs.csv,reports/csv/fixed_setting_large_artifacts/monomial_runs_maps_part_004.csv.gz,20000,21120,1120,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/monomial_triangle_defects.csv,reports/csv/monomial_triangle_defects.csv,reports/csv/fixed_setting_large_artifacts/monomial_triangle_maps_part_000.csv.gz,0,5000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,triangle_type,triangle,i,j,k","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json,p_ij,p_jk,p_ki,triangle_perm",gzip
reports/csv/monomial_triangle_defects.csv,reports/csv/monomial_triangle_defects.csv,reports/csv/fixed_setting_large_artifacts/monomial_triangle_maps_part_001.csv.gz,5000,10000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,triangle_type,triangle,i,j,k","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json,p_ij,p_jk,p_ki,triangle_perm",gzip
reports/csv/monomial_triangle_defects.csv,reports/csv/monomial_triangle_defects.csv,reports/csv/fixed_setting_large_artifacts/monomial_triangle_maps_part_002.csv.gz,10000,14400,4400,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,triangle_type,triangle,i,j,k","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json,p_ij,p_jk,p_ki,triangle_perm",gzip
reports/csv/real_obstruction_degradation.csv,reports/csv/real_obstruction_degradation.csv,reports/csv/fixed_setting_large_artifacts/real_obstruction_runs_maps_part_000.csv.gz,0,5000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
reports/csv/real_obstruction_degradation.csv,reports/csv/real_obstruction_degradation.csv,reports/csv/fixed_setting_large_artifacts/real_obstruction_runs_maps_part_001.csv.gz,5000,10000,5000,"setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,method","pairwise_alignment_permutations_json,layerwise_alignment_permutations_json,pairwise_alignment_residual_json",gzip
