setting_id,group,seed,method,target_storage_reduction,teacher_executable_bytes,student_dense_tensor_bytes,student_sparse_serialized_bytes,student_quantized_serialized_bytes,student_executable_model_bytes,actual_storage_reduction,teacher_accuracy,student_accuracy,accuracy_delta,retained_teacher_gain_fraction,storage_claim_passed,teacher_artifact_sha256,student_artifact_sha256,execution_commit,source_sha256,command
S3_seed0,S3,0,low_rank_group_generators,0.25,2519,2720,,,4391,-0.743152044462088,1.0,0.96875,-0.03125,-3.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,b3af7725cd4a28f0905d3bbd2c87f47a07c563938908067c6961df92db5c322d,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,finite_state_chart_module,0.25,2519,2720,,,4388,-0.7419610956728862,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,b8c3e4ec0e8d7e92107258dba4ef2e7a66ced8e1c787a3814a91933b2054561a,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,tensor_factorized_equivariant_head,0.25,2519,2720,,,4393,-0.7439460103215563,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,0721566cbc52f640582768a723ef611a98d2fec0459371030d29afd06220b342,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,quantized_structured_student,0.25,2519,2720,,6035,6035,-1.3957919809448192,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,505546f319e055836962aaf2de501fc4580b424a906f824cf5ebf8b93f62bdab,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,pruned_structured_student,0.25,2519,2720,11163,,11163,-3.4315204446208813,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,667a91584aa3adf8b85e02d050e0a3a6bc9fd0a1b196dd9ffeab03d5aac45e70,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,ordinary_single_model_control,0.25,2519,2720,,,4390,-0.7427550615323542,1.0,0.9765625,-0.0234375,-2.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,51cf5293fc6067a7ba44c4ead9e5c0c725c8644f001747e3c2ee3c6efb6b38d4,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,chart_token_student,0.25,2519,3104,,,4754,-0.8872568479555378,1.0,0.998046875,-0.001953125,0.75,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,26354f17344f467369a3922fada5d93c59102fcd3fe680bf9b752ef327ecbf62,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,shared_canonical_backbone_group_head,0.25,2519,2720,,,4395,-0.7447399761810243,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,2264c1b6f8a1b0c7899d35a729b2b7816df9facf6dc2fd739670f9c2ecf08cf0,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,low_rank_group_generators,0.25,2519,2720,,,4393,-0.7439460103215563,1.0,0.978515625,-0.021484375,-1.75,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,e198270c2dcb3da17efe93bf788bf3eb688ce61a53a9277331115d16f45daa69,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
S3_seed0,S3,0,finite_state_chart_module,0.25,2519,2720,,,4389,-0.74235807860262,1.0,1.0,0.0,1.0,False,f923787f7b69c198dc5b168a95a429a5be4e129c088abac33830a4297d132756,69f14ae6ffe1c180b800774965255f00b34adb50615836a212ab57a1df41598f,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,python experiments/compression_claim_reaudit.py
