group,method,target_storage_reduction,mean_student_accuracy,median_executable_bytes,median_student_latency_ms,storage_accuracy_pareto_evaluable,latency_accuracy_pareto_evaluable,latency_accuracy_pareto_optimal,storage_accuracy_pareto_optimal
S3,ordinary_single_model_control,0.75,0.78375,3664,0.36441697739064693,True,False,False,False
S3,pruned_structured_student,0.25,1.0,11165,0.45227096416056156,True,False,False,False
S3,pruned_structured_student,0.5,1.0,10627,0.45227096416056156,True,False,False,False
S3,pruned_structured_student,0.75,0.996015625,9628,0.45227096416056156,True,False,False,False
S3,quantized_structured_student,0.25,1.0,6037,0.4419374745339155,True,False,False,False
S3,quantized_structured_student,0.5,0.99796875,5944,0.4419374745339155,True,False,False,False
S3,quantized_structured_student,0.75,0.97890625,5848,0.4419374745339155,True,False,False,False
S3,shared_canonical_backbone_group_head,0.25,1.0,4392,0.4412294365465641,True,False,False,False
S3,shared_canonical_backbone_group_head,0.5,1.0,4038,0.4412294365465641,True,False,False,True
S3,shared_canonical_backbone_group_head,0.75,0.999453125,3663,0.4412294365465641,True,False,False,True
S3,tensor_factorized_equivariant_head,0.25,1.0,4393,0.4471663851290941,True,False,False,False
S3,tensor_factorized_equivariant_head,0.5,0.999921875,4038,0.4471663851290941,True,False,False,False
S3,tensor_factorized_equivariant_head,0.75,0.9953125,3663,0.4471663851290941,True,False,False,False
