batch_size,method,dice,boundary_dice,stored_bytes,training_time_seconds,energy_proxy_seconds,chart_model_latency_median_ms,expert_latency_median_ms,input_transform_latency_median_ms,output_retransport_latency_median_ms,threshold_latency_median_ms,latency_median_ms,latency_q1_ms,latency_q3_ms,peak_process_memory_mb,peak_accelerator_memory_mb,warmups,timed_repetitions
1,ordinary_unet,0.13358122887746252,0.016567118402116485,30148,0.8156652911566198,0.0015811665216460824,2.985646133311093,12.772228918038309,0.1050005666911602,0.07279147394001484,0.029999995604157448,1.5811665216460824,1.433750323485583,2.6038337382487953,301.375,10.640625,10,100
1,direct_d4_equivariant_unet,0.06813306602743571,0.023379565444323864,30148,0.34193416591733694,0.057789687532931566,2.985646133311093,12.772228918038309,0.1050005666911602,0.07279147394001484,0.029999995604157448,57.789687532931566,53.32364636706188,65.03627123311162,301.375,18.6875,10,100
1,d4_test_time_augmentation,0.13358122887746252,0.016567118402116485,30148,0.8156652911566198,0.05310397909488529,2.985646133311093,12.772228918038309,0.1050005666911602,0.07279147394001484,0.029999995604157448,53.10397909488529,49.32650033151731,61.805010482203215,301.375,18.6875,10,100
1,generic_moe,0.14658111774516946,0.022512820066594386,123796,8.242950998712331,0.016120541491545737,2.985646133311093,12.772228918038309,0.1050005666911602,0.07279147394001484,0.029999995604157448,16.120541491545737,15.31969738425687,17.186780634801835,301.375,18.6875,10,100
1,one_inferred_canonical_expert,0.13358122887746252,0.016567118402116485,33352,8.61053895810619,0.009314125054515898,2.985646133311093,12.772228918038309,0.1050005666911602,0.07279147394001484,0.029999995604157448,9.314125054515898,4.694926436059177,11.9075101101771,301.375,18.6875,10,100
1,four_inferred_canonical_experts,0.06717333544664608,0.014769054912747409,123796,9.58114454196766,0.01737566653173417,2.985646133311093,12.772228918038309,0.1050005666911602,0.07279147394001484,0.029999995604157448,17.37566653173417,16.120385203976184,18.806396226864308,301.375,18.6875,10,100
1,inferred_full_retransport,0.06731550272372361,0.016948721038728097,123796,9.58114454196766,0.0955614794511348,2.985646133311093,12.772228918038309,0.1050005666911602,0.07279147394001484,0.029999995604157448,95.5614794511348,88.81701051723212,102.49923990340903,301.375,18.6875,10,100
1,supplied_chart_oracle,0.06712200952588267,0.015895634465946808,120592,1.78627087501809,0.014024312375113368,2.985646133311093,12.772228918038309,0.1050005666911602,0.07279147394001484,0.029999995604157448,14.024312375113368,10.201551369391382,14.618833316490054,301.375,18.6875,10,100
1,ensemble,0.06710517515388424,0.01591250243654376,120592,1.78627087501809,0.012556812027469277,2.985646133311093,12.772228918038309,0.1050005666911602,0.07279147394001484,0.029999995604157448,12.556812027469277,6.673551921267062,13.469906174577773,301.375,18.6875,10,100
4,ordinary_unet,0.13358122887746252,0.016567118402116485,30148,0.8156652911566198,0.0027266874676570296,8.928458555601537,18.938666908070445,0.3996670711785555,0.22066698875278234,0.11537456884980202,2.7266874676570296,2.492885570973158,8.731249952688813,301.375,58.703125,10,100
