batch_size,method,frontier,quality,cost,quality_value,cost_value
8,one_inferred_canonical_expert,False,dice,stored_bytes,0.13358122887746252,33352
8,four_inferred_canonical_experts,False,dice,stored_bytes,0.06717333544664608,123796
8,inferred_full_retransport,False,dice,stored_bytes,0.06731550272372361,123796
8,supplied_chart_oracle,False,dice,stored_bytes,0.06712200952588267,120592
8,ensemble,False,dice,stored_bytes,0.06710517515388424,120592
8,ordinary_unet,True,boundary_dice,latency_median_ms,0.016567118402116485,5.22618752438575
8,direct_d4_equivariant_unet,True,boundary_dice,latency_median_ms,0.023379565444323864,141.4148125331849
8,d4_test_time_augmentation,False,boundary_dice,latency_median_ms,0.016567118402116485,132.76116689667106
8,generic_moe,True,boundary_dice,latency_median_ms,0.022512820066594386,28.258249978534877
8,one_inferred_canonical_expert,False,boundary_dice,latency_median_ms,0.016567118402116485,23.138312972150743
8,four_inferred_canonical_experts,False,boundary_dice,latency_median_ms,0.014769054912747409,74.19693749397993
8,inferred_full_retransport,False,boundary_dice,latency_median_ms,0.016948721038728097,186.01397902239114
8,supplied_chart_oracle,False,boundary_dice,latency_median_ms,0.015895634465946808,76.03397953789681
8,ensemble,False,boundary_dice,latency_median_ms,0.01591250243654376,36.66002047248185
16,ordinary_unet,True,dice,latency_median_ms,0.13358122887746252,14.51335393358022
16,direct_d4_equivariant_unet,False,dice,latency_median_ms,0.06813306602743571,361.9012290146202
16,d4_test_time_augmentation,False,dice,latency_median_ms,0.13358122887746252,305.33072957769036
16,generic_moe,True,dice,latency_median_ms,0.14658111774516946,74.42649989388883
16,one_inferred_canonical_expert,False,dice,latency_median_ms,0.13358122887746252,38.94318745005876
16,four_inferred_canonical_experts,False,dice,latency_median_ms,0.06717333544664608,106.9636249449104
16,inferred_full_retransport,False,dice,latency_median_ms,0.06731550272372361,391.8935834662989
16,supplied_chart_oracle,False,dice,latency_median_ms,0.06712200952588267,165.61347956303507
16,ensemble,False,dice,latency_median_ms,0.06710517515388424,50.86512491106987
16,ordinary_unet,True,dice,stored_bytes,0.13358122887746252,30148
16,direct_d4_equivariant_unet,False,dice,stored_bytes,0.06813306602743571,30148
16,d4_test_time_augmentation,True,dice,stored_bytes,0.13358122887746252,30148
16,generic_moe,True,dice,stored_bytes,0.14658111774516946,123796
16,one_inferred_canonical_expert,False,dice,stored_bytes,0.13358122887746252,33352
16,four_inferred_canonical_experts,False,dice,stored_bytes,0.06717333544664608,123796
16,inferred_full_retransport,False,dice,stored_bytes,0.06731550272372361,123796
16,supplied_chart_oracle,False,dice,stored_bytes,0.06712200952588267,120592
16,ensemble,False,dice,stored_bytes,0.06710517515388424,120592
16,ordinary_unet,True,boundary_dice,latency_median_ms,0.016567118402116485,14.51335393358022
16,direct_d4_equivariant_unet,True,boundary_dice,latency_median_ms,0.023379565444323864,361.9012290146202
16,d4_test_time_augmentation,False,boundary_dice,latency_median_ms,0.016567118402116485,305.33072957769036
16,generic_moe,True,boundary_dice,latency_median_ms,0.022512820066594386,74.42649989388883
16,one_inferred_canonical_expert,False,boundary_dice,latency_median_ms,0.016567118402116485,38.94318745005876
16,four_inferred_canonical_experts,False,boundary_dice,latency_median_ms,0.014769054912747409,106.9636249449104
16,inferred_full_retransport,False,boundary_dice,latency_median_ms,0.016948721038728097,391.8935834662989
16,supplied_chart_oracle,False,boundary_dice,latency_median_ms,0.015895634465946808,165.61347956303507
16,ensemble,False,boundary_dice,latency_median_ms,0.01591250243654376,50.86512491106987
