stage,exact_command,execution_commit,source_sha256,seed,start_time,runtime_seconds,exit_code,final_state,factual_summary
ABLATION,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python experiments/chart_component_ablation.py,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3b0cb0dcec43d5460e7712f0064e88c12f66ecff4ac3cb84740f7d1abab9155e,20:29,2026-07-15T18:02:45.725341+00:00,301.2850077501498,0,completed,stage artifacts written
ZEROSHOT,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python experiments/strict_zeroshot_chart_generalization.py,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,3e9a3ed25f74fdc73c55061f92ecae7b849de0130e67e5e9b95bd2618ec7c7e9,30:39,2026-07-15T18:07:47.037864+00:00,398.25850004097447,0,completed,stage artifacts written
CIFAR,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python experiments/cifar10_chart_retransport.py,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,de2e1bf250556252a58feee2b29a7e25054e99b59aac344705a8819713f76c34,0:4 discovery; 5:9 conditional confirmation,2026-07-15T18:14:25.330711+00:00,242.9249251249712,0,completed,stage artifacts written
COST,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python experiments/fashion_complete_cost_audit.py,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9a666434c63745f42c5e70ea1f6fb7e2e039dfb027c9de381556d722cbd8310a,20:29 checkpoints,2026-07-15T18:18:28.289872+00:00,2106.736336583039,0,completed,stage artifacts written
COMPRESSION,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python experiments/compression_claim_reaudit.py,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,9da3a769ba5e5a50c0d9d0789bb1c5fc98476d71fd47a0260bad2ce11481a696,retained executed-artifact ledger,2026-07-15T18:53:35.086676+00:00,49.086294000037014,0,completed,stage artifacts written
SAMPLE_EFFICIENCY,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python experiments/chart_sample_efficiency.py,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,e74e7c1085b62425ff9a65c7d218559980407027a19eea4f64e05dcae2f02600,40:44,2026-07-15T18:54:24.199692+00:00,202.66765429102816,0,completed,stage artifacts written
TESTS,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python -m pytest -q tests,11c8fb838cfa616d934dfc724777b3cd3fa6c05e,multiple_test_sources,not_applicable,2026-07-15T18:57:46.888068+00:00,30.885524000041187,0,completed,full repository test suite passed
