source,family,noise_model,alignment_source,alignment_noise_fraction,n_rows,n_cases,n_unique_seeds,mean_def_true,mean_def_observed,mean_cochain_distance,mean_noise_floor,direct_lipschitz_pass_rate,stable_obstruction_fraction,mean_predicted_lower_bound,mean_actual_synchronization_residual,mean_actual_minus_predicted_lower_bound,mean_barrier_target,finite_central_gate_pass_rate,real_brauer_claim_allowed
controlled_twisted_overlap,mu2_coboundary,observed_vs_known_mu2_triangle_sign,,,60,60,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49855000000000005,1.0,False
controlled_twisted_overlap,mu2_nontrivial_h2,observed_vs_known_mu2_triangle_sign,,,60,60,30,0.25,0.25,0.0,0.0,1.0,1.0,0.25,1.0,0.75,0.5004416666666668,1.0,False
real_fixed_setting_triangle_proxy,real_alignment_unknown_true_cochain,triangle_defect_bootstrap_proxy_no_saved_activations,injected_noise,0.15,480,480,30,,0.9767656005474665,,0.0024750327250012178,,1.0,,0.3764930442527488,,0.5847395833333332,0.0,False
real_fixed_setting_triangle_proxy,real_alignment_unknown_true_cochain,triangle_defect_bootstrap_proxy_no_saved_activations,observed,0.0,480,480,30,,0.946743272360718,,0.0038210073220727456,,1.0,,0.2693157054759838,,0.5847395833333332,0.0,False
synthetic_mu2,half_nontrivial,mu2_triangle_bit_flip,,,120,120,24,0.5,0.5091145833333334,0.07682291666666667,0.07682291666666667,1.0,0.825,0.4231770833333333,0.5091145833333334,0.0859375,,1.0,False
synthetic_mu2,sparse_nontrivial,mu2_triangle_bit_flip,,,120,120,24,0.15625,0.20703125,0.07682291666666667,0.07682291666666667,1.0,0.6083333333333333,0.09375,0.20703125,0.11328125,,1.0,False
synthetic_mu2,trivial,mu2_triangle_bit_flip,,,120,120,24,0.0,0.07682291666666667,0.07682291666666667,0.07682291666666667,1.0,0.0,0.0,0.07682291666666667,0.07682291666666667,,1.0,False
synthetic_u1,smooth_high_phase,u1_wrapped_gaussian_phase,,,120,120,24,0.34359451340225705,0.34847879101171053,0.05955854576738819,0.05955854576738819,1.0,0.8166666666666667,0.2840359676348688,0.34847879101171053,0.0644428233768417,,0.0,False
synthetic_u1,smooth_low_phase,u1_wrapped_gaussian_phase,,,120,120,24,0.11091554869787573,0.13130176584412256,0.059558545767388185,0.059558545767388185,1.0,0.49166666666666664,0.061394939476757796,0.13130176584412256,0.06990682636736478,,0.0,False
synthetic_u1,trivial,u1_wrapped_gaussian_phase,,,120,120,24,0.0,0.05955854576738819,0.05955854576738819,0.05955854576738819,1.0,0.0,0.0,0.05955854576738819,0.05955854576738819,,0.0,False
