regime,baseline,n_rows,n_unique_seeds,failed_run_count,mean_score,median_score,std_score,score_ci_low,score_ci_high,mean_delta_vs_internal_same_method,delta_ci_low,delta_ci_high,wins_vs_internal_same_method,ties_vs_internal_same_method,losses_vs_internal_same_method,mean_merge_compute_seconds,parameter_multiplier,inference_multiplier,output_type,mean_delta_vs_greedy_soup,delta_vs_greedy_soup_ci_low,delta_vs_greedy_soup_ci_high,wins_vs_greedy_soup,ties_vs_greedy_soup,losses_vs_greedy_soup,mean_delta_vs_twistedmerge_gauge,delta_vs_twistedmerge_gauge_ci_low,delta_vs_twistedmerge_gauge_ci_high,wins_vs_twistedmerge_gauge,ties_vs_twistedmerge_gauge,losses_vs_twistedmerge_gauge,mean_delta_vs_twistedmerge_selector,delta_vs_twistedmerge_selector_ci_low,delta_vs_twistedmerge_selector_ci_high,wins_vs_twistedmerge_selector,ties_vs_twistedmerge_selector,losses_vs_twistedmerge_selector,mean_delta_vs_prediction_ensemble,delta_vs_prediction_ensemble_ci_low,delta_vs_prediction_ensemble_ci_high,wins_vs_prediction_ensemble,ties_vs_prediction_ensemble,losses_vs_prediction_ensemble
common_base_task_vector,official_ties,3,3,0,0.8214814814814814,0.8227777777777777,0.01421107780959234,0.8066666666666666,0.835,0.0,0.0,0.0,0,3,0,2.0713099443819374,1.0,1.0,same_capacity_single_model,0.007407407407407344,0.0038888888888888307,0.012777777777777666,3,0,0,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0,nan,nan,nan,0,0,0
independent_initialization,official_c2m3,20,5,0,0.8608100000000001,0.8643000000000001,0.01853979787546665,0.8526438749999998,0.8683452500000001,0.012760000000000011,0.008789750000000015,0.01848150000000001,20,0,0,3.1770948874531313,1.0,1.0,same_capacity_single_model,-0.010559999999999986,-0.015330249999999972,-0.006014999999999981,2,0,18,0.008730000000000005,0.004994000000000005,0.012320125000000003,16,0,4,-0.008145000000000003,-0.013580125000000004,-0.00302974999999999,7,0,13,-0.014179999999999998,-0.018990625000000007,-0.009845000000000015,0,0,20
independent_initialization,official_git_rebasin,20,5,0,0.8546099999999999,0.86485,0.0227709856939414,0.8447547499999999,0.863356875,0.008635000000000009,0.003909875000000002,0.0133805,18,0,2,3.603641360392794,1.0,1.0,same_capacity_single_model,-0.016759999999999987,-0.023880250000000002,-0.010195,1,0,19,0.0025300000000000045,-0.003555624999999997,0.008080625000000001,12,1,7,-0.014345000000000002,-0.022095000000000014,-0.007434999999999997,3,0,17,-0.02038,-0.027720374999999995,-0.014003500000000014,0,0,20
