run_id,group_name,family,seed,hidden_width,group_order,holonomy_element,holonomy_order,is_holonomy_central,stable_group_action,ordinary_sync_residual,branch_action_residual,naive_representation_residual,invariant_pooling_residual,pre_lift_connection_residual,post_lift_connection_residual,invariant_projection_residual
S3_trivial_coboundary_W12_seed0,S3,trivial_coboundary,0,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed9,S3,trivial_coboundary,9,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed10,S3,trivial_coboundary,10,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed11,S3,trivial_coboundary,11,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed12,S3,trivial_coboundary,12,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed13,S3,trivial_coboundary,13,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed14,S3,trivial_coboundary,14,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed15,S3,trivial_coboundary,15,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed16,S3,trivial_coboundary,16,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed17,S3,trivial_coboundary,17,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed18,S3,trivial_coboundary,18,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed19,S3,trivial_coboundary,19,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed20,S3,trivial_coboundary,20,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed21,S3,trivial_coboundary,21,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed22,S3,trivial_coboundary,22,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed23,S3,trivial_coboundary,23,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed24,S3,trivial_coboundary,24,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed25,S3,trivial_coboundary,25,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed26,S3,trivial_coboundary,26,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed27,S3,trivial_coboundary,27,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed28,S3,trivial_coboundary,28,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed29,S3,trivial_coboundary,29,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed30,S3,trivial_coboundary,30,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed31,S3,trivial_coboundary,31,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed32,S3,trivial_coboundary,32,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed33,S3,trivial_coboundary,33,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed34,S3,trivial_coboundary,34,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed35,S3,trivial_coboundary,35,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed36,S3,trivial_coboundary,36,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_trivial_coboundary_W12_seed37,S3,trivial_coboundary,37,12,6,"[0, 1, 2]",1,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
