scope,comparison,method,baseline,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_no_test_leakage
overall,greedy_aware_selector_vs_greedy_soup,greedy_aware_selector,greedy_soup,greedy-aware selector over greedy soup,160,-0.0010893749999999994,-0.001691984375000001,-0.0005593281249999957,0.019575440087020404,34,70,56,0.02630166513112228,0,6,True
independent_seed_models,greedy_aware_selector_vs_greedy_soup,greedy_aware_selector,greedy_soup,greedy-aware selector over greedy soup,120,-0.0015099999999999966,-0.002275104166666665,-0.0008691458333333249,0.026149548624356592,20,49,51,0.00030316341355849296,0,6,True
low_lr_finetune_soup,greedy_aware_selector_vs_greedy_soup,greedy_aware_selector,greedy_soup,greedy-aware selector over greedy soup,40,0.0001724999999999921,2.499999999998892e-05,0.00033499999999999643,-0.0001468855249881662,14,21,5,0.063568115234375,2,2,True
overall,lower_confidence_greedy_aware_selector_vs_greedy_soup,lower_confidence_greedy_aware_selector,greedy_soup,LCB greedy-aware selector over greedy soup,160,0.0,0.0,0.0,0.0,0,160,0,,0,6,True
independent_seed_models,lower_confidence_greedy_aware_selector_vs_greedy_soup,lower_confidence_greedy_aware_selector,greedy_soup,LCB greedy-aware selector over greedy soup,120,0.0,0.0,0.0,0.0,0,120,0,,0,6,True
low_lr_finetune_soup,lower_confidence_greedy_aware_selector_vs_greedy_soup,lower_confidence_greedy_aware_selector,greedy_soup,LCB greedy-aware selector over greedy soup,40,0.0,0.0,0.0,0.0,0,40,0,,0,2,True
overall,union_candidate_soup_vs_greedy_soup,union_candidate_soup,greedy_soup,union candidate soup over greedy soup,160,-0.00047875,-0.0008231874999999982,-0.00015434374999999853,0.013439110147058966,32,73,55,0.017827552929735955,0,6,True
independent_seed_models,union_candidate_soup_vs_greedy_soup,union_candidate_soup,greedy_soup,union candidate soup over greedy soup,120,-0.000657499999999997,-0.001090041666666664,-0.00026664583333332913,0.017936418179273605,19,58,43,0.0031560602510210594,0,6,True
low_lr_finetune_soup,union_candidate_soup_vs_greedy_soup,union_candidate_soup,greedy_soup,union candidate soup over greedy soup,40,5.7499999999990894e-05,-0.0001250625000000164,0.00025999999999998,-5.281394958495389e-05,13,15,12,1.0,2,2,True
overall,shrinkage_monomial_scale_vs_monomial_scale,shrinkage_monomial_scale,monomial_scale,shrinkage monomial over raw monomial,120,0.007020000000000008,0.004448229166666676,0.010042541666666672,-0.008468436598380423,85,6,29,1.467569126688569e-07,6,6,True
independent_seed_models,shrinkage_monomial_scale_vs_monomial_scale,shrinkage_monomial_scale,monomial_scale,shrinkage monomial over raw monomial,120,0.007020000000000008,0.004326604166666665,0.010094333333333342,-0.008468436598380423,85,6,29,1.467569126688569e-07,6,6,True
overall,global_monomial_scale_vs_monomial_scale,global_monomial_scale,monomial_scale,global monomial over raw monomial,120,0.007147500000000004,0.0047155833333333294,0.010095875000000006,-0.006270535386403403,85,4,31,5.444609183150127e-07,6,6,True
independent_seed_models,global_monomial_scale_vs_monomial_scale,global_monomial_scale,monomial_scale,global monomial over raw monomial,120,0.007147500000000004,0.004483166666666663,0.010192687499999999,-0.006270535386403403,85,4,31,5.444609183150127e-07,6,6,True
