regime,method,display_name,status,implementation_kind,n_rows,n_seeds,mean_test_accuracy,paired_delta_vs_greedy_soup,paired_delta_vs_greedy_soup_ci_low,paired_delta_vs_greedy_soup_ci_high,paired_delta_vs_c2m3,paired_delta_vs_c2m3_ci_low,paired_delta_vs_c2m3_ci_high,validation_selected_hyperparameters,source_csv,note
independent_seed_rebasin,weight_average,Weight averaging,evaluated_existing_external_baseline_artifact,native internal control,20,5,0.718615,-0.1527549999999999,-0.1881431249999999,-0.1224448749999999,-0.1294349999999999,-0.1600187499999999,-0.103513,none,reports/csv/external_baseline_comparison_summary.csv,"MNIST one-hidden-layer MLP; faithful in-repo baselines, not official external code."
independent_seed_rebasin,greedy_soup,Model Soups / greedy soup,evaluated_existing_external_baseline_artifact,faithful in-repo reimplementation,20,5,0.87137,0.0,0.0,0.0,0.0233199999999999,0.0164649999999999,0.031500375,validation accuracy/loss,reports/csv/external_baseline_comparison_summary.csv,"MNIST one-hidden-layer MLP; faithful in-repo baselines, not official external code."
independent_seed_rebasin,c2m3_permutation,C2M3-style permutation synchronization,evaluated_existing_external_baseline_artifact,faithful internal C2M3-style reimplementation,20,5,0.84805,-0.0233199999999999,-0.03222675,-0.0164033749999999,0.0,0.0,0.0,none,reports/csv/external_baseline_comparison_summary.csv,"MNIST one-hidden-layer MLP; faithful in-repo baselines, not official external code."
independent_seed_rebasin,improved_validated_selector,TwistedMerge / TwistedMerge++ selector,evaluated_existing_external_baseline_artifact,native internal method,20,5,0.868955,-0.0024149999999999,-0.0041751249999999,-0.0008598749999999,0.020905,0.013539375,0.029615125,validation accuracy/loss,reports/csv/external_baseline_comparison_summary.csv,"MNIST one-hidden-layer MLP; faithful in-repo baselines, not official external code."
independent_seed_rebasin,slerp_pairwise_midpoint,SLERP-style pairwise midpoint,path_geometry_existing_artifact,internal SLERP-style path baseline,12,4,0.5143229166666666,,,,,,,t=0.5 pairwise midpoint; no validation selection,reports/csv/slerp_barrier_geometry.csv,"Pairwise path midpoint accuracy, not a multi-model merged soup; included as an internal SLERP-style diagnostic."
