setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,group_order,group_status,noncentral_holonomy_score,representation_name,representation_dimension,is_faithful,kernel_size,orbit_count,max_orbit_size,estimated_splitting_index,representation_status,construction_cost,representation_metadata_json,reduction_threshold,pre_lift_connection_residual,post_lift_connection_residual,holonomy_reduction,relative_holonomy_reduction,projected_cycle_score,noncentrality_after_lift,split_success_flag,candidate_method,lift_implemented,selected_method,diagnostic_gate_passed,capacity_matched,reason,uses_validation_data,uses_test_data_for_selection,parameter_multiplier,inference_multiplier,branch_count,capacity_matched_to_weight_average,capacity_matched_to_same_rank_control,is_single_model,is_extra_capacity,lift_level
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3,64,none,monomial_activation,4200,513,truncated_max_group_order,0.982264602843857,low_dimensional_permutation_subrepresentation,,,,,,,skipped_no_small_orbits,orbit_restriction,{},0.25,0.982264602843857,,,,,,False,minimal_detected_representation_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,,1.0,1,False,False,True,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3,64,none,monomial_activation,4200,513,truncated_max_group_order,0.982264602843857,low_dimensional_permutation_subrepresentation,,,,,,,skipped_no_small_orbits,orbit_restriction,{},0.5,0.982264602843857,,,,,,False,minimal_detected_representation_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,,1.0,1,False,False,True,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3,64,none,monomial_activation,4200,513,truncated_max_group_order,0.982264602843857,random_same_dimension_representation_control,64.0,False,,,,64.0,random_action_control,null_control,"{""matched_dimension"": 64}",0.1,0.982264602843857,0.982264602843857,0.0,0.0,0.982264602843857,0.982264602843857,False,random_same_rank_lift_control,False,none,False,False,representation_does_not_pass_split_gate,False,False,1.0,64.0,64,False,True,False,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3,64,none,monomial_activation,4200,513,truncated_max_group_order,0.982264602843857,random_same_dimension_representation_control,64.0,False,,,,64.0,random_action_control,null_control,"{""matched_dimension"": 64}",0.25,0.982264602843857,0.982264602843857,0.0,0.0,0.982264602843857,0.982264602843857,False,random_same_rank_lift_control,False,none,False,False,representation_does_not_pass_split_gate,False,False,1.0,64.0,64,False,True,False,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3,64,none,monomial_activation,4200,513,truncated_max_group_order,0.982264602843857,random_same_dimension_representation_control,64.0,False,,,,64.0,random_action_control,null_control,"{""matched_dimension"": 64}",0.5,0.982264602843857,0.982264602843857,0.0,0.0,0.982264602843857,0.982264602843857,False,random_same_rank_lift_control,False,none,False,False,representation_does_not_pass_split_gate,False,False,1.0,64.0,64,False,True,False,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,existing_permutation_representation,64.0,,,,,64.0,constructed,existing_action,"{""orbit_sizes"": []}",0.1,0.9757809372497497,0.9757809372497497,0.0,0.0,0.9757809372497497,0.9757809372497497,False,branch_holonomy_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,1.0,64.0,64,False,False,False,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,existing_permutation_representation,64.0,,,,,64.0,constructed,existing_action,"{""orbit_sizes"": []}",0.25,0.9757809372497497,0.9757809372497497,0.0,0.0,0.9757809372497497,0.9757809372497497,False,branch_holonomy_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,1.0,64.0,64,False,False,False,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,existing_permutation_representation,64.0,,,,,64.0,constructed,existing_action,"{""orbit_sizes"": []}",0.5,0.9757809372497497,0.9757809372497497,0.0,0.0,0.9757809372497497,0.9757809372497497,False,branch_holonomy_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,1.0,64.0,64,False,False,False,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,orbit_representation,,,,,,,skipped_large_or_truncated_group,orbit_decomposition,"{""orbit_sizes"": []}",0.1,0.9757809372497497,,,,,,False,orbit_split_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,,1.0,1,False,False,True,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,orbit_representation,,,,,,,skipped_large_or_truncated_group,orbit_decomposition,"{""orbit_sizes"": []}",0.25,0.9757809372497497,,,,,,False,orbit_split_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,,1.0,1,False,False,True,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,orbit_representation,,,,,,,skipped_large_or_truncated_group,orbit_decomposition,"{""orbit_sizes"": []}",0.5,0.9757809372497497,,,,,,False,orbit_split_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,,1.0,1,False,False,True,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,regular_representation,513.0,,,,513.0,513.0,theoretical_upper_bound_too_large,left_regular_action,{},0.1,0.9757809372497497,0.9757809372497497,0.0,0.0,0.9757809372497497,0.9757809372497497,False,regular_representation_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,8.015625,1.0,1,False,False,True,True,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,regular_representation,513.0,,,,513.0,513.0,theoretical_upper_bound_too_large,left_regular_action,{},0.25,0.9757809372497497,0.9757809372497497,0.0,0.0,0.9757809372497497,0.9757809372497497,False,regular_representation_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,8.015625,1.0,1,False,False,True,True,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,regular_representation,513.0,,,,513.0,513.0,theoretical_upper_bound_too_large,left_regular_action,{},0.5,0.9757809372497497,0.9757809372497497,0.0,0.0,0.9757809372497497,0.9757809372497497,False,regular_representation_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,8.015625,1.0,1,False,False,True,True,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,quotient_representation,,,,,,,not_implemented,normal_subgroup_search_not_implemented,{},0.1,0.9757809372497497,0.9757809372497497,0.0,0.0,0.9757809372497497,0.9757809372497497,False,quotient_representation_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,,1.0,1,False,False,True,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,quotient_representation,,,,,,,not_implemented,normal_subgroup_search_not_implemented,{},0.25,0.9757809372497497,0.9757809372497497,0.0,0.0,0.9757809372497497,0.9757809372497497,False,quotient_representation_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,,1.0,1,False,False,True,False,level_1_diagnostic_only
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,513,truncated_max_group_order,0.9757809372497497,quotient_representation,,,,,,,not_implemented,normal_subgroup_search_not_implemented,{},0.5,0.9757809372497497,0.9757809372497497,0.0,0.0,0.9757809372497497,0.9757809372497497,False,quotient_representation_lift,False,none,False,False,representation_does_not_pass_split_gate,False,False,,1.0,1,False,False,True,False,level_1_diagnostic_only
