summary_type,scope,n_models,width,method,display_name,n_rows,n_seeds,mean_test_accuracy,test_accuracy_standard_error,mean_test_loss,mean_val_accuracy,mean_selection_val_accuracy,mean_merge_degradation,param_count_multiplier,inference_time_multiplier,is_single_model,uses_exact_relu_symmetry,is_soup,is_ensemble_or_extra_capacity,uses_validation_data,capacity_matched_to_weight_average,implementation_kind,official_repo,license,paired_mean_accuracy_delta_vs_internal_c2m3,paired_accuracy_delta_vs_internal_c2m3_ci_low,paired_accuracy_delta_vs_internal_c2m3_ci_high,mean_loss_delta_vs_internal_c2m3,accuracy_wins_vs_internal_c2m3,accuracy_ties_vs_internal_c2m3,accuracy_losses_vs_internal_c2m3,sign_test_two_sided_p_vs_internal_c2m3,paired_mean_accuracy_delta_vs_greedy_soup,paired_accuracy_delta_vs_greedy_soup_ci_low,paired_accuracy_delta_vs_greedy_soup_ci_high,mean_loss_delta_vs_greedy_soup,accuracy_wins_vs_greedy_soup,accuracy_ties_vs_greedy_soup,accuracy_losses_vs_greedy_soup,sign_test_two_sided_p_vs_greedy_soup,paired_mean_accuracy_delta_vs_weight_average,paired_accuracy_delta_vs_weight_average_ci_low,paired_accuracy_delta_vs_weight_average_ci_high,mean_loss_delta_vs_weight_average,accuracy_wins_vs_weight_average,accuracy_ties_vs_weight_average,accuracy_losses_vs_weight_average,sign_test_two_sided_p_vs_weight_average
method_summary,fixed_setting,3,32,validated_ladder_selector,Validated ladder selector,5,5,0.8363799999999999,0.007510619148911765,0.7770452023315431,0.8211999999999999,0.8211999999999999,0.027339999999999986,1.0,1.0,True,True,False,False,True,True,native internal method,,project,0.002180000000000004,-0.004799999999999982,0.009680999999999888,-0.006697055301666244,2,2,1,1.0,-0.025859999999999994,-0.04030000000000002,-0.012739999999999974,0.1757314823436737,0,0,5,0.0625,0.11485999999999999,0.08868000000000001,0.16007999999999997,-0.6738475396347046,5,0,0,0.0625
method_summary,fixed_setting,3,32,improved_validated_selector,Improved validated ladder selector,5,5,0.8622799999999999,0.0015985618536672201,0.6143959201431274,0.8473999999999998,0.8473999999999998,0.0014399999999999968,1.0,1.0,True,True,True,False,True,True,native internal method,,project,0.028079999999999994,0.016880000000000006,0.04199099999999996,-0.16934633749008182,5,0,0,0.0625,3.999999999999559e-05,0.0,0.00011999999999998679,0.013082200155258138,1,4,0,1.0,0.14075999999999997,0.1112,0.18109999999999996,-0.8364968218231201,5,0,0,0.0625
method_summary,fixed_setting,3,64,weight_average,Weight average / uniform soup,5,5,0.7795799999999999,0.018134811826980717,1.2308420103454591,0.7612,,0.10215999999999999,1.0,1.0,True,False,False,False,False,True,native internal control,,project,-0.0904,-0.12624,-0.06565999999999994,0.6341416764354706,0,0,5,0.0625,-0.10071999999999996,-0.13421999999999995,-0.07775999999999997,0.7572539486312866,0,0,5,0.0625,0.0,0.0,0.0,0.0,0,5,0,
method_summary,fixed_setting,3,64,git_rebasin_pairwise,Faithful Git-ReBasin-style pairwise alignment,5,5,0.8652799999999999,0.0035029130734290353,0.597447404575348,0.8493999999999999,,0.01646000000000001,1.0,1.0,True,True,False,False,False,True,faithful in-repo reimplementation,https://github.com/samuela/git-re-basin,MIT,-0.004700000000000015,-0.01126000000000007,0.001680000000000037,0.0007470706653594838,1,2,2,1.0,-0.015019999999999988,-0.019199999999999995,-0.011739999999999973,0.12385934286117553,0,0,5,0.0625,0.08569999999999997,0.06398000000000001,0.11571999999999996,-0.6333946057701111,5,0,0,0.0625
method_summary,fixed_setting,3,64,c2m3_permutation,Internal C2M3-style cycle-consistent alignment,5,5,0.86998,0.0016692513291892374,0.5967003339099884,0.8558,,0.011759999999999993,1.0,1.0,True,True,False,False,False,True,faithful internal C2M3-style reimplementation,https://github.com/crisostomi/cycle-consistent-model-merging,MIT,0.0,0.0,0.0,0.0,0,5,0,,-0.010319999999999973,-0.013960000000000018,-0.006459999999999933,0.12311227219581604,0,0,5,0.0625,0.0904,0.06311999999999995,0.12624,-0.6341416764354706,5,0,0,0.0625
method_summary,fixed_setting,3,64,greedy_soup,Faithful Model Soups greedy soup,5,5,0.8802999999999999,0.0014673104647619768,0.47358806171417234,0.8618,0.8618,0.001440000000000019,1.0,1.0,True,False,True,False,True,True,faithful in-repo reimplementation,https://github.com/mlfoundations/model-soups,MIT,0.010319999999999973,0.006419999999999937,0.013960000000000018,-0.12311227219581604,5,0,0,0.0625,0.0,0.0,0.0,0.0,0,5,0,,0.10071999999999996,0.07847899999999995,0.13535999999999995,-0.7572539486312866,5,0,0,0.0625
method_summary,fixed_setting,3,64,monomial_scale,Raw monomial scaling,5,5,0.86984,0.0019103926298015403,0.591204317779541,0.8576,,0.011899999999999977,1.0,1.0,True,True,False,False,False,True,native internal method,,project,-0.0001399999999999846,-0.0019199999999999662,0.0012799999999999923,-0.00549601613044739,2,0,3,1.0,-0.010459999999999959,-0.01549999999999998,-0.0058799999999999296,0.11761625606536866,0,0,5,0.0625,0.09026,0.06251999999999998,0.12668,-0.639637692565918,5,0,0,0.0625
method_summary,fixed_setting,3,64,monomial_scaled_greedy_soup,Monomial-scaled greedy soup,5,5,0.8792,0.001789692711054041,0.4992121637916565,0.8648,0.8648,0.0025399999999999867,1.0,1.0,True,True,True,False,True,True,native internal method plus faithful greedy soup rule,https://github.com/mlfoundations/model-soups,MIT for Model Soups reference; project code for scaling,0.009220000000000006,0.006739999999999991,0.011319999999999997,-0.09748817011833194,5,0,0,0.0625,-0.0010999999999999678,-0.00407999999999995,0.0007800000000000474,0.025624102077484102,1,3,1,1.0,0.09962,0.07493250000000005,0.13663999999999998,-0.7316298465538026,5,0,0,0.0625
method_summary,fixed_setting,3,64,validated_ladder_selector,Validated ladder selector,5,5,0.86962,0.0017785949510779697,0.5928777120208741,0.8588000000000001,0.8588000000000001,0.012119999999999975,1.0,1.0,True,True,False,False,True,True,native internal method,,project,-0.00035999999999998257,-0.002139999999999964,0.0012199999999999989,-0.003822621889114375,1,1,3,0.625,-0.010679999999999957,-0.015359999999999974,-0.005859999999999932,0.11928965030670166,0,0,5,0.0625,0.09004000000000001,0.06229999999999998,0.12668,-0.637964298324585,5,0,0,0.0625
method_summary,fixed_setting,3,64,improved_validated_selector,Improved validated ladder selector,5,5,0.87564,0.0009620810776644631,0.4987752422428131,0.8676,0.8676,0.006099999999999994,1.0,1.0,True,True,True,False,True,True,native internal method,,project,0.005659999999999998,0.0018799999999999707,0.009440000000000026,-0.09792509166717532,4,0,1,0.375,-0.004659999999999975,-0.007599999999999984,-0.0012399999999999523,0.025187180528640718,1,0,4,0.375,0.09605999999999999,0.07309999999999997,0.13321999999999998,-0.7320667681026459,5,0,0,0.0625
