residual_source,setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,group_order,group_status,group_exactness,generator_count,holonomy_order,group_exponent,is_abelian,center_size,commutator_subgroup_size,abelianization_size,element_order_histogram,noncentral_holonomy_score,triangle_relation_count
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,5001,truncated_max_group_order,truncated,4,150,,,,,,{},0.9900629320275555,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3,64,none,monomial_activation,4200,5001,truncated_max_group_order,truncated,4,90,,,,,,{},0.982264602843857,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,5001,truncated_max_group_order,truncated,4,156,,,,,,{},0.9757809372497497,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201,fashion_mnist,mlp,3,64,none,monomial_activation,4201,5001,truncated_max_group_order,truncated,4,1380,,,,,,{},0.9757809372497497,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4202,5001,truncated_max_group_order,truncated,4,224,,,,,,{},0.9721462643938925,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,fashion_mnist,mlp,3,64,none,monomial_activation,4202,5001,truncated_max_group_order,truncated,4,1100,,,,,,{},0.9791528146183311,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4203,5001,truncated_max_group_order,truncated,4,120,,,,,,{},0.9757809372497497,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,fashion_mnist,mlp,3,64,none,monomial_activation,4203,5001,truncated_max_group_order,truncated,4,228,,,,,,{},0.9791528146183311,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4204,5001,truncated_max_group_order,truncated,4,1254,,,,,,{},0.9682458365518543,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,fashion_mnist,mlp,3,64,none,monomial_activation,4204,5001,truncated_max_group_order,truncated,4,3276,,,,,,{},0.9757809372497497,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4205,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4205,5001,truncated_max_group_order,truncated,4,390,,,,,,{},0.9596345332990055,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4205,fashion_mnist,mlp,3,64,none,monomial_activation,4205,5001,truncated_max_group_order,truncated,4,46,,,,,,{},0.9682458365518543,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4206,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4206,5001,truncated_max_group_order,truncated,4,1050,,,,,,{},0.9900629320275555,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4206,fashion_mnist,mlp,3,64,none,monomial_activation,4206,5001,truncated_max_group_order,truncated,4,312,,,,,,{},0.9721462643938925,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4207,5001,truncated_max_group_order,truncated,4,222,,,,,,{},0.9757809372497497,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4207,fashion_mnist,mlp,3,64,none,monomial_activation,4207,5001,truncated_max_group_order,truncated,4,246,,,,,,{},0.9596345332990055,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4208,5001,truncated_max_group_order,truncated,4,288,,,,,,{},0.9721462643938925,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4208,fashion_mnist,mlp,3,64,none,monomial_activation,4208,5001,truncated_max_group_order,truncated,4,6006,,,,,,{},0.9640764281813968,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4209,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4209,5001,truncated_max_group_order,truncated,4,348,,,,,,{},0.9596345332990055,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4209,fashion_mnist,mlp,3,64,none,monomial_activation,4209,5001,truncated_max_group_order,truncated,4,258,,,,,,{},0.9757809372497497,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4210,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4210,5001,truncated_max_group_order,truncated,4,420,,,,,,{},0.9791528146183311,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4210,fashion_mnist,mlp,3,64,none,monomial_activation,4210,5001,truncated_max_group_order,truncated,4,560,,,,,,{},0.9851187666342571,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4211,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4211,5001,truncated_max_group_order,truncated,4,1026,,,,,,{},0.9757809372497497,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4211,fashion_mnist,mlp,3,64,none,monomial_activation,4211,5001,truncated_max_group_order,truncated,4,30,,,,,,{},0.9499177595981665,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4212,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4212,5001,truncated_max_group_order,truncated,4,280,,,,,,{},0.9757809372497497,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4212,fashion_mnist,mlp,3,64,none,monomial_activation,4212,5001,truncated_max_group_order,truncated,4,460,,,,,,{},0.9721462643938925,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4213,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4213,5001,truncated_max_group_order,truncated,4,570,,,,,,{},0.9851187666342571,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4213,fashion_mnist,mlp,3,64,none,monomial_activation,4213,5001,truncated_max_group_order,truncated,4,150,,,,,,{},0.9851187666342571,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4214,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4214,5001,truncated_max_group_order,truncated,4,390,,,,,,{},0.9900629320275555,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4214,fashion_mnist,mlp,3,64,none,monomial_activation,4214,5001,truncated_max_group_order,truncated,4,696,,,,,,{},0.9877175393299442,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4215,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4215,5001,truncated_max_group_order,truncated,4,2244,,,,,,{},0.9851187666342571,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4215,fashion_mnist,mlp,3,64,none,monomial_activation,4215,5001,truncated_max_group_order,truncated,4,132,,,,,,{},0.982264602843857,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4216,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4216,5001,truncated_max_group_order,truncated,4,48,,,,,,{},0.9596345332990055,1
real,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4216,fashion_mnist,mlp,3,64,none,monomial_activation,4216,5001,truncated_max_group_order,truncated,4,420,,,,,,{},0.9851187666342571,1
real,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4217,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4217,5001,truncated_max_group_order,truncated,4,252,,,,,,{},0.982264602843857,1
