setting_id,dataset,dataset_variant,setting_role,architecture,n_models,seed,epochs,train_samples,test_samples,val_fraction,angle_degrees,coloring,individual_accuracy_mean,individual_accuracy_max,bridge_accuracy_threshold,bridge_claims_allowed,feasibility_status,parameter_count,inference_cost_units,pairwise_activation_alignment_residual,global_channel_scale_sync_residual,sync_disagreement_mean,central_projective_candidate,finite_index_candidate,non_brauer_noncentral,channel_residual_taxonomy,conv1_permutation_cycle_score,conv2_permutation_cycle_score,fc1_permutation_cycle_score,channel_permutation_cycle_score,method,val_accuracy,val_loss,accuracy,loss,selection_used_validation_only,evaluation_status,exact_relu_channel_gauge,single_model,capacity_matched,is_soup,accuracy_delta_vs_c2m3,accuracy_delta_vs_greedy_soup,accuracy_delta_vs_weight_average,accuracy_delta_vs_git_rebasin,validation_delta_vs_c2m3,validation_delta_vs_greedy_soup,scale_source,selected_alpha,selected_tau,selected_layer_mask,conv1_log_scale_variance,conv1_mean_abs_log_scale,conv2_log_scale_variance,conv2_mean_abs_log_scale,fc1_log_scale_variance,fc1_mean_abs_log_scale,mean_log_scale_variance,mean_abs_log_scale,soup_selected_labels,soup_ingredient_count,selector_chose,selector_challenger,selector_val_margin,selector_left_greedy
rotated_mnist_15deg_N4_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,4,8500,3,6000,10000,0.2,15.0,none,0.9149,0.9222,0.8,True,bridge_claims_allowed,206922,1218048,0.5785442524486117,0.16979932668751793,0.3011067708333333,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.8443428951503942,0.8179604590299023,0.9619867856449379,0.8747633799417448,git_rebasin_channel_alignment,0.8025,0.9113168303171794,0.811,0.8781949096679688,True,evaluated,True,True,True,False,-0.020499999999999963,-0.11119999999999997,0.22960000000000003,0.0,-0.01666666666666672,-0.10499999999999998,,,,,,,,,,,,,,,,,,
rotated_mnist_15deg_N4_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,4,8500,3,6000,10000,0.2,15.0,none,0.9149,0.9222,0.8,True,bridge_claims_allowed,206922,1218048,0.5785442524486117,0.16979932668751793,0.3011067708333333,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.8443428951503942,0.8179604590299023,0.9619867856449379,0.8747633799417448,c2m3_channel_synchronization,0.8191666666666667,0.8616818173726399,0.8315,0.8213314579010009,True,evaluated,True,True,True,False,0.0,-0.0907,0.2501,0.020499999999999963,0.0,-0.08833333333333326,,,,,,,,,,,,,,,,,,
rotated_mnist_15deg_N4_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,4,8500,3,6000,10000,0.2,15.0,none,0.9149,0.9222,0.8,True,bridge_claims_allowed,206922,1218048,0.5785442524486117,0.16979932668751793,0.3011067708333333,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.8443428951503942,0.8179604590299023,0.9619867856449379,0.8747633799417448,positive_channel_scale,0.8141666666666667,0.8119033114115397,0.8228,0.7743149494171142,True,evaluated,True,True,True,False,-0.008700000000000041,-0.09940000000000004,0.24139999999999995,0.011799999999999922,-0.0050000000000000044,-0.09333333333333327,reference_raw,1.0,inf,all,1.844639064177253,0.6390482305403697,0.09568490782317872,0.22132835394956257,0.1772544402457578,0.16013234744065158,0.7058594707487299,0.3401696439768613,,,,,,
rotated_mnist_15deg_N4_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,4,8500,3,6000,10000,0.2,15.0,none,0.9149,0.9222,0.8,True,bridge_claims_allowed,206922,1218048,0.5785442524486117,0.16979932668751793,0.3011067708333333,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.8443428951503942,0.8179604590299023,0.9619867856449379,0.8747633799417448,shrinkage_channel_scale,0.8283333333333334,0.8702121861775716,0.8344,0.8312639465332031,True,evaluated,True,True,True,False,0.0029000000000000137,-0.08779999999999999,0.253,0.023399999999999976,0.009166666666666656,-0.07916666666666661,reference_shrinkage_validation_grid,0.5,0.5,all,0.022988203196834575,0.11885942250256942,0.013262421105809916,0.09292252811321619,0.0111978912160682,0.059793358021863134,0.015816171839570896,0.09052510287921624,,,,,,
rotated_mnist_15deg_N4_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,4,8500,3,6000,10000,0.2,15.0,none,0.9149,0.9222,0.8,True,bridge_claims_allowed,206922,1218048,0.5785442524486117,0.16979932668751793,0.3011067708333333,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.8443428951503942,0.8179604590299023,0.9619867856449379,0.8747633799417448,global_channel_scale,0.8291666666666667,0.8766895325978598,0.8325,0.8387090049743652,True,evaluated,True,True,True,False,0.0010000000000000009,-0.0897,0.2511,0.021499999999999964,0.010000000000000009,-0.07833333333333325,global_log_scale_sync_validation_grid,0.5,1.0,all,0.06279816319954366,0.1889170047516696,0.021204859567343182,0.10812225142910341,0.015917807738272158,0.0669301366765674,0.033306943501719664,0.12132313095244679,,,,,,
rotated_mnist_15deg_N4_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,4,8500,3,6000,10000,0.2,15.0,none,0.9149,0.9222,0.8,True,bridge_claims_allowed,206922,1218048,0.5785442524486117,0.16979932668751793,0.3011067708333333,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.8443428951503942,0.8179604590299023,0.9619867856449379,0.8747633799417448,optimized_channel_scale,0.8283333333333334,0.8702121861775716,0.8344,0.8312639465332031,True,evaluated,True,True,True,False,0.0029000000000000137,-0.08779999999999999,0.253,0.023399999999999976,0.009166666666666656,-0.07916666666666661,optimized_layer_grid_reference,0.5,0.5,conv1+conv2+fc1,0.022988203196834575,0.11885942250256942,0.013262421105809916,0.09292252811321619,0.0111978912160682,0.059793358021863134,0.015816171839570896,0.09052510287921624,,,,,,
rotated_mnist_15deg_N4_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,4,8500,3,6000,10000,0.2,15.0,none,0.9149,0.9222,0.8,True,bridge_claims_allowed,206922,1218048,0.5785442524486117,0.16979932668751793,0.3011067708333333,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.8443428951503942,0.8179604590299023,0.9619867856449379,0.8747633799417448,greedy_soup,0.9075,0.3157126029332479,0.9222,0.2546021996498108,True,evaluated,False,True,True,True,0.0907,0.0,0.3408,0.11119999999999997,0.08833333333333326,0.0,,,,,,,,,,,,,"[""original:3""]",1.0,,,,
rotated_mnist_15deg_N4_S8500,rotated_mnist,rotated_mnist_15deg,secondary,small_relu_cnn_no_batchnorm,4,8500,3,6000,10000,0.2,15.0,none,0.9149,0.9222,0.8,True,bridge_claims_allowed,206922,1218048,0.5785442524486117,0.16979932668751793,0.3011067708333333,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.8443428951503942,0.8179604590299023,0.9619867856449379,0.8747633799417448,greedy_safe_selector,0.9075,0.3157126029332479,0.9222,0.2546021996498108,True,evaluated,False,True,True,True,0.0907,0.0,0.3408,0.11119999999999997,0.08833333333333326,0.0,,,,,,,,,,,,,,,greedy_soup,global_channel_scale,-0.07833333333333325,False
rotated_mnist_25deg_N3_S8400,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8400,3,6000,10000,0.2,25.0,none,0.9129999999999999,0.9213,0.8,True,bridge_claims_allowed,206922,1218048,0.587152792347802,0.18346671664426986,0.18258101851851852,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.7071067811865475,0.770551750371122,0.9395810236483068,0.8057465184019921,weight_average,0.6541666666666667,1.7914763895670573,0.6631,1.7847071353912354,True,evaluated,False,True,True,False,-0.14159999999999995,-0.2582,0.0,-0.10360000000000003,-0.1383333333333333,-0.26583333333333337,,,,,,,,,,,,,,,,,,
rotated_mnist_25deg_N3_S8400,rotated_mnist,rotated_mnist_25deg,main,small_relu_cnn_no_batchnorm,3,8400,3,6000,10000,0.2,25.0,none,0.9129999999999999,0.9213,0.8,True,bridge_claims_allowed,206922,1218048,0.587152792347802,0.18346671664426986,0.18258101851851852,False,False,True,bridge_non_brauer_no_central_projective_candidate,0.7071067811865475,0.770551750371122,0.9395810236483068,0.8057465184019921,git_rebasin_channel_alignment,0.765,0.8298980712890625,0.7667,0.8244386554718017,True,evaluated,True,True,True,False,-0.03799999999999992,-0.15459999999999996,0.10360000000000003,0.0,-0.02749999999999997,-0.15500000000000003,,,,,,,,,,,,,,,,,,
