summary_type,method,n_rows,n_settings,mean_val_accuracy,mean_val_loss,mean_test_accuracy,test_accuracy_standard_error,test_accuracy_ci_low,test_accuracy_ci_high,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,mean_accuracy_delta_vs_weight_average,mean_validation_delta_vs_c2m3,mean_validation_delta_vs_greedy_soup,mean_channel_permutation_cycle_score,mean_pairwise_activation_alignment_residual,mean_global_channel_scale_sync_residual,mean_log_scale_variance,conv1_log_scale_variance,conv2_log_scale_variance,fc1_log_scale_variance,central_projective_candidate_fraction,finite_index_candidate_fraction,non_brauer_noncentral_fraction,exact_relu_channel_gauge,single_model,capacity_matched,is_soup,is_ensemble,selector_choice_counts,comparison,baseline,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,scope,selector_challenger_counts,left_greedy_rate,mean_delta_vs_greedy_soup,false_challenger_rate,beneficial_challenger_rate,claim,claim_decision,claim_reason
paired_comparison,optimized_channel_scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimized_channel_scale_vs_greedy_soup,greedy_soup,15.0,-0.06323333333333334,-0.07322766666666669,-0.05367250000000001,0.36354834583282475,0.0,0.0,15.0,6.103515625e-05,0.0,2.0,,,,,,,,,
paired_comparison,optimized_channel_scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimized_channel_scale_vs_weight_average,weight_average,15.0,0.4893333333333334,0.4549276666666668,0.5202991666666666,-1.1783642044766744,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_soup_vs_c2m3_channel_permutation,c2m3_channel_permutation,15.0,0.07256666666666667,0.0628785,0.08373016666666662,-0.3769955203819275,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greedy_soup_vs_weight_average,weight_average,15.0,0.5525666666666667,0.5193546666666667,0.5824641666666666,-1.541912550309499,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,channel_scaled_greedy_soup_vs_c2m3_channel_permutation,c2m3_channel_permutation,15.0,0.07256666666666667,0.06313283333333335,0.08332699999999998,-0.3769955191357931,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,channel_scaled_greedy_soup_vs_greedy_soup,greedy_soup,15.0,0.0,0.0,0.0,1.2461344437812252e-09,0.0,15.0,0.0,,0.0,2.0,,,,,,,,,
paired_comparison,channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,channel_scaled_greedy_soup_vs_weight_average,weight_average,15.0,0.5525666666666667,0.5191186666666666,0.5845649999999999,-1.541912549063365,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,shrinkage_channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shrinkage_channel_scaled_greedy_soup_vs_c2m3_channel_permutation,c2m3_channel_permutation,15.0,0.07256666666666667,0.06293116666666666,0.08372683333333333,-0.37699552342732745,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
paired_comparison,shrinkage_channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shrinkage_channel_scaled_greedy_soup_vs_greedy_soup,greedy_soup,15.0,0.0,0.0,0.0,-3.045399987744446e-09,0.0,15.0,0.0,,0.0,2.0,,,,,,,,,
paired_comparison,shrinkage_channel_scaled_greedy_soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shrinkage_channel_scaled_greedy_soup_vs_weight_average,weight_average,15.0,0.5525666666666667,0.5180666666666667,0.5845408333333334,-1.541912553354899,15.0,0.0,0.0,6.103515625e-05,2.0,2.0,,,,,,,,,
