setting_id,run_id,dataset,task_preset,architecture,width,n_tasks,seed,base_epochs,finetune_epochs,max_train_samples,max_test_samples,task_definitions_json,task_vector_sign_conflict_fraction,task_vector_active_fraction,task_vector_mean_pairwise_cosine,task_vector_min_pairwise_cosine,triangle_cycle_score,sync_disagreement,method,candidate_kind,candidate_rank,candidate_model_index,candidate_params_json,scale,density,drop_rate,validation_accuracy,validation_loss,accepted,selected,decision_reason,uses_test_metrics_for_selection
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,greedy_soup,greedy_soup_validation_trajectory,1,2.0,"{""candidate_order"":[2,0,1],""soup_indices_after"":[2],""soup_indices_before"":[]}",,,,0.7297146054840515,0.9077755768471212,True,False,accepted_initial_best_validation_model,False
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,greedy_soup,greedy_soup_validation_trajectory,2,0.0,"{""candidate_order"":[2,0,1],""soup_indices_after"":[2,0],""soup_indices_before"":[2]}",,,,0.7632904308897593,0.757889958420611,True,False,accepted_validation_accuracy_non_decrease,False
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,greedy_soup,greedy_soup_validation_trajectory,3,1.0,"{""candidate_order"":[2,0,1],""soup_indices_after"":[2,0,1],""soup_indices_before"":[2,0]}",,,,0.8539451594851707,0.4679821614253167,True,True,accepted_validation_accuracy_non_decrease,False
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,task_arithmetic,validation_hyperparameter_grid,1,,"{""scale"":0.25}",0.25,,,0.8872137043346583,0.4451309934457594,False,False,not_selected_validation_grid,False
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,task_arithmetic,validation_hyperparameter_grid,2,,"{""scale"":0.5}",0.5,,,0.8955224304372517,0.4361104804170237,True,True,selected_by_validation_accuracy_then_loss,False
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,task_arithmetic,validation_hyperparameter_grid,3,,"{""scale"":0.75}",0.75,,,0.8768815067196668,0.4445951298947093,False,False,not_selected_validation_grid,False
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,task_arithmetic,validation_hyperparameter_grid,4,,"{""scale"":1.0}",1.0,,,0.8531052432330116,0.4698158370196176,False,False,not_selected_validation_grid,False
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,task_arithmetic,validation_hyperparameter_grid,5,,"{""scale"":1.25}",1.25,,,0.8259956464130229,0.5111856993675774,False,False,not_selected_validation_grid,False
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,ties_merging,validation_hyperparameter_grid,1,,"{""density"":0.2,""scale"":0.5}",0.5,0.2,,0.8644255158054136,0.4530747697426924,True,True,selected_by_validation_accuracy_then_loss,False
mnist_mnist_digit_subsets_mlp2_W64_N3,mnist_mnist_digit_subsets_mlp2_W64_N3_seed7300,mnist,mnist_digit_subsets,mlp2,64,3,7300,3,2,6000,2000,"[{""classes"":[0,1,2,3,4],""task_name"":""digits_0_4"",""test_samples"":600,""train_samples"":1800,""val_samples"":600},{""classes"":[5,6,7,8,9],""task_name"":""digits_5_9"",""test_samples"":600,""train_samples"":1800,""val_samples"":587},{""classes"":[0,2,4,6,8],""task_name"":""even_digits"",""test_samples"":600,""train_samples"":1800,""val_samples"":600}]",0.7016765938671962,0.8234332425068119,-0.0617676246048882,-0.5279458307134078,0.0,0.0,ties_merging,validation_hyperparameter_grid,2,,"{""density"":0.2,""scale"":1.0}",1.0,0.2,,0.7825780806360023,0.6289505827447218,False,False,not_selected_validation_grid,False
