summary_type,scope,method,n_rows,n_settings,mean_val_accuracy,mean_test_accuracy,test_accuracy_standard_error,test_accuracy_ci_low,test_accuracy_ci_high,mean_individual_accuracy_max,mean_delta_vs_c2m3,mean_delta_vs_greedy_soup,mean_delta_vs_weight_average,mean_delta_vs_git_rebasin,bridge_claims_allowed_fraction,exact_relu_channel_gauge,single_model,capacity_matched,is_soup,selector_choice_counts,comparison,baseline,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,claim,claim_decision,claim_reason
method_summary,overall,weight_average,17.0,17.0,0.506078431372549,0.5112235294117646,0.030205152133335196,0.45124691176470594,0.5685157352941177,0.9286941176470589,-0.3318,-0.4165235294117647,0.0,-0.3248941176470588,1.0,False,True,True,False,{},,,,,,,,,,,,,,,,
method_summary,overall,git_rebasin_channel_alignment,17.0,17.0,0.8286764705882355,0.8361176470588235,0.016006878657622844,0.8082976470588236,0.8686180882352942,0.9286941176470589,-0.006905882352941154,-0.09162941176470589,0.3248941176470588,0.0,1.0,True,True,True,False,{},,,,,,,,,,,,,,,,
method_summary,overall,c2m3_channel_synchronization,17.0,17.0,0.8352450980392155,0.8430235294117647,0.015055670051247855,0.8162991176470588,0.873384705882353,0.9286941176470589,0.0,-0.08472352941176471,0.3318,0.006905882352941154,1.0,True,True,True,False,{},,,,,,,,,,,,,,,,
method_summary,overall,positive_channel_scale,17.0,17.0,0.7896078431372549,0.7982117647058823,0.029511920426021646,0.7441475,0.850855294117647,0.9286941176470589,-0.04481176470588234,-0.12953529411764705,0.28698823529411766,-0.037905882352941185,1.0,True,True,True,False,{},,,,,,,,,,,,,,,,
method_summary,overall,shrinkage_channel_scale,17.0,17.0,0.8474019607843137,0.8530882352941177,0.014636359043674876,0.827652205882353,0.882497794117647,0.9286941176470589,0.010064705882352936,-0.07465882352941178,0.3418647058823529,0.01697058823529409,1.0,True,True,True,False,{},,,,,,,,,,,,,,,,
method_summary,overall,global_channel_scale,17.0,17.0,0.8462254901960784,0.8523588235294117,0.01493690420624153,0.8259920588235294,0.8833547058823529,0.9286941176470589,0.009335294117647063,-0.07538823529411764,0.3411352941176471,0.016241176470588217,1.0,True,True,True,False,{},,,,,,,,,,,,,,,,
method_summary,overall,optimized_channel_scale,17.0,17.0,0.8529411764705883,0.8577529411764706,0.014036583288508101,0.8333294117647059,0.8858427941176471,0.9286941176470589,0.014729411764705894,-0.06999411764705883,0.34652941176470586,0.021635294117647048,1.0,True,True,True,False,{},,,,,,,,,,,,,,,,
method_summary,overall,greedy_soup,17.0,17.0,0.9210294117647059,0.9277470588235295,0.006135043492145676,0.91767,0.9411838235294118,0.9286941176470589,0.08472352941176471,0.0,0.4165235294117647,0.09162941176470589,1.0,False,True,True,True,{},,,,,,,,,,,,,,,,
method_summary,overall,greedy_safe_selector,17.0,17.0,0.9210294117647059,0.9277470588235295,0.006135043492145676,0.9175935294117646,0.940117794117647,0.9286941176470589,0.08472352941176471,0.0,0.4165235294117647,0.09162941176470589,1.0,False,True,True,True,"{""greedy_soup"": 17}",,,,,,,,,,,,,,,,
paired_comparison,overall,weight_average,,,,,,,,,,,,,,,,,,,weight_average_vs_c2m3_channel_synchronization,c2m3_channel_synchronization,17.0,-0.33179999999999993,-0.40089044117647055,-0.2670077941176473,1.1588677576955626,0.0,0.0,17.0,1.52587890625e-05,0.0,8.0,,,
