group_name,family,comparison,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,wins,ties,losses,sign_test_p_value
S3,trivial_coboundary,branch_regular_lift_with_invariant_pooling_vs_unlifted_c2m3_sync,150,-0.006370000000000004,-0.007583416666666668,-0.005106499999999998,0.024107604893211027,27,1,122,1.2676260076014905e-15
S3,trivial_coboundary,branch_regular_lift_with_invariant_pooling_vs_greedy_soup,150,-0.007313333333333342,-0.008483333333333343,-0.00613650000000001,0.027685431617570925,23,1,126,2.1205229688026993e-18
S3,trivial_coboundary,branch_regular_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,0.03335333333333333,0.03188241666666666,0.03487691666666667,-0.12626862416493248,150,0,0,1.401298464324817e-45
S3,trivial_coboundary,branch_orbit_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,0.02727666666666666,0.02566624999999999,0.028983583333333316,-0.10321619149943591,150,0,0,1.401298464324817e-45
S3,trivial_coboundary,controlled_nonabelian_safe_selector_vs_best_fallback,150,0.0,0.0,0.0,0.0,0,150,0,
S3,trivial_coboundary,controlled_nonabelian_safe_selector_vs_random_same_branch_count_control,150,0.04010666666666668,0.038775916666666674,0.04160008333333334,-0.15179767249214896,150,0,0,1.401298464324817e-45
S3,planted_nonabelian_holonomy,branch_regular_lift_with_invariant_pooling_vs_unlifted_c2m3_sync,150,0.2642533333333333,0.2623396666666667,0.26624016666666667,-1.0002249223865938,150,0,0,1.401298464324817e-45
S3,planted_nonabelian_holonomy,branch_regular_lift_with_invariant_pooling_vs_greedy_soup,150,0.2253066666666667,0.22323566666666667,0.2273534166666667,-0.8528249826963613,150,0,0,1.401298464324817e-45
S3,planted_nonabelian_holonomy,branch_regular_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,0.18006666666666668,0.178136,0.18209033333333333,-0.6817729659379598,150,0,0,1.401298464324817e-45
S3,planted_nonabelian_holonomy,branch_orbit_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,0.13619333333333333,0.13397575,0.13849708333333333,-0.5158026332516162,150,0,0,1.401298464324817e-45
S3,planted_nonabelian_holonomy,controlled_nonabelian_safe_selector_vs_best_fallback,150,0.22671666666666662,0.22440658333333333,0.22903691666666662,-0.8581644124221693,150,0,0,1.401298464324817e-45
S3,planted_nonabelian_holonomy,controlled_nonabelian_safe_selector_vs_random_same_branch_count_control,150,0.18006666666666668,0.17807325000000002,0.18197,-0.6817729659379598,150,0,0,1.401298464324817e-45
S3,random_noncoherent_null,branch_regular_lift_with_invariant_pooling_vs_unlifted_c2m3_sync,150,-0.012920000000000006,-0.015176750000000015,-0.010619750000000006,0.04851203572338656,21,2,127,1.1113341249848234e-19
S3,random_noncoherent_null,branch_regular_lift_with_invariant_pooling_vs_greedy_soup,150,-0.02430000000000001,-0.026717083333333346,-0.02171650000000001,0.09168981348137073,8,1,141,1.4773970092413483e-32
S3,random_noncoherent_null,branch_regular_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,-0.009113333333333336,-0.011610416666666672,-0.006585916666666673,0.03397137875360132,34,4,112,6.42131847302157e-11
S3,random_noncoherent_null,branch_orbit_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,-0.014906666666666662,-0.017400916666666662,-0.012555166666666668,0.056085487970946514,19,2,129,2.7684751815989e-21
S3,random_noncoherent_null,controlled_nonabelian_safe_selector_vs_best_fallback,150,0.0,0.0,0.0,0.0,0,150,0,
S3,random_noncoherent_null,controlled_nonabelian_safe_selector_vs_random_same_branch_count_control,150,0.011053333333333335,0.008429833333333333,0.01352116666666668,-0.04192173198177828,113,1,36,1.8660893156355634e-10
D4,trivial_coboundary,branch_regular_lift_with_invariant_pooling_vs_unlifted_c2m3_sync,150,-0.0066800000000000045,-0.007947583333333334,-0.005349499999999999,0.025214042948359893,28,5,117,3.893241002593816e-14
D4,trivial_coboundary,branch_regular_lift_with_invariant_pooling_vs_greedy_soup,150,-0.008706666666666673,-0.00995000000000001,-0.007446166666666677,0.03294402665494529,19,3,128,4.832382023295392e-21
D4,trivial_coboundary,branch_regular_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,0.032446666666666665,0.03107641666666667,0.03385008333333333,-0.12281655236720757,150,0,0,1.401298464324817e-45
D4,trivial_coboundary,branch_orbit_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,0.025776666666666656,0.024296333333333326,0.027296999999999988,-0.09759595337215697,150,0,0,1.401298464324817e-45
D4,trivial_coboundary,controlled_nonabelian_safe_selector_vs_best_fallback,150,0.0,0.0,0.0,0.0,0,150,0,
D4,trivial_coboundary,controlled_nonabelian_safe_selector_vs_random_same_branch_count_control,150,0.04018666666666667,0.03887641666666667,0.04148425,-0.15209609693378592,150,0,0,1.401298464324817e-45
D4,planted_nonabelian_holonomy,branch_regular_lift_with_invariant_pooling_vs_unlifted_c2m3_sync,150,0.26452999999999993,0.26210983333333326,0.26685675,-1.0016461676044472,150,0,0,1.401298464324817e-45
D4,planted_nonabelian_holonomy,branch_regular_lift_with_invariant_pooling_vs_greedy_soup,150,0.22494,0.22289933333333334,0.226884,-0.8513688324598547,150,0,0,1.401298464324817e-45
D4,planted_nonabelian_holonomy,branch_regular_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,0.17917666666666668,0.17713625000000002,0.1812776666666667,-0.678229353143055,150,0,0,1.401298464324817e-45
D4,planted_nonabelian_holonomy,branch_orbit_lift_with_invariant_pooling_vs_random_same_branch_count_control,150,0.10583333333333336,0.10385641666666669,0.10790716666666667,-0.40046152650187794,150,0,0,1.401298464324817e-45
D4,planted_nonabelian_holonomy,controlled_nonabelian_safe_selector_vs_best_fallback,150,0.22581333333333334,0.2237259166666667,0.22789041666666673,-0.8546618367875825,150,0,0,1.401298464324817e-45
D4,planted_nonabelian_holonomy,controlled_nonabelian_safe_selector_vs_random_same_branch_count_control,150,0.17917666666666668,0.17730308333333333,0.18109375000000003,-0.678229353143055,150,0,0,1.401298464324817e-45
