summary_scope,threshold,threshold_value,n_triangles,mean_centrality_score,min_centrality_score,mean_phase_residual,min_phase_residual,fraction_finite_index_candidates,most_common_detected_order,pearson_centrality_vs_weight_degradation,spearman_centrality_vs_weight_degradation,pearson_candidate_score_vs_weight_degradation,pearson_cycle_score_vs_weight_degradation,tmpp_classification_counts,source,dataset,architecture,n_models,width
overall_by_source,strict,1e-06,3,1.623041835845469e-16,1.0605752387249068e-16,1.5375092534279738e-16,6.123233995736766e-17,1.0,2,,,,,"{""finite_index_projective_lift"": 3}",positive_control,,,,
overall_by_source,strict,1e-06,50,0.9620175116907254,0.899218410621135,0.0,0.0,0.0,none,0.09838244072137073,0.19045147734631174,0.09838244072137073,0.1292073738949305,"{""edge_outlier_or_noise"": 7, ""random_noncentral"": 43}",real_mnist,,,,
real_setting,strict,1e-06,5,0.9659614568918954,0.9270248108869579,0.0,0.0,0.0,none,0.2843695639093947,0.44721359549995787,0.2843695639093947,0.3963303192980345,"{""edge_outlier_or_noise"": 5}",real_mnist,mnist,mlp,3.0,16.0
real_setting,strict,1e-06,5,0.9560681996838752,0.9270248108869578,0.0,0.0,0.0,none,0.7357972299909195,0.8720815992723809,0.7357972299909195,0.7365627507307713,"{""edge_outlier_or_noise"": 2, ""random_noncentral"": 3}",real_mnist,mnist,mlp,3.0,32.0
real_setting,strict,1e-06,20,0.9604639365021341,0.899218410621135,0.0,0.0,0.0,none,-0.09020179436538886,-0.018935832092934094,-0.09020179436538886,-0.04176481422325403,"{""random_noncentral"": 20}",real_mnist,mnist,mlp,4.0,16.0
real_setting,strict,1e-06,20,0.9640724285807369,0.9137619698258402,0.0,0.0,0.0,none,0.4248287921899004,0.36773261036692506,0.4248287921899004,0.4032534614687394,"{""random_noncentral"": 20}",real_mnist,mnist,mlp,4.0,32.0
overall_by_source,medium,0.001,3,1.623041835845469e-16,1.0605752387249068e-16,1.5375092534279738e-16,6.123233995736766e-17,1.0,2,,,,,"{""finite_index_projective_lift"": 3}",positive_control,,,,
overall_by_source,medium,0.001,50,0.9620175116907254,0.899218410621135,0.0,0.0,0.0,none,0.09838244072137073,0.19045147734631174,0.09838244072137073,0.1292073738949305,"{""edge_outlier_or_noise"": 7, ""random_noncentral"": 43}",real_mnist,,,,
real_setting,medium,0.001,5,0.9659614568918954,0.9270248108869579,0.0,0.0,0.0,none,0.2843695639093947,0.44721359549995787,0.2843695639093947,0.3963303192980345,"{""edge_outlier_or_noise"": 5}",real_mnist,mnist,mlp,3.0,16.0
real_setting,medium,0.001,5,0.9560681996838752,0.9270248108869578,0.0,0.0,0.0,none,0.7357972299909195,0.8720815992723809,0.7357972299909195,0.7365627507307713,"{""edge_outlier_or_noise"": 2, ""random_noncentral"": 3}",real_mnist,mnist,mlp,3.0,32.0
real_setting,medium,0.001,20,0.9604639365021341,0.899218410621135,0.0,0.0,0.0,none,-0.09020179436538886,-0.018935832092934094,-0.09020179436538886,-0.04176481422325403,"{""random_noncentral"": 20}",real_mnist,mnist,mlp,4.0,16.0
real_setting,medium,0.001,20,0.9640724285807369,0.9137619698258402,0.0,0.0,0.0,none,0.4248287921899004,0.36773261036692506,0.4248287921899004,0.4032534614687394,"{""random_noncentral"": 20}",real_mnist,mnist,mlp,4.0,32.0
overall_by_source,loose,0.01,3,1.623041835845469e-16,1.0605752387249068e-16,1.5375092534279738e-16,6.123233995736766e-17,1.0,2,,,,,"{""finite_index_projective_lift"": 3}",positive_control,,,,
overall_by_source,loose,0.01,50,0.9620175116907254,0.899218410621135,0.0,0.0,0.0,none,0.09838244072137073,0.19045147734631174,0.09838244072137073,0.1292073738949305,"{""edge_outlier_or_noise"": 7, ""random_noncentral"": 43}",real_mnist,,,,
real_setting,loose,0.01,5,0.9659614568918954,0.9270248108869579,0.0,0.0,0.0,none,0.2843695639093947,0.44721359549995787,0.2843695639093947,0.3963303192980345,"{""edge_outlier_or_noise"": 5}",real_mnist,mnist,mlp,3.0,16.0
real_setting,loose,0.01,5,0.9560681996838752,0.9270248108869578,0.0,0.0,0.0,none,0.7357972299909195,0.8720815992723809,0.7357972299909195,0.7365627507307713,"{""edge_outlier_or_noise"": 2, ""random_noncentral"": 3}",real_mnist,mnist,mlp,3.0,32.0
real_setting,loose,0.01,20,0.9604639365021341,0.899218410621135,0.0,0.0,0.0,none,-0.09020179436538886,-0.018935832092934094,-0.09020179436538886,-0.04176481422325403,"{""random_noncentral"": 20}",real_mnist,mnist,mlp,4.0,16.0
real_setting,loose,0.01,20,0.9640724285807369,0.9137619698258402,0.0,0.0,0.0,none,0.4248287921899004,0.36773261036692506,0.4248287921899004,0.4032534614687394,"{""random_noncentral"": 20}",real_mnist,mnist,mlp,4.0,32.0
