setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,max_train_samples,max_test_samples,dataset_seed,val_fraction,n_validation_examples,n_test_examples,checkpoint_source,candidate_set,candidate_rank,candidate_order,soup_indices_before,soup_indices_after,validation_accuracy_before,validation_loss_before,candidate_soup_validation_accuracy,candidate_soup_validation_loss,validation_accuracy_margin_after_minus_before,validation_loss_margin_before_minus_after,accepted,decision_reason,decision_metric,decision_metric_source,test_used_for_selection,is_final_selection,candidate_index,candidate_label,candidate_type,candidate_family,candidate_source_model_index,candidate_exact_relu_symmetry,candidate_is_extra_capacity,candidate_parameter_multiplier,candidate_inference_multiplier,candidate_capacity_matched_to_weight_average,candidate_note,final_test_accuracy,final_test_loss,test_metric_role
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,ordinary_local_greedy_soup,1,"[0,1,2]",[],[0],,,0.855,0.4338729362487793,,,True,accepted_initial_best_validation_candidate,validation_accuracy,direct_candidate_soup_validation_metric,False,True,0,local:0,local_individual_checkpoint,local,0,True,False,1.0,1.0,True,ordinary local section checkpoint,0.8278,0.49133039364814757,evaluation_only_final_selection
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,ordinary_local_greedy_soup,2,"[0,1,2]",[0],[0],0.855,0.4338729362487793,0.495,1.2804414825439454,-0.36,-0.8465685462951661,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,False,False,1,local:1,local_individual_checkpoint,local,1,True,False,1.0,1.0,True,ordinary local section checkpoint,,,not_evaluated_for_candidate_decision
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,ordinary_local_greedy_soup,3,"[0,1,2]",[0],[0],0.855,0.4338729362487793,0.548,1.2031148948669435,-0.30699999999999994,-0.7692419586181641,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,False,False,2,local:2,local_individual_checkpoint,local,2,True,False,1.0,1.0,True,ordinary local section checkpoint,,,not_evaluated_for_candidate_decision
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_gauge_candidate_soup,1,"[7,0,20,17,14,11,8,4,1,21,18,15,12,9,5,2,10,6,16,13,19,22,3]",[],[7],,,0.855,0.43387292861938476,,,True,accepted_initial_best_validation_candidate,validation_accuracy,direct_candidate_soup_validation_metric,False,True,7,c2m3_synchronized:section:0,gauge_corrected_local_section,c2m3_synchronized,0,True,False,1.0,1.0,True,"cycle-synchronized permutation section; sync_ref=hidden1:0,hidden2:1",0.8278,0.49133039064407347,evaluation_only_final_selection
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_gauge_candidate_soup,2,"[7,0,20,17,14,11,8,4,1,21,18,15,12,9,5,2,10,6,16,13,19,22,3]",[7],[7],0.855,0.43387292861938476,0.767,0.7483086891174316,-0.08799999999999997,-0.3144357604980469,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,False,False,0,local:0,local_individual_checkpoint,local,0,True,False,1.0,1.0,True,ordinary local section checkpoint,,,not_evaluated_for_candidate_decision
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_gauge_candidate_soup,3,"[7,0,20,17,14,11,8,4,1,21,18,15,12,9,5,2,10,6,16,13,19,22,3]",[7],[7],0.855,0.43387292861938476,0.797,0.7101104488372803,-0.05799999999999994,-0.2762375202178955,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,False,False,20,monomial_weight_raw:section:1,gauge_corrected_local_section,monomial_weight_raw,1,True,False,1.0,1.0,True,weight-matched positive monomial gauge aligned to model 0,,,not_evaluated_for_candidate_decision
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_gauge_candidate_soup,4,"[7,0,20,17,14,11,8,4,1,21,18,15,12,9,5,2,10,6,16,13,19,22,3]",[7],[7],0.855,0.43387292861938476,0.733,0.7796167221069336,-0.122,-0.3457437934875488,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,False,False,17,monomial_activation_global:section:1,gauge_corrected_local_section,monomial_activation_global,1,True,False,1.0,1.0,True,activation-matched positive monomial gauge with global log-scale synchronization,,,not_evaluated_for_candidate_decision
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_gauge_candidate_soup,5,"[7,0,20,17,14,11,8,4,1,21,18,15,12,9,5,2,10,6,16,13,19,22,3]",[7],[7],0.855,0.43387292861938476,0.7375,0.777704288482666,-0.11749999999999994,-0.3438313598632813,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,False,False,14,monomial_activation_shrinkage:section:1,gauge_corrected_local_section,monomial_activation_shrinkage,1,True,False,1.0,1.0,True,activation-matched positive monomial gauge with shrinkage regularization,,,not_evaluated_for_candidate_decision
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_gauge_candidate_soup,6,"[7,0,20,17,14,11,8,4,1,21,18,15,12,9,5,2,10,6,16,13,19,22,3]",[7],[7],0.855,0.43387292861938476,0.743,0.7774590110778808,-0.11199999999999999,-0.3435860824584961,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,False,False,11,monomial_activation_raw:section:1,gauge_corrected_local_section,monomial_activation_raw,1,True,False,1.0,1.0,True,activation-matched positive monomial gauge aligned to model 0,,,not_evaluated_for_candidate_decision
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3000,fashion_mnist,mlp2,3,128,input_noise,activation,3000,10000,5000,314159,0.2,2000,5000,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/fixed_setting_verification/fashion_mnist_mlp2_N3_W128_input_noise_activation,expanded_gauge_candidate_soup,7,"[7,0,20,17,14,11,8,4,1,21,18,15,12,9,5,2,10,6,16,13,19,22,3]",[7],[7],0.855,0.43387292861938476,0.821,0.51054638671875,-0.03400000000000003,-0.07667345809936521,False,rejected_validation_accuracy_decrease,validation_accuracy,direct_candidate_soup_validation_metric,False,False,8,c2m3_synchronized:section:1,gauge_corrected_local_section,c2m3_synchronized,1,True,False,1.0,1.0,True,"cycle-synchronized permutation section; sync_ref=hidden1:0,hidden2:1",,,not_evaluated_for_candidate_decision
