summary_type,family,width,method,comparison,n_rows,n_unique_seeds,mean_test_accuracy,test_accuracy_ci_low,test_accuracy_ci_high,mean_test_loss,mean_delta,delta_ci_low,delta_ci_high,claim_status
method,mu2_coboundary,64,distilled_twisted_single_model,,30,30,1.0,1.0,1.0,0.4081738059419362,,,,control_method_descriptive
method,mu2_coboundary,64,ensemble_upper_bound,,30,30,1.0,1.0,1.0,0.4081738059419362,,,,method_descriptive
method,mu2_coboundary,64,git_rebasin_pairwise,,30,30,1.0,1.0,1.0,0.4081738059419362,,,,method_descriptive
method,mu2_coboundary,64,learned_context_router,,30,30,1.0,1.0,1.0,0.4081738059419362,,,,control_method_descriptive
method,mu2_coboundary,64,no_twist_branch_control,,30,30,1.0,1.0,1.0,0.4081738059419362,,,,control_method_descriptive
method,mu2_coboundary,64,ordinary_weight_average,,30,30,0.49997500000000006,0.49654979166666663,0.503275,0.6931471805599457,,,,method_descriptive
method,mu2_coboundary,64,parameter_matched_wide_control,,30,30,0.9813333333333334,0.975958125,0.9866087499999997,0.47897770003066475,,,,control_method_descriptive
method,mu2_coboundary,64,random_branch_ensemble,,30,30,0.5333333333333333,0.36666666666666664,0.7,0.7790173803651769,,,,method_descriptive
method,mu2_coboundary,64,twisted_q2_branch,,30,30,1.0,1.0,1.0,0.4081738059419362,,,,method_descriptive
method,mu2_coboundary,64,validation_selected_branch_ensemble,,30,30,1.0,1.0,1.0,0.4081738059419362,,,,method_descriptive
method,mu2_coboundary,64,wrong_context_control,,30,30,1.0,1.0,1.0,0.4081738059419362,,,,control_method_descriptive
method,mu2_coboundary,64,wrong_twist_control,,30,30,0.0,0.0,0.0,1.202669643942538,,,,control_method_descriptive
method,mu2_nontrivial_h2,32,c2m3_cluster_branch_ensemble,,30,30,0.75,0.75,0.75,0.6082023442096879,,,,method_descriptive
method,mu2_nontrivial_h2,32,c2m3_synchronized,,30,30,0.75,0.75,0.75,0.6082023442096879,,,,method_descriptive
method,mu2_nontrivial_h2,32,distilled_twisted_single_model,,30,30,0.75,0.75,0.75,0.6246020391078121,,,,control_method_descriptive
method,mu2_nontrivial_h2,32,ensemble_upper_bound,,30,30,0.75,0.75,0.75,0.6082023442096879,,,,method_descriptive
method,mu2_nontrivial_h2,32,git_rebasin_pairwise,,30,30,0.75,0.75,0.75,0.6082023442096879,,,,method_descriptive
method,mu2_nontrivial_h2,32,learned_context_router,,30,30,1.0,1.0,1.0,0.4084073158965281,,,,control_method_descriptive
method,mu2_nontrivial_h2,32,no_twist_branch_control,,30,30,0.75,0.75,0.75,0.6082023442096879,,,,control_method_descriptive
method,mu2_nontrivial_h2,32,ordinary_weight_average,,30,30,0.49928333333333336,0.49514166666666676,0.503166875,0.6931471805599457,,,,method_descriptive
method,mu2_nontrivial_h2,32,parameter_matched_wide_control,,30,30,0.7372833333333333,0.7340331249999998,0.7405333333333332,0.6140261249580505,,,,control_method_descriptive
method,mu2_nontrivial_h2,32,random_branch_ensemble,,30,30,0.55,0.4666666666666667,0.6333333333333333,0.7662038198236644,,,,method_descriptive
method,mu2_nontrivial_h2,32,twisted_q2_branch,,30,30,1.0,1.0,1.0,0.4084073158965281,,,,method_descriptive
method,mu2_nontrivial_h2,32,validation_selected_branch_ensemble,,30,30,0.75,0.75,0.75,0.6082023442096879,,,,method_descriptive
method,mu2_nontrivial_h2,32,wrong_context_control,,30,30,0.5,0.5,0.5,0.8049452728997148,,,,control_method_descriptive
