null_id,null_family,width,inferred_group_order,H2_size,coefficient_group,accepted_class_count,false_nontrivial_class_rate,false_lift_rate,false_period_index_rate,diagnostic_only,notes
random_generated_permutation_subgroups_0,random_generated_permutation_subgroups,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_1,random_generated_permutation_subgroups,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_2,random_generated_permutation_subgroups,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_3,random_generated_permutation_subgroups,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_4,random_generated_permutation_subgroups,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_5,random_generated_permutation_subgroups,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_6,random_generated_permutation_subgroups,64,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_7,random_generated_permutation_subgroups,128,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_8,random_generated_permutation_subgroups,64,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_9,random_generated_permutation_subgroups,128,2,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_10,random_generated_permutation_subgroups,64,3,1.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
random_generated_permutation_subgroups_11,random_generated_permutation_subgroups,128,4,2.0,Z/2Z,0,0.0,0.0,0.0,True,strict group-cohomology null control; no lift activation
