run_id,group_name,family,seed,hidden_width,input_dim,n_train,n_val,n_test,group_order,group_exponent,holonomy_element,holonomy_order,is_holonomy_central,stable_group_action,method,validation_accuracy,test_accuracy,validation_loss,test_loss,selected_by_validation,selector_no_test_leakage,ordinary_sync_residual,branch_action_residual,naive_representation_residual,invariant_pooling_residual,pre_lift_connection_residual,post_lift_connection_residual,invariant_projection_residual,parameter_multiplier,inference_multiplier,branch_count,capacity_matched_to_unlifted,capacity_matched_to_random_branch_control,is_single_model,is_extra_capacity,selector_method,selected_method,selected_branch_lift,best_fallback_method,best_fallback_val_accuracy,best_fallback_val_loss,selector_epsilon,selector_loss_slack
S3_trivial_coboundary_W12_seed11,S3,trivial_coboundary,11,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.985,0.968,0.06463610835235187,0.12836325739041596,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.985,0.06463610835235187,0.0,0.0
S3_trivial_coboundary_W12_seed12,S3,trivial_coboundary,12,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.963,0.9735,0.14810542205118324,0.10854091464779268,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.963,0.14810542205118324,0.0,0.0
S3_trivial_coboundary_W12_seed13,S3,trivial_coboundary,13,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.968,0.96,0.12928299629668988,0.1589002173647153,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.968,0.12928299629668988,0.0,0.0
S3_trivial_coboundary_W12_seed14,S3,trivial_coboundary,14,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.967,0.9605,0.13187230880968634,0.15665039995996,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.967,0.13187230880968634,0.0,0.0
S3_trivial_coboundary_W12_seed15,S3,trivial_coboundary,15,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.972,0.969,0.11456922543696992,0.12506140822997472,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.972,0.11456922543696992,0.0,0.0
S3_trivial_coboundary_W12_seed16,S3,trivial_coboundary,16,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.971,0.961,0.11778974852713034,0.15484725538975438,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.971,0.11778974852713034,0.0,0.0
S3_trivial_coboundary_W12_seed17,S3,trivial_coboundary,17,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.962,0.9625,0.15245468066978082,0.1505671986755566,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.962,0.15245468066978082,0.0,0.0
S3_trivial_coboundary_W12_seed18,S3,trivial_coboundary,18,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.971,0.9715,0.11650076806298007,0.11594003866729727,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,unlifted_c2m3_sync,False,unlifted_c2m3_sync,0.971,0.11650076806298007,0.0,0.0
S3_trivial_coboundary_W12_seed19,S3,trivial_coboundary,19,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.975,0.96,0.1028488341102183,0.15955071857186773,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.975,0.1028488341102183,0.0,0.0
S3_trivial_coboundary_W12_seed20,S3,trivial_coboundary,20,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.962,0.9705,0.14997106906137656,0.1192205814816635,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False,controlled_nonabelian_safe_selector,greedy_soup,False,greedy_soup,0.962,0.14997106906137656,0.0,0.0
