dataset,task_preset,architecture,width,n_tasks,method,method_role,status,n_rows,n_ok_rows,n_unique_seeds,mean_average_test_accuracy,accuracy_ci_low,accuracy_ci_high,mean_worst_task_accuracy,mean_validation_selected_accuracy,mean_interference_score,mean_base_epochs,mean_finetune_epochs,mean_delta_vs_greedy_soup,delta_vs_greedy_ci_low,delta_vs_greedy_ci_high,mean_delta_vs_task_arithmetic,delta_vs_task_arithmetic_ci_low,delta_vs_task_arithmetic_ci_high,mean_delta_vs_ties,delta_vs_ties_ci_low,delta_vs_ties_ci_high,mean_delta_vs_dare,delta_vs_dare_ci_low,delta_vs_dare_ci_high,mean_sign_conflict_fraction,mean_triangle_cycle_score,best_single_model_method_by_mean_accuracy,claim_decision,claim_boundary
fashion_mnist,fashion_class_subsets,mlp2,64,3,task_arithmetic,same_base_task_vector,ok,20,20,20,0.6932222222222222,0.687861111111111,0.6985562499999999,0.6438333333333335,0.724582235766289,0.08466666666666665,3.0,2.0,0.010472222222222159,0.005665972222222162,0.014805555555555471,0.0,0.0,0.0,0.0470277777777777,0.035804861111111023,0.059362499999999915,-0.000388888888888905,-0.0023340277777778337,0.0015833333333332845,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,ties_merging,same_base_task_vector,ok,20,20,20,0.6461944444444445,0.6306381944444444,0.6607229166666667,0.55725,0.674545173745827,0.13169444444444442,3.0,2.0,-0.036555555555555494,-0.04816736111111102,-0.024888194444444407,-0.0470277777777777,-0.05908472222222217,-0.03547222222222214,0.0,0.0,0.0,-0.04741666666666662,-0.0597291666666666,-0.03655416666666661,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,64,3,weight_average,same_base_weight_average,ok,20,20,20,0.6831388888888889,0.6758611111111111,0.69041875,0.6392500000000001,0.711118000785856,0.09474999999999997,3.0,2.0,0.00038888888888888995,-0.000666666666666675,0.0018333333333333448,-0.010083333333333276,-0.014555555555555494,-0.005332638888888834,0.03694444444444439,0.024777083333333262,0.04919583333333328,-0.010472222222222206,-0.01624999999999998,-0.00444444444444446,0.7841628216789984,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,base_model,common_base_reference,ok,20,20,20,0.7140833333333333,0.7096111111111111,0.7188625000000001,0.6415,0.7460055482546128,0.08777777777777776,3.0,2.0,0.01774999999999996,0.01155486111111108,0.02374999999999996,-0.012472222222222166,-0.015667361111111045,-0.009305555555555522,0.07074999999999995,0.05469236111111106,0.08744861111111105,-0.01386111111111106,-0.01744444444444437,-0.010722222222222164,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,c2m3_synchronization_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,dare,same_base_task_vector,ok,20,20,20,0.7279444444444445,0.7237770833333333,0.7323895833333333,0.6761666666666666,0.7603908959054649,0.07391666666666666,3.0,2.0,0.03161111111111107,0.02588819444444437,0.03722222222222215,0.0013888888888888699,-0.00044513888888887904,0.00336111111111106,0.08461111111111104,0.06972013888888885,0.10080833333333322,0.0,0.0,0.0,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,git_rebasin_pairwise_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,greedy_soup,model_soups_validation_descent,ok,20,20,20,0.6963333333333332,0.6906638888888887,0.7028069444444444,0.6211666666666666,0.7267194297746927,0.10552777777777778,3.0,2.0,0.0,0.0,0.0,-0.03022222222222217,-0.03638888888888885,-0.02383194444444442,0.052999999999999936,0.036859027777777706,0.06908472222222217,-0.03161111111111107,-0.036916666666666625,-0.02608263888888886,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,individual_finetuned_fashion_even,individual_task_model,ok,20,20,20,0.6449166666666667,0.635804861111111,0.6540020833333334,0.5900000000000001,0.6681468806086871,0.15694444444444444,3.0,2.0,-0.051416666666666624,-0.06283333333333328,-0.0395270833333333,-0.08163888888888884,-0.09102847222222216,-0.07216597222222218,0.0015833333333333283,-0.015806944444444464,0.019029166666666625,-0.08302777777777773,-0.09222291666666664,-0.07358194444444437,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,individual_finetuned_fashion_high,individual_task_model,ok,20,20,20,0.4531666666666666,0.4489444444444445,0.4571958333333333,0.07966666666666664,0.4503376348847069,0.3486944444444444,3.0,2.0,-0.24316666666666661,-0.24988958333333328,-0.23608333333333334,-0.2733888888888889,-0.2804729166666667,-0.26661041666666657,-0.19016666666666662,-0.20750347222222223,-0.17216527777777776,-0.27477777777777773,-0.28080555555555553,-0.26880486111111107,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,individual_finetuned_fashion_low,individual_task_model,ok,20,20,20,0.6201666666666668,0.6136638888888889,0.6266673611111111,0.5071666666666667,0.6291125709135825,0.18169444444444444,3.0,2.0,-0.07616666666666662,-0.08658333333333328,-0.06608194444444436,-0.10638888888888884,-0.11522361111111107,-0.09836111111111105,-0.023166666666666662,-0.04344583333333333,-0.002860416666666723,-0.10777777777777772,-0.11708333333333325,-0.0989444444444444,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,individual_finetuned_mean,oracle_summary_not_single_model,oracle_summary,20,20,20,0.8018611111111109,0.7994166666666668,0.8045555555555556,0.6976666666666668,,0.0,3.0,2.0,0.10552777777777778,0.09980416666666667,0.11141736111111107,0.07530555555555554,0.07099930555555554,0.07919444444444447,0.15852777777777774,0.14124861111111103,0.17622291666666662,0.07391666666666666,0.07008333333333334,0.07777777777777774,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,slerp_sequential,same_base_interpolation,ok,20,20,20,0.6974166666666666,0.6917194444444443,0.7038333333333332,0.6156666666666667,0.7279283179317612,0.10444444444444442,3.0,2.0,0.00108333333333334,-0.0009729166666666779,0.004555555555555519,-0.029138888888888843,-0.03602847222222218,-0.022304861111111088,0.054083333333333275,0.03791458333333328,0.07036249999999993,-0.030527777777777727,-0.03644444444444438,-0.02458263888888883,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,task_arithmetic,same_base_task_vector,ok,20,20,20,0.7265555555555555,0.7221659722222222,0.7311666666666665,0.6712499999999999,0.7607950970135101,0.07530555555555554,3.0,2.0,0.03022222222222217,0.023637499999999978,0.036529861111111075,0.0,0.0,0.0,0.08322222222222217,0.06782638888888878,0.09930624999999992,-0.0013888888888888699,-0.0033618055555555346,0.0005277777777777508,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,ties_merging,same_base_task_vector,ok,20,20,20,0.6433333333333334,0.6279986111111111,0.6602506944444445,0.5136666666666667,0.6735427314133253,0.15852777777777774,3.0,2.0,-0.052999999999999936,-0.06844444444444439,-0.037468055555555525,-0.08322222222222217,-0.09819583333333327,-0.0686388888888888,0.0,0.0,0.0,-0.08461111111111104,-0.09989027777777768,-0.06949791666666666,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_class_subsets,mlp2,128,3,weight_average,same_base_weight_average,ok,20,20,20,0.6973333333333334,0.6915555555555555,0.7037506944444445,0.6155,0.7279830266797813,0.10452777777777778,3.0,2.0,0.001000000000000005,-0.00108333333333332,0.004416666666666645,-0.029222222222222177,-0.03611319444444438,-0.022471527777777747,0.05399999999999994,0.037884722222222174,0.07030624999999992,-0.03061111111111106,-0.036472916666666626,-0.02466666666666661,0.7894256527755209,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,base_model,common_base_reference,ok,20,20,20,0.7410492264416315,0.7372173611111112,0.7449526195499295,0.5423333333333333,0.7658855414826679,0.07598804500703228,3.0,2.0,-0.0008076652601969006,-0.004419295007032308,0.0038645569620252944,-0.004262658227848061,-0.006659906821378279,-0.0019201388888888512,0.0012756680731364188,-0.0015773734177215123,0.003936489099859312,-0.0049507735583684395,-0.007598400140646896,-0.002250334036568177,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,c2m3_synchronization_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,dare,same_base_task_vector,ok,20,20,20,0.746,0.7421531909282699,0.7496227584388185,0.5464166666666667,0.7718155970215402,0.07103727144866383,3.0,2.0,0.004143108298171529,0.0020604781997186714,0.006914565752461237,0.0006881153305203694,-0.00045928270042194536,0.0018613132911391985,0.006226441631504846,0.004912983473980244,0.007616693037974606,0.0,0.0,0.0,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,git_rebasin_pairwise_secondary_not_run,secondary_rebasin_diagnostic_not_run,not_run_secondary_regime_mismatch,20,0,0,,,,,,,,,,,,,,,,,,,,,,,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,greedy_soup,model_soups_validation_descent,ok,20,20,20,0.7418568917018284,0.7379000791139242,0.7456653217299578,0.5354166666666667,0.765126097197581,0.07518037974683536,3.0,2.0,0.0,0.0,0.0,-0.00345499296765115,-0.0062248857243318734,-0.0014636427566807062,0.002083333333333305,-0.0007782172995780708,0.0042060038677917905,-0.004143108298171529,-0.006774384669479533,-0.0021365945850913347,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,individual_finetuned_footwear_bag,individual_task_model,ok,20,20,20,0.49959317862165975,0.4874164996483826,0.5116397767229254,0.03949999999999998,0.5036852600860824,0.31744409282700414,3.0,2.0,-0.24226371308016875,-0.2541715101969058,-0.2295538326300985,-0.24571870604781995,-0.2579998154008438,-0.23430915963431792,-0.24018037974683543,-0.25170562587904355,-0.22843263888888882,-0.24640682137834027,-0.25766664029535863,-0.23394052390998585,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,individual_finetuned_lower_formal,individual_task_model,ok,20,20,20,0.5625094936708861,0.5546461937412096,0.569951828410689,0.0263333333333333,0.5587291593743519,0.25452777777777774,3.0,2.0,-0.1793473980309423,-0.18751984001406471,-0.1726553973277074,-0.1828023909985935,-0.19045628516174398,-0.17645029887482416,-0.177264064697609,-0.18510951125175806,-0.17113391350210969,-0.18349050632911384,-0.190682885021097,-0.17733248066104074,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,individual_finetuned_mean,oracle_summary_not_single_model,oracle_summary,20,20,20,0.8170372714486639,0.8142728287623068,0.8193347749648383,0.6252499999999999,,0.0,3.0,2.0,0.07518037974683536,0.07171092651195494,0.07931609528832619,0.07172538677918416,0.06868350914205333,0.07498284106891694,0.0772637130801687,0.07388193565400834,0.08073659458509135,0.07103727144866383,0.06786517229254564,0.07485234704641344,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,individual_finetuned_upper_garments,individual_task_model,ok,20,20,20,0.5641993670886076,0.5563502373417722,0.5717422819971869,0.3978481012658228,0.5738092685540223,0.25283790436005626,3.0,2.0,-0.1776575246132208,-0.18672441983122362,-0.16812288150492266,-0.18111251758087196,-0.18980356891701827,-0.17179411040787618,-0.1755741912798875,-0.1844103375527426,-0.16610746308016874,-0.18180063291139234,-0.19039747714486635,-0.1718680291842475,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
fashion_mnist,fashion_semantic_subsets,mlp2,64,3,slerp_sequential,same_base_interpolation,ok,20,20,20,0.7418846694796061,0.7379834651898732,0.7456988924050634,0.5356666666666666,0.7650221033895839,0.07515260196905758,3.0,2.0,2.7777777777780002e-05,-0.00013888888888890003,0.00019444444444442015,-0.00342721518987337,-0.006177707454289679,-0.0014764152601968684,0.00211111111111109,-0.0007371220112517547,0.004282902601969008,-0.004115330520393753,-0.006723901195499219,-0.0020916666666665985,0.8477255921830075,0.0,dare,supported_exact_setting_delta_vs_greedy,"exact setting only; n_unique_seeds=20; same-base task-vector regime, not independent-seed rebasin"
