setting_id,dataset,dataset_role,architecture,setting_role,conv1_channels,conv2_channels,hidden_units,n_models,seed,epochs,max_train_samples,max_test_samples,augmentation,val_fraction,feature_batches,individual_accuracy_mean,individual_accuracy_max,base_accuracy_gate_passed,base_gate_status,base_gate_decision,cifar_plumbing_threshold,cifar_meaningful_threshold,parameter_count,inference_cost_units,exact_positive_channel_scale_available,central_projective_candidate,finite_index_candidate,non_brauer_noncentral,channel_residual_taxonomy,pairwise_activation_alignment_residual,global_channel_scale_sync_residual,sync_disagreement_mean,conv1_permutation_cycle_score,conv2_permutation_cycle_score,fc1_permutation_cycle_score,channel_permutation_cycle_score,method,val_accuracy,val_loss,accuracy,loss,selection_used_validation_only,evaluation_status,parameter_count_multiplier,inference_time_multiplier,ensemble_or_extra_capacity,exact_relu_channel_gauge,single_model,capacity_matched,is_soup,is_ensemble,accuracy_delta_vs_c2m3,validation_delta_vs_c2m3,accuracy_delta_vs_greedy_soup,validation_delta_vs_greedy_soup,accuracy_delta_vs_weight_average,validation_delta_vs_weight_average,scale_source,selected_alpha,selected_tau,selected_layer_mask,conv1_log_scale_variance,conv1_mean_abs_log_scale,conv1_max_abs_log_scale,conv2_log_scale_variance,conv2_mean_abs_log_scale,conv2_max_abs_log_scale,fc1_log_scale_variance,fc1_mean_abs_log_scale,fc1_max_abs_log_scale,mean_log_scale_variance,mean_abs_log_scale,max_abs_log_scale,soup_selected_labels,soup_ingredient_count,union_candidate_count,selector_chose,selector_challenger,selector_val_margin,selector_left_greedy
cifar_final_c32_c64_h256_e12_N3_S8600,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8600,12,12000,10000,True,0.2,8,0.6430333333333333,0.6519,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.8097213175561693,0.29139012225413397,0.22251157407407407,0.82915619758885,0.8838834764831843,0.9581068572972432,0.8903821771230925,optimized_channel_scaled_greedy_soup,0.6554166666666666,1.016587921778361,0.6388,1.0302935216903686,True,evaluated,1.0,1.0,False,True,True,True,True,False,0.22730000000000006,0.2520833333333333,0.0,0.0,0.5332,0.5504166666666667,,1.0,0.25,conv1+conv2+fc1,,,,,,,,,,,,,"[""optimized:0""]",1.0,,,,,
cifar_final_c32_c64_h256_e12_N3_S8600,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8600,12,12000,10000,True,0.2,8,0.6430333333333333,0.6519,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.8097213175561693,0.29139012225413397,0.22251157407407407,0.82915619758885,0.8838834764831843,0.9581068572972432,0.8903821771230925,union_channel_candidate_soup,0.65625,1.0149713548024495,0.641,1.0289079044342042,True,evaluated,1.0,1.0,False,True,True,True,True,False,0.22950000000000004,0.2529166666666667,0.0021999999999999797,0.0008333333333333526,0.5354,0.55125,,,,,,,,,,,,,,,,,"[""shrinkage:0"", ""c2m3:0"", ""positive:0""]",3.0,18.0,,,,
cifar_final_c32_c64_h256_e12_N3_S8600,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8600,12,12000,10000,True,0.2,8,0.6430333333333333,0.6519,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.8097213175561693,0.29139012225413397,0.22251157407407407,0.82915619758885,0.8838834764831843,0.9581068572972432,0.8903821771230925,ensemble_upper_bound,0.6804166666666667,0.9307115777333578,0.6722,0.9380956518173218,True,evaluated,3.0,3.0,True,False,False,False,False,True,0.26070000000000004,0.27708333333333335,0.033399999999999985,0.025000000000000022,0.5666,0.5754166666666667,,,,,,,,,,,,,,,,,,,,,,,
cifar_final_c32_c64_h256_e12_N3_S8600,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8600,12,12000,10000,True,0.2,8,0.6430333333333333,0.6519,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.8097213175561693,0.29139012225413397,0.22251157407407407,0.82915619758885,0.8838834764831843,0.9581068572972432,0.8903821771230925,greedy_safe_selector,0.6554166666666666,1.016587912241618,0.6388,1.030293510246277,True,evaluated,1.0,1.0,False,False,True,True,True,False,0.22730000000000006,0.2520833333333333,0.0,0.0,0.5332,0.5504166666666667,,,,,,,,,,,,,,,,,,,,greedy_soup,union_channel_candidate_soup,0.0008333333333333526,False
cifar_final_c32_c64_h256_e12_N3_S8601,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8601,12,12000,10000,True,0.2,8,0.6378,0.6464,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.7568123473061455,0.3027838640476968,0.20760995370370372,0.75,0.8838834764831843,0.960143218483576,0.8646755649889202,weight_average,0.09625,2.292108834584554,0.1024,2.2901639282226562,True,evaluated,1.0,1.0,False,False,True,True,False,False,-0.3478,-0.34625,-0.5439999999999999,-0.5475000000000001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
cifar_final_c32_c64_h256_e12_N3_S8601,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8601,12,12000,10000,True,0.2,8,0.6378,0.6464,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.7568123473061455,0.3027838640476968,0.20760995370370372,0.75,0.8838834764831843,0.960143218483576,0.8646755649889202,c2m3_channel_synchronization,0.4425,1.679549732208252,0.4502,1.6532148849487305,True,evaluated,1.0,1.0,False,True,True,True,False,False,0.0,0.0,-0.19619999999999999,-0.20125000000000004,0.3478,0.34625,,,,,,,,,,,,,,,,,,,,,,,
cifar_final_c32_c64_h256_e12_N3_S8601,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8601,12,12000,10000,True,0.2,8,0.6378,0.6464,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.7568123473061455,0.3027838640476968,0.20760995370370372,0.75,0.8838834764831843,0.960143218483576,0.8646755649889202,positive_channel_scale,0.39416666666666667,1.7266871706644693,0.397,1.6816372074127197,True,evaluated,1.0,1.0,False,True,True,True,False,False,-0.05319999999999997,-0.04833333333333334,-0.24939999999999996,-0.24958333333333338,0.29460000000000003,0.29791666666666666,reference_raw,1.0,inf,all,0.21800629349687736,0.32110908195553917,1.6149296070428105,1.4267702930782409,0.5054135058347465,6.907755278982137,0.13809528431341164,0.13361556337921293,6.907755278982137,0.5942906236295099,0.32004605038983286,6.907755278982137,,,,,,,
cifar_final_c32_c64_h256_e12_N3_S8601,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8601,12,12000,10000,True,0.2,8,0.6378,0.6464,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.7568123473061455,0.3027838640476968,0.20760995370370372,0.75,0.8838834764831843,0.960143218483576,0.8646755649889202,shrinkage_channel_scale,0.4425,1.679549732208252,0.4502,1.6532148849487305,True,evaluated,1.0,1.0,False,True,True,True,False,False,0.0,0.0,-0.19619999999999999,-0.20125000000000004,0.3478,0.34625,reference_shrinkage_validation_grid,0.0,0.25,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
cifar_final_c32_c64_h256_e12_N3_S8601,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8601,12,12000,10000,True,0.2,8,0.6378,0.6464,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.7568123473061455,0.3027838640476968,0.20760995370370372,0.75,0.8838834764831843,0.960143218483576,0.8646755649889202,global_channel_scale,0.4425,1.679549732208252,0.4502,1.6532148849487305,True,evaluated,1.0,1.0,False,True,True,True,False,False,0.0,0.0,-0.19619999999999999,-0.20125000000000004,0.3478,0.34625,global_log_scale_sync_validation_grid,0.0,0.25,all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
cifar_final_c32_c64_h256_e12_N3_S8601,cifar10,cifar_final_channel_gauge_confirmatory,relu_cnn_no_batchnorm,main,32,64,256,3,8601,12,12000,10000,True,0.2,8,0.6378,0.6464,True,cifar_meaningful_gate_passed,Meaningful CIFAR gate passed,0.45,0.6,1070794,6654464,True,False,False,True,no_central_projective_or_finite_index_candidate,0.7568123473061455,0.3027838640476968,0.20760995370370372,0.75,0.8838834764831843,0.960143218483576,0.8646755649889202,optimized_channel_scale,0.4425,1.679549732208252,0.4502,1.6532148849487305,True,evaluated,1.0,1.0,False,True,True,True,False,False,0.0,0.0,-0.19619999999999999,-0.20125000000000004,0.3478,0.34625,optimized_layer_grid_reference,0.0,0.25,conv1+conv2+fc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
