case_id,q,exponent_a,order_d,period,expected_index,minimal_success_rank,success_exactly_when_d_divides_r,max_success_residual,min_failure_residual,rank_outcomes,theorem_supported,interpretation
primitive_d2,2,1,2,2,2,2,True,1.7319121124709868e-16,0.8944271909999159,"1:F,2:S,3:F,4:S,5:F,6:S",True,success ranks are exactly multiples of the torsion order; the first success realizes the period/index threshold
primitive_d3,3,1,3,3,3,3,True,3.0404709722440593e-16,0.6546536707079771,"1:F,2:F,3:S,4:F,5:F,6:S,7:F,8:F,9:S",True,success ranks are exactly multiples of the torsion order; the first success realizes the period/index threshold
primitive_d4,4,1,4,4,4,4,True,1.2246467991473532e-16,0.4714045207910316,"1:F,2:F,3:F,4:S,5:F,6:F,7:F,8:S,9:F,10:F,11:F,12:S",True,success ranks are exactly multiples of the torsion order; the first success realizes the period/index threshold
primitive_d5,5,1,5,5,5,5,True,1.42610729654992e-16,0.3544478434833672,"1:F,2:F,3:F,4:F,5:S,6:F,7:F,8:F,9:F,10:S,11:F,12:F,13:F,14:F,15:S",True,success ranks are exactly multiples of the torsion order; the first success realizes the period/index threshold
primitive_d6,6,1,6,6,6,6,True,3.845925372767128e-16,0.2773500981126145,"1:F,2:F,3:F,4:F,5:F,6:S,7:F,8:F,9:F,10:F,11:F,12:S,13:F,14:F,15:F,16:F,17:F,18:S",True,success ranks are exactly multiples of the torsion order; the first success realizes the period/index threshold
nonprimitive_q6_a2_order3,6,2,3,3,3,3,True,3.0404709722440593e-16,0.6546536707079771,"1:F,2:F,3:S,4:F,5:F,6:S,7:F,8:F,9:S",True,success ranks are exactly multiples of the torsion order; the first success realizes the period/index threshold
nonprimitive_q6_a3_order2,6,3,2,2,2,2,True,1.7319121124709868e-16,0.8944271909999159,"1:F,2:S,3:F,4:S,5:F,6:S",True,success ranks are exactly multiples of the torsion order; the first success realizes the period/index threshold
nonprimitive_q8_a2_order4,8,2,4,4,4,4,True,1.2246467991473532e-16,0.4714045207910316,"1:F,2:F,3:F,4:S,5:F,6:F,7:F,8:S,9:F,10:F,11:F,12:S",True,success ranks are exactly multiples of the torsion order; the first success realizes the period/index threshold
nonprimitive_q8_a4_order2,8,4,2,2,2,2,True,1.7319121124709868e-16,0.8944271909999159,"1:F,2:S,3:F,4:S,5:F,6:S",True,success ranks are exactly multiples of the torsion order; the first success realizes the period/index threshold
