scenario,classification,status,selected_method,cycle_score,c2m3_residual,centrality_score,alpha_residual,lifted_maps_built,ordinary_accuracy,c2m3_accuracy,lifted_accuracy,branch_accuracy,ensemble_accuracy,reason
A_c2m3_fixes_edge_noise,edge_outlier_or_noise,untwisted_c2m3,c2m3_cycle_consistent,0.2886751345948129,0.041666666666666664,0.4082482904638631,,False,0.72,0.99,,0.99,1.0,C2M3-style synchronization explains the residual; no twist language is needed.
B_central_coboundary_lift,central_coboundary,central_coboundary_lift,lifted_transition_merge,1.0,0.25,0.0,0.0,True,0.5,0.5,1.0,1.0,1.0,Finite central coboundary residual is absorbed by explicit rho(beta_ij) lifted maps.
C_random_noncentral_rejected,random_noncentral,rejected_noncentral,best_validation_baseline,0.6695759751233813,0.14583333333333331,0.946923425058676,,False,0.67,0.78,,0.78,0.95,Residual is noncentral/random; TwistedMerge++ refuses to call it a central twist.
D_h2_non_coboundary_branch_only,central_non_coboundary_candidate,twisted_branch_lift,branch_lift_extra_capacity,0.0,0.0,0.0,0.5,False,0.75,0.75,,1.0,1.0,"Non-coboundary central candidate; only branch/extra-capacity prediction is allowed (alpha residual 0.5), not ordinary untwisted descent."
