true_family,noise_level,policy,n_rows,acceptance_rate,false_accept_rate,false_reject_rate,scalar_candidate_fraction,mean_spectral_connection_residual,mean_optimized_connection_residual,mean_optimized_improvement,raw_calibrated_threshold,effective_threshold,numerical_floor
noisy_global_block_gauge,0.03,strict,360,0.0,0.0,0.0,0.0,0.5817601357844959,0.5294726068789465,0.052287528905549524,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.1,strict,360,0.0,0.0,0.0,0.0,0.5735518312010385,0.5382050069879694,0.03534682421306913,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.2,strict,360,0.0,0.0,0.0,0.0,0.5622260712350577,0.5387776654877043,0.02344840574735352,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.4,strict,360,0.0,0.0,0.0,0.0,0.5432872626611612,0.527473937641558,0.01581332501960317,4.476278938830673e-16,1e-12,1e-12
noisy_global_block_gauge,0.8,strict,360,0.0,0.0,0.0,0.0,0.5298552497959133,0.518200860373192,0.011654389422721146,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.0,strict,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.01,strict,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.03,strict,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.1,strict,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.2,strict,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.4,strict,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
noncentral_block_holonomy,0.8,strict,360,0.0,0.0,0.0,0.0,0.1893812483886321,0.18937656033751935,4.688051112775462e-06,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.0,strict,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.01,strict,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.03,strict,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.1,strict,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.2,strict,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.4,strict,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
scalar_block_phase_mu2,0.8,strict,360,0.0,0.0,0.0,1.0,0.3610198373530777,0.3160865352232411,0.04493330212983659,4.476278938830673e-16,1e-12,1e-12
edge_corrupted_global_gauge,0.0,balanced,360,0.0,0.0,0.0,0.0,0.2542893164309843,0.25425372825281584,3.558817816839637e-05,4.476278938830673e-16,1e-12,1e-12
edge_corrupted_global_gauge,0.01,balanced,360,0.0,0.0,0.0,0.0,0.2542893164309843,0.25425372825281584,3.558817816839637e-05,4.476278938830673e-16,1e-12,1e-12
edge_corrupted_global_gauge,0.03,balanced,360,0.0,0.0,0.0,0.0,0.2542893164309843,0.25425372825281584,3.558817816839637e-05,4.476278938830673e-16,1e-12,1e-12
edge_corrupted_global_gauge,0.1,balanced,360,0.0,0.0,0.0,0.0,0.2542893164309843,0.25425372825281584,3.558817816839637e-05,4.476278938830673e-16,1e-12,1e-12
edge_corrupted_global_gauge,0.2,balanced,360,0.0,0.0,0.0,0.0,0.2542893164309843,0.25425372825281584,3.558817816839637e-05,4.476278938830673e-16,1e-12,1e-12
edge_corrupted_global_gauge,0.4,balanced,360,0.0,0.0,0.0,0.0,0.2542617137535195,0.25421417595808515,4.753779543437678e-05,4.476278938830673e-16,1e-12,1e-12
edge_corrupted_global_gauge,0.8,balanced,360,0.0,0.0,0.0,0.0,0.24958691337937716,0.24950757091785267,7.934246152448879e-05,4.476278938830673e-16,1e-12,1e-12
