run_id,setting_id,dataset,architecture,n_models,width,domain_shift,seed,matching,alignment_variant,alignment_source,alignment_noise,cycle_score_layer,independent_model_draw,single_best_accuracy,mean_individual_accuracy,cycle_score,sync_disagreement,sync_reference,baseline,loss,accuracy,merge_degradation,is_single_model,capacity_matched_to_weight_average,method_note,soup_indices,rank_lift_branches
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.935,0.934,0.9312290266094587,0.2426215277777778,"hidden1:0,hidden2:1",twisted_rank_lift_2,0.2255273609161377,0.938,-0.0029999999999998916,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.05,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.05,observed_plus_injected_noise,0.05,hidden2,False,0.935,0.934,0.9312290266094587,0.2426215277777778,"hidden1:0,hidden2:1",ensemble_upper_bound,0.20543531227111816,0.936,-0.0010000000000000009,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.934,0.9560661587986472,0.3025173611111111,"hidden1:0,hidden2:2",weight_average,1.6981688842773437,0.377,0.558,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.934,0.9560661587986472,0.3025173611111111,"hidden1:0,hidden2:2",greedy_soup,0.21875758171081544,0.933,0.0020000000000000018,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.934,0.9560661587986472,0.3025173611111111,"hidden1:0,hidden2:2",git_rebasin_pairwise,0.5158189620971679,0.886,0.049000000000000044,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.934,0.9560661587986472,0.3025173611111111,"hidden1:0,hidden2:2",c2m3_cycle_consistent,0.5005657539367676,0.876,0.05900000000000005,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.934,0.9560661587986472,0.3025173611111111,"hidden1:0,hidden2:2",twisted_rank_lift_2,0.24023973274230956,0.933,0.0020000000000000018,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.15,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.15,observed_plus_injected_noise,0.15,hidden2,False,0.935,0.934,0.9560661587986472,0.3025173611111111,"hidden1:0,hidden2:2",ensemble_upper_bound,0.20543531227111816,0.936,-0.0010000000000000009,False,False,"ensemble upper bound, extra capacity",,
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.935,0.934,0.9802741963348827,0.3758680555555556,"hidden1:2,hidden2:2",weight_average,1.6981688842773437,0.377,0.558,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.935,0.934,0.9802741963348827,0.3758680555555556,"hidden1:2,hidden2:2",greedy_soup,0.21875758171081544,0.933,0.0020000000000000018,True,True,single model,[0],
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.935,0.934,0.9802741963348827,0.3758680555555556,"hidden1:2,hidden2:2",git_rebasin_pairwise,0.8521960983276368,0.734,0.20100000000000007,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.935,0.934,0.9802741963348827,0.3758680555555556,"hidden1:2,hidden2:2",c2m3_cycle_consistent,0.7340372009277344,0.806,0.129,True,True,single model,,
verify_mnist_mlp2_N3_W128_none_S1000_injected_0.3,verify_mnist_mlp2_N3_W128_none_S1000,mnist,mlp2,3,128,none,1000,activation,injected_0.3,observed_plus_injected_noise,0.3,hidden2,False,0.935,0.934,0.9802741963348827,0.3758680555555556,"hidden1:2,hidden2:2",twisted_rank_lift_2,0.27093756484985354,0.928,0.007000000000000006,False,False,"rank-lifted branch ensemble, extra capacity",,2.0
