setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,candidate_id,residual_source,data_origin,triangle,i,j,k,group_source,inferred_group_order,coefficient_group,coefficient_modulus,class_status,central_projection_residual,cocycle_residual,h2_exact,h2_size,estimated_period,estimated_index,index_upper_bound,index_status,certified_class,certification_failure,bootstrap_detection_rate,bootstrap_same_class_rate,bootstrap_same_period_rate,bootstrap_coboundary_disagreement_rate,null_false_nontrivial_class_rate,null_false_lift_rate,uses_test_data_for_selection,matrix_dim,centrality_residual,detected_order,detected_phase,phase_angle,best_root_exponent,best_root_search_order,scalar_residual_best,finite_order_residual_best_search_order,finite_order_residual_min,eigenvalue_spread,condition_number,is_nontrivial_root,explained_as_noncentral_holonomy,fixed_point_fraction,permutation_num_cycles,permutation_max_cycle_length,scalar_residual_d2,scalar_residual_d3,scalar_residual_d4,scalar_residual_d5,scalar_residual_d6,scalar_residual_d8,finite_order_residual_d2,finite_order_residual_d3,finite_order_residual_d4,finite_order_residual_d5,finite_order_residual_d6,finite_order_residual_d8
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200:0-1-2:0,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,150,Z/2Z,2,not_central_or_not_projectable,0.9900629320275555,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.9900629320275555,1,1+0j,0.0,0,2,1.3110110602126894,1.286953767623375,1.25,13.48043850259413,1.0,False,False,0.140625,12,50,1.3110110602126894,1.3110110602126894,1.3110110602126894,1.3110110602126894,1.3110110602126894,1.3110110602126894,1.286953767623375,1.2747548783981961,1.286953767623375,1.3110110602126894,1.25,1.286953767623375
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3,64,none,monomial_activation,4200,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200:0-1-2:1,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,90,Z/2Z,2,not_central_or_not_projectable,0.982264602843857,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.982264602843857,1,1+0j,0.0,0,2,1.2747548783981961,1.25,1.2119199643540823,10.93292682171105,1.0,False,False,0.1875,15,45,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.2747548783981961,1.25,1.2747548783981961,1.25,1.2119199643540823,1.25,1.25
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201:0-1-2:2,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,156,Z/2Z,2,not_central_or_not_projectable,0.9757809372497497,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.9757809372497497,1,1+0j,0.0,0,2,1.25,1.1989578808281798,1.14564392373896,8.436827330321632,1.0,False,False,0.21875,19,39,1.25,1.25,1.25,1.25,1.25,1.25,1.1989578808281798,1.2119199643540823,1.14564392373896,1.25,1.159202311936963,1.14564392373896
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201,fashion_mnist,mlp,3,64,none,monomial_activation,4201,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201:0-1-2:3,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,257,Z/2Z,2,not_central_or_not_projectable,0.9757809372497497,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.9757809372497497,1,1+0j,0.0,0,2,1.25,1.1726039399558574,1.118033988749895,5.094125379168125,1.0,False,False,0.21875,21,23,1.25,1.25,1.25,1.25,1.25,1.25,1.1726039399558574,1.25,1.118033988749895,1.1858541225631423,1.1726039399558574,1.118033988749895
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4202,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202:0-1-2:4,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,224,Z/2Z,2,not_central_or_not_projectable,0.9721462643938925,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.9721462643938925,1,1+0j,0.0,0,2,1.2374368670764582,1.2119199643540823,1.103970108290981,7.035328341687136,1.0,False,False,0.234375,19,32,1.2374368670764582,1.2374368670764582,1.2374368670764582,1.2374368670764582,1.2374368670764582,1.2374368670764582,1.2119199643540823,1.2374368670764582,1.2119199643540823,1.2374368670764582,1.2119199643540823,1.103970108290981
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,fashion_mnist,mlp,3,64,none,monomial_activation,4202,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202:0-1-2:5,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,257,Z/2Z,2,not_central_or_not_projectable,0.9791528146183311,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.9791528146183311,1,1+0j,0.0,0,2,1.2624381172952597,1.2624381172952597,1.2119199643540823,7.424621202458749,1.0,False,False,0.203125,16,25,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.2119199643540823,1.2624381172952597,1.2624381172952597,1.2119199643540823
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4203,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203:0-1-2:6,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,120,Z/2Z,2,not_central_or_not_projectable,0.9757809372497497,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.9757809372497497,1,1+0j,0.0,0,2,1.25,1.25,1.1726039399558574,8.883331596136305,1.0,False,False,0.21875,18,40,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.1726039399558574,1.1989578808281798,1.25,1.1726039399558574,1.1989578808281798
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,fashion_mnist,mlp,3,64,none,monomial_activation,4203,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203:0-1-2:7,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,228,Z/2Z,2,not_central_or_not_projectable,0.9791528146183311,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.9791528146183311,1,1+0j,0.0,0,2,1.2624381172952597,1.1858541225631423,1.1319231422671772,8.20276286135085,1.0,False,False,0.203125,19,38,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.2624381172952597,1.1858541225631423,1.224744871391589,1.1319231422671772,1.2624381172952597,1.14564392373896,1.1319231422671772
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4204,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204:0-1-2:8,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,257,Z/2Z,2,not_central_or_not_projectable,0.9682458365518543,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.9682458365518543,1,1+0j,0.0,0,2,1.224744871391589,1.1726039399558574,1.1319231422671772,5.702766166529482,1.0,False,False,0.25,21,22,1.224744871391589,1.224744871391589,1.224744871391589,1.224744871391589,1.224744871391589,1.224744871391589,1.1726039399558574,1.1858541225631423,1.1726039399558574,1.224744871391589,1.1319231422671772,1.1726039399558574
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,fashion_mnist,mlp,3,64,none,monomial_activation,4204,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204:0-1-2:9,permutation_c2m3_triangle,fixed_setting_large_artifacts,0-1-2,0,1,2,real_fixed_setting_triangle_maps,257,Z/2Z,2,not_central_or_not_projectable,0.9757809372497497,,False,,,,,no_certified_class,False,noncentral_permutation_holonomy,0.0,1.0,0.0,1.0,0.0,0.0,False,64,0.9757809372497497,1,1+0j,0.0,0,2,1.25,1.25,1.0897247358851685,3.160970663766129,1.0,False,False,0.21875,22,13,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.2119199643540823,1.0897247358851685,1.25,1.1319231422671772,1.0897247358851685
