setting_id,dataset,architecture,n_models,seed,epochs,max_train_samples,max_test_samples,val_fraction,individual_accuracy_mean,individual_accuracy_max,parameter_count,inference_cost_units,pairwise_alignment_residual,channel_scale_sync_rms_residual,sync_disagreement_mean,real_central_projective_candidate,finite_index_candidate,channel_residual_taxonomy,conv1_permutation_cycle_score,conv2_permutation_cycle_score,fc1_permutation_cycle_score,channel_permutation_cycle_score,method,val_accuracy,val_loss,accuracy,loss,selection_used_validation_only,evaluation_status,exact_relu_channel_gauge,single_model,capacity_matched,accuracy_delta_vs_c2m3,validation_delta_vs_c2m3,accuracy_delta_vs_greedy_soup,validation_delta_vs_greedy_soup,accuracy_delta_vs_weight_average,scale_source,selected_alpha,selected_tau,soup_selected_labels,soup_ingredient_count,selector_chose,selector_challenger,selector_val_margin,selector_left_greedy
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,weight_average,0.26208333333333333,2.0748705609639484,0.2616,2.0760605918884276,True,evaluated,False,True,True,-0.4904,-0.495,-0.558,-0.5695833333333333,0.0,,,,,,,,,
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,git_rebasin_pairwise_channel,0.7570833333333333,0.7754111035664877,0.752,0.7842042976379394,True,evaluated,True,True,True,0.0,0.0,-0.0676,-0.07458333333333333,0.4904,,,,,,,,,
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,c2m3_channel_permutation,0.7570833333333333,0.7754111035664877,0.752,0.7842042976379394,True,evaluated,True,True,True,0.0,0.0,-0.0676,-0.07458333333333333,0.4904,,,,,,,,,
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,positive_channel_scale,0.7266666666666667,0.7642195002237956,0.7311,0.7724445096969604,True,evaluated,True,True,True,-0.02090000000000003,-0.030416666666666647,-0.08850000000000002,-0.10499999999999998,0.4695,reference_raw,1.0,inf,,,,,,
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,shrinkage_channel_scale,0.7570833333333333,0.7754111035664877,0.752,0.7842042976379394,True,evaluated,True,True,True,0.0,0.0,-0.0676,-0.07458333333333333,0.4904,reference_shrinkage_validation_grid,0.0,0.5,,,,,,
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,global_channel_scale,0.7570833333333333,0.7754111035664877,0.752,0.7842042976379394,True,evaluated,True,True,True,0.0,0.0,-0.0676,-0.07458333333333333,0.4904,global_log_scale_sync_validation_grid,0.0,0.5,,,,,,
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,greedy_soup,0.8316666666666667,0.48174250761667886,0.8196,0.4988063144683838,True,evaluated,False,True,True,0.0676,0.07458333333333333,0.0,0.0,0.558,,,,"[""original:0""]",1.0,,,,
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,channel_scaled_greedy_soup,0.8316666666666667,0.48174250761667886,0.8196,0.4988063144683838,True,evaluated,True,True,True,0.0676,0.07458333333333333,0.0,0.0,0.558,,,,"[""scaled:0""]",1.0,,,,
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,ensemble_upper_bound,0.8391666666666666,0.464554549853007,0.8311,0.4740713213920593,True,evaluated,False,False,False,0.07909999999999995,0.08208333333333329,0.011499999999999955,0.007499999999999951,0.5694999999999999,,,,,,,,,
fashion_mnist_cnn_N3_S6401,fashion_mnist,small_relu_cnn_no_batchnorm,3,6401,3,12000,0,0.2,0.8218666666666667,0.8309,206922,1218048,0.5882999731434716,0.1891338032455073,0.19039351851851852,False,False,channel_gauge_diagnostic_no_brauer_candidate,0.9013878188659972,0.770551750371122,0.9057110466368399,0.8592168719579864,greedy_safe_selector,0.8316666666666667,0.48174250761667886,0.8196,0.4988063144683838,True,evaluated,False,True,True,0.0676,0.07458333333333333,0.0,0.0,0.558,,,,,,greedy_soup,channel_scaled_greedy_soup,0.0,False
