setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,method,test_accuracy,test_loss,val_accuracy,val_loss,uses_validation_data,is_single_model,capacity_matched_to_weight_average,capacity_matched_to_rank_lift,branch_count,parameter_multiplier,inference_multiplier,candidate_method,selector_method,selected_candidate_method,selected_lift,selector_no_test_leakage,selector_epsilon,selector_loss_slack,best_fallback_val_accuracy,best_fallback_val_loss,best_fallback_test_accuracy,best_fallback_test_loss,available_group_cohomology_lift_rows
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4210,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4210,greedy_soup,0.8285,0.5027077617645264,0.8515,0.4531641788482666,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8515,0.4531641788482666,0.8285,0.5027077617645264,1782
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4211,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4211,greedy_soup,0.823,0.5092807083129883,0.847,0.4579346218109131,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.847,0.4579346218109131,0.823,0.5092807083129883,1782
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4212,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4212,greedy_soup,0.8255,0.5083124065399169,0.8495,0.4589400482177734,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8495,0.4589400482177734,0.8255,0.5083124065399169,1782
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4213,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4213,greedy_soup,0.825,0.5044132080078125,0.851,0.4559254531860351,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.851,0.4559254531860351,0.825,0.5044132080078125,1782
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4214,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4214,greedy_soup,0.828,0.5016538009643555,0.852,0.4513651962280273,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.852,0.4513651962280273,0.828,0.5016538009643555,1782
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4215,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4215,greedy_soup,0.8275,0.5015775547027588,0.849,0.4519745483398437,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.849,0.4519745483398437,0.8275,0.5015775547027588,1782
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4216,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4216,greedy_soup,0.828,0.5025563888549804,0.8505,0.4539792194366455,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8505,0.4539792194366455,0.828,0.5025563888549804,1782
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4217,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4217,greedy_soup,0.821,0.5072833614349366,0.8485,0.4581458492279053,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8485,0.4581458492279053,0.821,0.5072833614349366,1782
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4218,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4218,greedy_soup,0.8205,0.5114756660461426,0.852,0.4583748550415039,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.852,0.4583748550415039,0.8205,0.5114756660461426,1782
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4219,fashion_mnist,mlp,3,128,input_noise,monomial_activation,4219,greedy_soup,0.824,0.510162546157837,0.848,0.4598366260528564,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.848,0.4598366260528564,0.824,0.510162546157837,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4200,fashion_mnist,mlp,3,128,none,monomial_activation,4200,greedy_soup,0.8345,0.4845579776763916,0.8565,0.4413312702178955,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8565,0.4413312702178955,0.8345,0.4845579776763916,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4201,fashion_mnist,mlp,3,128,none,monomial_activation,4201,greedy_soup,0.8335,0.485329397201538,0.8545,0.4432285938262939,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8545,0.4432285938262939,0.8335,0.485329397201538,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4202,fashion_mnist,mlp,3,128,none,monomial_activation,4202,greedy_soup,0.8305,0.4947764911651611,0.855,0.4490563774108886,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.855,0.4490563774108886,0.8305,0.4947764911651611,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4203,fashion_mnist,mlp,3,128,none,monomial_activation,4203,greedy_soup,0.832,0.4934397182464599,0.856,0.4461415462493897,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.856,0.4461415462493897,0.832,0.4934397182464599,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4204,fashion_mnist,mlp,3,128,none,monomial_activation,4204,greedy_soup,0.8335,0.4919181861877441,0.8535,0.445603853225708,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8535,0.445603853225708,0.8335,0.4919181861877441,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4205,fashion_mnist,mlp,3,128,none,monomial_activation,4205,greedy_soup,0.8295,0.4897179946899414,0.855,0.4438923969268799,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.855,0.4438923969268799,0.8295,0.4897179946899414,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4206,fashion_mnist,mlp,3,128,none,monomial_activation,4206,greedy_soup,0.8365,0.4846872158050537,0.8565,0.4413105201721191,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8565,0.4413105201721191,0.8365,0.4846872158050537,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4207,fashion_mnist,mlp,3,128,none,monomial_activation,4207,greedy_soup,0.8325,0.4828606224060058,0.8555,0.4407351379394531,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8555,0.4407351379394531,0.8325,0.4828606224060058,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4208,fashion_mnist,mlp,3,128,none,monomial_activation,4208,greedy_soup,0.8335,0.4864056034088135,0.854,0.4411107845306396,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.854,0.4411107845306396,0.8335,0.4864056034088135,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4209,fashion_mnist,mlp,3,128,none,monomial_activation,4209,greedy_soup,0.835,0.4864765167236328,0.8555,0.4414086933135986,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8555,0.4414086933135986,0.835,0.4864765167236328,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4210,fashion_mnist,mlp,3,128,none,monomial_activation,4210,greedy_soup,0.8365,0.4826687641143798,0.8565,0.4383659439086914,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8565,0.4383659439086914,0.8365,0.4826687641143798,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4211,fashion_mnist,mlp,3,128,none,monomial_activation,4211,greedy_soup,0.8305,0.4909321861267089,0.8575,0.4444336490631103,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8575,0.4444336490631103,0.8305,0.4909321861267089,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4212,fashion_mnist,mlp,3,128,none,monomial_activation,4212,greedy_soup,0.835,0.4877301521301269,0.8555,0.4443374824523926,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.8555,0.4443374824523926,0.835,0.4877301521301269,1782
fashion_mnist_mlp_N3_W128_none_monomial_activation,fashion_mnist_mlp_N3_W128_none_monomial_activation_seed4213,fashion_mnist,mlp,3,128,none,monomial_activation,4213,greedy_soup,0.8295,0.4910564708709717,0.854,0.4466953620910645,True,True,True,False,1,1.0,1.0,best_fallback,group_cohomology_torsion_safe_selector,best_fallback,False,True,0.0,0.0,0.854,0.4466953620910645,0.8295,0.4910564708709717,1782
