setting_id,dataset,architecture,n_models,setting_role,seed,epochs,max_train_samples,max_test_samples,val_fraction,feature_batches,individual_accuracy_mean,individual_accuracy_max,parameter_count,inference_cost_units,pairwise_activation_alignment_residual,global_channel_scale_sync_residual,sync_disagreement_mean,central_projective_candidate,finite_index_candidate,non_brauer_noncentral,channel_residual_taxonomy,conv1_permutation_cycle_score,conv2_permutation_cycle_score,fc1_permutation_cycle_score,channel_permutation_cycle_score,method,val_accuracy,val_loss,accuracy,loss,selection_used_validation_only,evaluation_status,exact_relu_channel_gauge,single_model,capacity_matched,is_soup,is_ensemble,accuracy_delta_vs_c2m3,validation_delta_vs_c2m3,accuracy_delta_vs_greedy_soup,validation_delta_vs_greedy_soup,accuracy_delta_vs_weight_average,validation_delta_vs_weight_average,scale_source,selected_alpha,selected_tau,selected_layer_mask,conv1_log_scale_variance,conv1_mean_abs_log_scale,conv1_max_abs_log_scale,conv2_log_scale_variance,conv2_mean_abs_log_scale,conv2_max_abs_log_scale,fc1_log_scale_variance,fc1_mean_abs_log_scale,fc1_max_abs_log_scale,mean_log_scale_variance,mean_abs_log_scale,max_abs_log_scale,soup_selected_labels,soup_ingredient_count,union_candidate_count,selector_chose,selector_challenger,selector_val_margin,selector_left_greedy
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,weight_average,0.22833333333333333,2.027993844350179,0.2578,2.0022805961608885,True,evaluated,False,True,True,False,False,-0.5367999999999999,-0.5762499999999999,-0.5880000000000001,-0.6254166666666667,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,git_rebasin_pairwise_channel,0.7770833333333333,0.7136444759368896,0.7726,0.7199969987869262,True,evaluated,True,True,True,False,False,-0.02200000000000002,-0.02749999999999997,-0.07320000000000004,-0.07666666666666666,0.5147999999999999,0.5487500000000001,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,c2m3_channel_permutation,0.8045833333333333,0.7192916393280029,0.7946,0.7235174379348754,True,evaluated,True,True,True,False,False,0.0,0.0,-0.05120000000000002,-0.04916666666666669,0.5367999999999999,0.5762499999999999,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,positive_channel_scale,0.7908333333333334,0.7162208493550618,0.7788,0.7225286128044128,True,evaluated,True,True,True,False,False,-0.015799999999999925,-0.013749999999999929,-0.06699999999999995,-0.06291666666666662,0.5210000000000001,0.5625,reference_raw,1.0,inf,all,0.5066268126403711,0.42031269751103123,2.6077083738566134,0.06534869919846316,0.1854056230504554,0.754299213463139,0.19981317216450953,0.15833960879276163,6.907755278982137,0.2572628946677813,0.2546859764514161,6.907755278982137,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,shrinkage_channel_scale,0.8075,0.7253605016072591,0.7993,0.7290480239868165,True,evaluated,True,True,True,False,False,0.0047000000000000375,0.0029166666666666785,-0.046499999999999986,-0.04625000000000001,0.5415000000000001,0.5791666666666666,reference_shrinkage_validation_grid,0.5,1.0,all,0.055822268261464324,0.16325288078697717,0.5,0.01633717479961579,0.0927028115252277,0.3771496067315695,0.017917438329161695,0.06956044115451628,0.5,0.0300256271300806,0.10850537782224039,0.5,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,global_channel_scale,0.8079166666666666,0.7251548035939535,0.8,0.7287935455322265,True,evaluated,True,True,True,False,False,0.005400000000000071,0.0033333333333332993,-0.04579999999999995,-0.04583333333333339,0.5422,0.5795833333333333,global_log_scale_sync_validation_grid,0.5,1.0,all,0.06230702067754923,0.1786365351014382,0.5,0.01656797105978919,0.09445368978011143,0.38878773057817295,0.017082020679018286,0.06660355374711334,0.5,0.03198567080545223,0.11323125954288767,0.5,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,optimized_channel_scale,0.8229166666666666,0.7143864981333414,0.8133,0.7160541440963745,True,evaluated,True,True,True,False,False,0.01870000000000005,0.018333333333333313,-0.03249999999999997,-0.03083333333333338,0.5555000000000001,0.5945833333333332,optimized_layer_grid_global,0.5,1.0,conv2+fc1,0.0,0.0,0.0,0.01656797105978919,0.09445368978011143,0.38878773057817295,0.017082020679018286,0.06660355374711334,0.5,0.011216663912935826,0.05368574784240826,0.5,,,,,,,
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,greedy_soup,0.85375,0.4193309799830119,0.8458,0.43256680521965024,True,evaluated,False,True,True,True,False,0.05120000000000002,0.04916666666666669,0.0,0.0,0.5880000000000001,0.6254166666666667,,,,,,,,,,,,,,,,,"[""original:2""]",1.0,,,,,
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,channel_scaled_greedy_soup,0.85375,0.4193309926986694,0.8458,0.43256679406166076,True,evaluated,True,True,True,True,False,0.05120000000000002,0.04916666666666669,0.0,0.0,0.5880000000000001,0.6254166666666667,,,,,,,,,,,,,,,,,"[""scaled:2""]",1.0,,,,,
fashion_mnist_cnn_confirmatory_N3_S7600,fashion_mnist,small_relu_cnn_no_batchnorm,3,main,7600,5,12000,0,0.2,16,0.8410666666666667,0.8458,206922,1218048,0.5911197463671366,0.11951599936782195,0.18113425925925922,False,False,True,non_brauer_no_central_projective_candidate,0.7071067811865475,0.8477912478906585,0.9270248108869579,0.827307613321388,shrinkage_channel_scaled_greedy_soup,0.85375,0.41933099428812665,0.8458,0.4325667921066284,True,evaluated,True,True,True,True,False,0.05120000000000002,0.04916666666666669,0.0,0.0,0.5880000000000001,0.6254166666666667,,0.5,1.0,,,,,,,,,,,,,,"[""shrinkage:2""]",1.0,,,,,
