source,family,case_id,setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,alignment_source,alignment_noise_fraction,evidence_role,noise_model,noise_level,has_true_cochain,n_triangles,def_true,def_observed,cochain_distance,direct_lipschitz_lhs,direct_lipschitz_holds,predicted_lower_bound,actual_synchronization_residual,actual_minus_predicted_lower_bound,barrier_target,barrier_target_name,noise_floor,noise_floor_ci_low,noise_floor_ci_high,k_threshold,stable_obstruction,finite_central_gate_passed,real_brauer_claim_allowed,boundary_note
synthetic_mu2,trivial,mu2_trivial_noise0_seed0,,,,,,,,,0,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed1,,,,,,,,,1,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed2,,,,,,,,,2,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed3,,,,,,,,,3,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed4,,,,,,,,,4,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed5,,,,,,,,,5,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed6,,,,,,,,,6,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed7,,,,,,,,,7,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed8,,,,,,,,,8,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed9,,,,,,,,,9,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
synthetic_mu2,trivial,mu2_trivial_noise0_seed10,,,,,,,,,10,,,,mu2_triangle_bit_flip,0.0,True,32,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,False,True,False,Controlled mu2 cochain-level calibration; not a real model-merging claim.
