level,d,k,candidate_rank,expected_period,expected_index,n,certification_rate,lift_rate,pass_rate,train_accuracy_mean,validation_accuracy_mean,test_accuracy_mean,max_centrality_score,max_phase_residual,min_root_margin
known_operator_chart,2,2,2,2,4,30,1.0,0.0,1.0,0.9167166666666666,0.9135333333333333,0.9155333333333334,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698
known_operator_chart,2,2,4,2,4,30,1.0,1.0,1.0,0.9167166666666666,0.9135333333333333,0.9155333333333334,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698
known_operator_chart,2,3,2,2,8,30,1.0,0.0,1.0,0.9751666666666666,0.9747333333333333,0.9733666666666667,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698
known_operator_chart,2,3,4,2,8,30,1.0,0.0,1.0,0.9751666666666666,0.9747333333333333,0.9733666666666667,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698
known_operator_chart,2,3,8,2,8,30,1.0,1.0,1.0,0.9751666666666666,0.9747333333333333,0.9733666666666667,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698
known_operator_chart,3,2,3,3,9,30,1.0,0.0,1.0,1.0,1.0,1.0,2.523570555669181e-16,5.715222817774257e-16,0.19011208660836496
known_operator_chart,3,2,6,3,9,30,1.0,0.0,1.0,1.0,1.0,1.0,2.523570555669181e-16,5.715222817774257e-16,0.19011208660836496
known_operator_chart,3,2,9,3,9,30,1.0,1.0,1.0,1.0,1.0,1.0,2.523570555669181e-16,5.715222817774257e-16,0.19011208660836496
known_operator_chart,4,1,2,4,4,30,1.0,0.0,1.0,0.9566666666666667,0.9558,0.9557333333333333,1.0605752387249068e-16,2.1211504774498136e-16,0.14267836639846454
known_operator_chart,4,1,4,4,4,30,1.0,1.0,1.0,0.9566666666666667,0.9558,0.9557333333333333,1.0605752387249068e-16,2.1211504774498136e-16,0.14267836639846454
