seed,dataset,architecture,n_models,width,defect_family,inconsistency_level,level_order,n_planted_swaps,corrupted_edge,base_accuracy,base_loss,copy_accuracy_std,max_logit_disagreement,true_cycle_score,planted_cycle_score,sync_disagreement,baseline,loss,accuracy,merge_degradation,uses_planted_alignment,is_single_model,capacity_matched_to_weight_average,method_note
1200,mnist,mlp,4,32,random_noncentral,low,1,2,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,git_rebasin_pairwise,0.6107701187133789,0.851,0.013000000000000012,True,True,True,"single model, aligns to model 0 using planted pairwise maps"
1200,mnist,mlp,4,32,random_noncentral,low,1,2,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,c2m3_cycle_consistent,0.565573097229004,0.864,0.0,True,True,True,"single model, synchronized pairwise maps"
1200,mnist,mlp,4,32,random_noncentral,low,1,2,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,twisted_rank_lift_2,0.565573097229004,0.864,0.0,True,False,False,branch ensemble / extra capacity
1200,mnist,mlp,4,32,random_noncentral,low,1,2,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,ensemble_upper_bound,0.5655731048583984,0.864,0.0,False,False,False,ensemble of equivalent copies
1200,mnist,mlp,4,32,random_noncentral,low,1,2,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,oracle_true_alignment,0.5655731048583984,0.864,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1200,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.29315098498896436,0.04296875,weight_average,1.6530938110351563,0.51,0.354,False,True,True,"single model, no alignment observations"
1200,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.29315098498896436,0.04296875,git_rebasin_pairwise,0.6388189392089844,0.861,0.0030000000000000027,True,True,True,"single model, aligns to model 0 using planted pairwise maps"
1200,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.29315098498896436,0.04296875,c2m3_cycle_consistent,0.565573097229004,0.864,0.0,True,True,True,"single model, synchronized pairwise maps"
1200,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.29315098498896436,0.04296875,twisted_rank_lift_2,0.565573097229004,0.864,0.0,True,False,False,branch ensemble / extra capacity
1200,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.29315098498896436,0.04296875,ensemble_upper_bound,0.5655731048583984,0.864,0.0,False,False,False,ensemble of equivalent copies
1200,mnist,mlp,4,32,random_noncentral,medium,2,6,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.29315098498896436,0.04296875,oracle_true_alignment,0.5655731048583984,0.864,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1200,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.3423265984407288,0.05859375,weight_average,1.6530938110351563,0.51,0.354,False,True,True,"single model, no alignment observations"
1200,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.3423265984407288,0.05859375,git_rebasin_pairwise,0.6778215255737304,0.854,0.010000000000000009,True,True,True,"single model, aligns to model 0 using planted pairwise maps"
1200,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.3423265984407288,0.05859375,c2m3_cycle_consistent,0.565573097229004,0.864,0.0,True,True,True,"single model, synchronized pairwise maps"
1200,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.3423265984407288,0.05859375,twisted_rank_lift_2,0.565573097229004,0.864,0.0,True,False,False,branch ensemble / extra capacity
1200,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.3423265984407288,0.05859375,ensemble_upper_bound,0.5655731048583984,0.864,0.0,False,False,False,ensemble of equivalent copies
1200,mnist,mlp,4,32,random_noncentral,high,3,12,0-1,0.864,0.5655731048583984,0.0,1.9073486328125e-06,0.0,0.3423265984407288,0.05859375,oracle_true_alignment,0.5655731048583984,0.864,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1201,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.0,0.0,weight_average,1.5602831573486329,0.541,0.32599999999999996,False,True,True,"single model, no alignment observations"
1201,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.0,0.0,git_rebasin_pairwise,0.5493368606567383,0.867,0.0,True,True,True,"single model, aligns to model 0 using planted pairwise maps"
1201,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.0,0.0,c2m3_cycle_consistent,0.5493368606567383,0.867,0.0,True,True,True,"single model, synchronized pairwise maps"
1201,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.0,0.0,twisted_rank_lift_2,0.5493368606567383,0.867,0.0,True,False,False,branch ensemble / extra capacity
1201,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.0,0.0,ensemble_upper_bound,0.5493368759155274,0.867,0.0,False,False,False,ensemble of equivalent copies
1201,mnist,mlp,4,32,central_mu2,zero,0,0,none,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.0,0.0,oracle_true_alignment,0.5493368606567383,0.867,0.0,False,True,True,"single model, uses uncorrupted true alignments"
1201,mnist,mlp,4,32,central_mu2,low,1,2,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,weight_average,1.5602831573486329,0.541,0.32599999999999996,False,True,True,"single model, no alignment observations"
1201,mnist,mlp,4,32,central_mu2,low,1,2,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,git_rebasin_pairwise,0.5715082550048828,0.86,0.007000000000000006,True,True,True,"single model, aligns to model 0 using planted pairwise maps"
1201,mnist,mlp,4,32,central_mu2,low,1,2,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,c2m3_cycle_consistent,0.5493368835449218,0.867,0.0,True,True,True,"single model, synchronized pairwise maps"
1201,mnist,mlp,4,32,central_mu2,low,1,2,0-1,0.867,0.54933687210083,0.0,1.9073486328125e-06,0.0,0.1767766952966369,0.015625,twisted_rank_lift_2,0.5493368835449218,0.867,0.0,True,False,False,branch ensemble / extra capacity
