setting_id,dataset,architecture,n_models,width,seed,epochs,max_train_samples,max_test_samples,val_fraction,matching,sync_reference,sync_disagreement,global_scale_sync_rms_residual,global_scale_sync_max_residual,pairwise_alignment_residual,individual_accuracy_mean,individual_accuracy_min,individual_accuracy_max,individual_accuracy_variance,individual_loss_mean,ladder_final_decision,ladder_selected_level,supports_brauer_projective_interpretation,has_finite_index_candidate,permutation_centrality,permutation_cycle_score,permutation_residual_type,permutation_phase_residual,permutation_detected_order_d,signed_permutation_centrality,signed_permutation_cycle_score,signed_permutation_residual_type,signed_permutation_phase_residual,signed_permutation_detected_order_d,monomial_phase_or_scale_centrality,monomial_phase_or_scale_cycle_score,monomial_phase_or_scale_residual_type,monomial_phase_or_scale_phase_residual,monomial_phase_or_scale_detected_order_d,block_orthogonal_centrality,block_orthogonal_cycle_score,block_orthogonal_residual_type,block_orthogonal_phase_residual,block_orthogonal_detected_order_d,low_rank_GL_centrality,low_rank_GL_cycle_score,low_rank_GL_residual_type,low_rank_GL_phase_residual,low_rank_GL_detected_order_d,monomial_centrality_improvement_from_permutation,method,loss,accuracy,val_loss,val_accuracy,single_best_accuracy,merge_degradation,symmetry_status,is_single_model,capacity_matched_to_weight_average,method_notes,selector_no_test_leakage,evaluation_status,accuracy_delta_vs_c2m3,loss_delta_vs_c2m3,accuracy_delta_vs_greedy_soup,loss_delta_vs_greedy_soup,validation_delta_vs_c2m3,validation_delta_vs_greedy_soup,setting_role,accuracy_delta_vs_weight_average,loss_delta_vs_weight_average,validation_delta_vs_weight_average,noncentral_final_decision,non_brauer_or_noncentral_candidate,scale_source,mean_abs_log_scale,max_abs_log_scale,log_scale_variance,scale_synchronization_disagreement,selected_alpha,selected_tau,optimization_steps,optimization_bound,optimization_l2,selector_chose,selector_val_margin,selector_val_accuracy_delta_monomial_minus_c2m3,selector_val_loss_delta_monomial_minus_c2m3,selector_test_accuracy_delta_monomial_minus_c2m3,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,selector_behavior_reference,soup_indices,soup_selected_labels,soup_ingredient_count,soup_selected_types,union_candidate_count,selector_chosen_test_better_than_greedy,selector_chosen_test_tied_with_greedy,selector_chosen_test_better_than_c2m3,selector_pool
fashion_mnist_mlp_N3_W32_S5300,fashion_mnist,mlp_relu,3,32,5300,5,12000,5000,0.2,activation,2,0.19791666666666666,0.11503877668291984,0.4605839950216222,0.6985078056653341,0.8001333333333333,0.7926,0.809,4.571555555555605e-05,0.5632701076348623,report_noncentral_holonomy,,False,False,0.9682458365518541,1.224744871391589,noncentral_permutation_holonomy,0.0,1,0.9682458365518541,1.224744871391589,signed_noncentral_holonomy,0.0,1,0.4744649662839776,0.9702841982835786,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5904882482365149,0.8695888753181729,gl_noncentral_holonomy,0.0,1,0.49378087026787654,shrinkage_monomial_greedy_soup,0.5499881638050079,0.809,0.5206800715128581,0.82625,0.809,0.0,exact_relu_positive_scale_soup,True,True,Greedy soup over shrinkage-monomial aligned models using validation accuracy.,True,evaluated,0.07800000000000007,-0.19648153405189517,0.0,0.0,0.08041666666666669,0.0,secondary,0.18000000000000005,-0.6022407315731049,0.18041666666666667,True,True,,,,,,1.25,2.0,,,,,,,,,,,,,[2],"[""shrinkage:2""]",1.0,"[""shrinkage""]",,,,,
fashion_mnist_mlp_N3_W32_S5300,fashion_mnist,mlp_relu,3,32,5300,5,12000,5000,0.2,activation,2,0.19791666666666666,0.11503877668291984,0.4605839950216222,0.6985078056653341,0.8001333333333333,0.7926,0.809,4.571555555555605e-05,0.5632701076348623,report_noncentral_holonomy,,False,False,0.9682458365518541,1.224744871391589,noncentral_permutation_holonomy,0.0,1,0.9682458365518541,1.224744871391589,signed_noncentral_holonomy,0.0,1,0.4744649662839776,0.9702841982835786,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5904882482365149,0.8695888753181729,gl_noncentral_holonomy,0.0,1,0.49378087026787654,global_monomial_greedy_soup,0.5499881638050079,0.809,0.5206800715128581,0.82625,0.809,0.0,global_exact_relu_positive_scale_soup,True,True,Greedy soup over global-monomial aligned models using validation accuracy.,True,evaluated,0.07800000000000007,-0.19648153405189517,0.0,0.0,0.08041666666666669,0.0,secondary,0.18000000000000005,-0.6022407315731049,0.18041666666666667,True,True,,,,,,0.9,2.0,,,,,,,,,,,,,[2],"[""global:2""]",1.0,"[""global""]",,,,,
fashion_mnist_mlp_N3_W32_S5300,fashion_mnist,mlp_relu,3,32,5300,5,12000,5000,0.2,activation,2,0.19791666666666666,0.11503877668291984,0.4605839950216222,0.6985078056653341,0.8001333333333333,0.7926,0.809,4.571555555555605e-05,0.5632701076348623,report_noncentral_holonomy,,False,False,0.9682458365518541,1.224744871391589,noncentral_permutation_holonomy,0.0,1,0.9682458365518541,1.224744871391589,signed_noncentral_holonomy,0.0,1,0.4744649662839776,0.9702841982835786,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5904882482365149,0.8695888753181729,gl_noncentral_holonomy,0.0,1,0.49378087026787654,optimized_monomial_greedy_soup,0.5499881638050079,0.809,0.5206800715128581,0.82625,0.809,0.0,optimized_exact_relu_positive_scale_soup,True,True,Greedy soup over validation-optimized monomial aligned models.,True,evaluated,0.07800000000000007,-0.19648153405189517,0.0,0.0,0.08041666666666669,0.0,secondary,0.18000000000000005,-0.6022407315731049,0.18041666666666667,True,True,,,,,,,,,,,,,,,,,,,,[2],"[""optimized:2""]",1.0,"[""optimized""]",,,,,
fashion_mnist_mlp_N3_W32_S5300,fashion_mnist,mlp_relu,3,32,5300,5,12000,5000,0.2,activation,2,0.19791666666666666,0.11503877668291984,0.4605839950216222,0.6985078056653341,0.8001333333333333,0.7926,0.809,4.571555555555605e-05,0.5632701076348623,report_noncentral_holonomy,,False,False,0.9682458365518541,1.224744871391589,noncentral_permutation_holonomy,0.0,1,0.9682458365518541,1.224744871391589,signed_noncentral_holonomy,0.0,1,0.4744649662839776,0.9702841982835786,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5904882482365149,0.8695888753181729,gl_noncentral_holonomy,0.0,1,0.49378087026787654,union_candidate_soup,0.5499881638050079,0.809,0.5206800715128581,0.82625,0.809,0.0,validation_selected_union_candidate_single_model_soup,True,True,"Greedy soup over original, C2M3, shrinkage, and global monomial candidates; output is one averaged MLP.",True,evaluated,0.07800000000000007,-0.19648153405189517,0.0,0.0,0.08041666666666669,0.0,secondary,0.18000000000000005,-0.6022407315731049,0.18041666666666667,True,True,,,,,,,,,,,,,,,,,,,,"[11, 8]","[""global:2"", ""shrinkage:2""]",2.0,"[""global"", ""shrinkage""]",12.0,,,,
fashion_mnist_mlp_N3_W32_S5300,fashion_mnist,mlp_relu,3,32,5300,5,12000,5000,0.2,activation,2,0.19791666666666666,0.11503877668291984,0.4605839950216222,0.6985078056653341,0.8001333333333333,0.7926,0.809,4.571555555555605e-05,0.5632701076348623,report_noncentral_holonomy,,False,False,0.9682458365518541,1.224744871391589,noncentral_permutation_holonomy,0.0,1,0.9682458365518541,1.224744871391589,signed_noncentral_holonomy,0.0,1,0.4744649662839776,0.9702841982835786,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5904882482365149,0.8695888753181729,gl_noncentral_holonomy,0.0,1,0.49378087026787654,ensemble_upper_bound,0.5493627188682556,0.8064,0.523906208674113,0.8241666666666667,0.809,0.0026000000000000467,extra_capacity_ensemble,False,False,Prediction ensemble upper bound; not a single merged model.,True,evaluated,0.07540000000000002,-0.19710697898864749,-0.0026000000000000467,-0.0006254449367523174,0.07833333333333337,-0.002083333333333326,secondary,0.1774,-0.6028661765098572,0.17833333333333334,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W32_S5300,fashion_mnist,mlp_relu,3,32,5300,5,12000,5000,0.2,activation,2,0.19791666666666666,0.11503877668291984,0.4605839950216222,0.6985078056653341,0.8001333333333333,0.7926,0.809,4.571555555555605e-05,0.5632701076348623,report_noncentral_holonomy,,False,False,0.9682458365518541,1.224744871391589,noncentral_permutation_holonomy,0.0,1,0.9682458365518541,1.224744871391589,signed_noncentral_holonomy,0.0,1,0.4744649662839776,0.9702841982835786,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5904882482365149,0.8695888753181729,gl_noncentral_holonomy,0.0,1,0.49378087026787654,improved_validated_selector,0.5499881638050079,0.809,0.5206800715128581,0.82625,0.809,0.0,validation_selected_single_model_or_soup,True,True,Validation-only regret-minimizing selector over exact single-model merge/soup candidates.,True,evaluated,0.07800000000000007,-0.19648153405189517,0.0,0.0,0.08041666666666669,0.0,secondary,0.18000000000000005,-0.6022407315731049,0.18041666666666667,True,True,,,,,,,,,,,union_candidate_soup,0.0,,,,False,True,False,greedy_soup,,,,,,False,True,True,"[""c2m3_permutation"", ""monomial_scale"", ""shrinkage_monomial_scale"", ""global_monomial_scale"", ""optimized_monomial_scale"", ""greedy_soup"", ""c2m3_greedy_soup"", ""monomial_scaled_greedy_soup"", ""shrinkage_monomial_greedy_soup"", ""global_monomial_greedy_soup"", ""optimized_monomial_greedy_soup"", ""union_candidate_soup""]"
fashion_mnist_mlp_N3_W32_S5301,fashion_mnist,mlp_relu,3,32,5301,5,12000,5000,0.2,activation,2,0.2013888888888889,0.11561751222499277,0.5171298788064392,0.7015122572580973,0.8108666666666666,0.8096,0.813,2.3022222222221247e-06,0.5444473835150401,report_noncentral_holonomy,,False,False,0.9596345332990054,1.1989578808281798,noncentral_permutation_holonomy,0.0,1,0.9596345332990054,1.1989578808281798,signed_noncentral_holonomy,0.0,1,0.5659842624103477,1.0167759525214273,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5951451122193945,0.8636066268752216,gl_noncentral_holonomy,0.0,1,0.39365027088865767,weight_average,1.2302789846420288,0.56,1.1907949829101563,0.5879166666666666,0.813,0.2529999999999999,ordinary_unaligned_single_model,True,True,Plain parameter average without alignment.,True,evaluated,-0.12619999999999998,0.429891123008728,-0.25,0.6813889998435974,-0.12208333333333332,-0.25583333333333336,secondary,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W32_S5301,fashion_mnist,mlp_relu,3,32,5301,5,12000,5000,0.2,activation,2,0.2013888888888889,0.11561751222499277,0.5171298788064392,0.7015122572580973,0.8108666666666666,0.8096,0.813,2.3022222222221247e-06,0.5444473835150401,report_noncentral_holonomy,,False,False,0.9596345332990054,1.1989578808281798,noncentral_permutation_holonomy,0.0,1,0.9596345332990054,1.1989578808281798,signed_noncentral_holonomy,0.0,1,0.5659842624103477,1.0167759525214273,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5951451122193945,0.8636066268752216,gl_noncentral_holonomy,0.0,1,0.39365027088865767,c2m3_permutation,0.8003878616333008,0.6862,0.7478359842300415,0.71,0.813,0.1267999999999999,exact_relu_permutation_symmetry,True,True,Cycle-consistent permutation alignment followed by weight averaging.,True,evaluated,0.0,0.0,-0.12380000000000002,0.25149787683486935,0.0,-0.13375000000000004,secondary,0.12619999999999998,-0.429891123008728,0.12208333333333332,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W32_S5301,fashion_mnist,mlp_relu,3,32,5301,5,12000,5000,0.2,activation,2,0.2013888888888889,0.11561751222499277,0.5171298788064392,0.7015122572580973,0.8108666666666666,0.8096,0.813,2.3022222222221247e-06,0.5444473835150401,report_noncentral_holonomy,,False,False,0.9596345332990054,1.1989578808281798,noncentral_permutation_holonomy,0.0,1,0.9596345332990054,1.1989578808281798,signed_noncentral_holonomy,0.0,1,0.5659842624103477,1.0167759525214273,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5951451122193945,0.8636066268752216,gl_noncentral_holonomy,0.0,1,0.39365027088865767,monomial_scale,0.6992300684928894,0.7428,0.6442727597554525,0.78375,0.813,0.07019999999999993,exact_relu_positive_scale_symmetry,True,True,Positive hidden-unit rescaling is exact for ReLU when outgoing weights are inversely adjusted.,True,evaluated,0.056599999999999984,-0.1011577931404114,-0.06720000000000004,0.15034008369445795,0.07374999999999998,-0.06000000000000005,secondary,0.18279999999999996,-0.5310489161491394,0.1958333333333333,True,True,reference_raw,0.17739453475535605,1.5171741631655824,0.10157227117230437,0.2013888888888889,1.0,inf,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W32_S5301,fashion_mnist,mlp_relu,3,32,5301,5,12000,5000,0.2,activation,2,0.2013888888888889,0.11561751222499277,0.5171298788064392,0.7015122572580973,0.8108666666666666,0.8096,0.813,2.3022222222221247e-06,0.5444473835150401,report_noncentral_holonomy,,False,False,0.9596345332990054,1.1989578808281798,noncentral_permutation_holonomy,0.0,1,0.9596345332990054,1.1989578808281798,signed_noncentral_holonomy,0.0,1,0.5659842624103477,1.0167759525214273,noncentral_holonomy,0.0,1,,,not_evaluated,,,0.5951451122193945,0.8636066268752216,gl_noncentral_holonomy,0.0,1,0.39365027088865767,shrinkage_monomial_scale,0.7019560939788818,0.7436,0.647532205581665,0.7891666666666667,0.813,0.0693999999999999,validation_selected_exact_relu_positive_scale,True,True,Reference-based positive scales with validation-selected alpha and clipping.,True,evaluated,0.05740000000000001,-0.09843176765441897,-0.06640000000000001,0.15306610918045038,0.07916666666666672,-0.05458333333333332,secondary,0.18359999999999999,-0.528322890663147,0.20125000000000004,True,True,reference_shrinkage_validation_grid,0.15965508127982045,1.3654567468490242,0.08227353964956653,0.2013888888888889,0.9,2.0,,,,,,,,,,,,,,,,,,,,,
