run_id,selector_method,selected_candidate_method,selected_lift,selector_no_test_leakage,selected_test_accuracy,oracle_pool_test_accuracy,test_regret_vs_oracle_pool,best_fallback_test_accuracy,delta_vs_best_fallback,selector_epsilon,selector_loss_slack
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4205,torsion_safe_selector,best_fallback,False,True,0.8255,0.8255,0.0,0.8255,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4206,torsion_safe_selector,best_fallback,False,True,0.83,0.83,0.0,0.83,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4207,torsion_safe_selector,best_fallback,False,True,0.825,0.825,0.0,0.825,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4208,torsion_safe_selector,best_fallback,False,True,0.827,0.827,0.0,0.827,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4209,torsion_safe_selector,best_fallback,False,True,0.8225,0.8225,0.0,0.8225,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4210,torsion_safe_selector,best_fallback,False,True,0.8285,0.8285,0.0,0.8285,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4211,torsion_safe_selector,best_fallback,False,True,0.823,0.823,0.0,0.823,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4212,torsion_safe_selector,best_fallback,False,True,0.8255,0.8255,0.0,0.8255,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4213,torsion_safe_selector,best_fallback,False,True,0.825,0.825,0.0,0.825,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4214,torsion_safe_selector,best_fallback,False,True,0.828,0.828,0.0,0.828,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4215,torsion_safe_selector,best_fallback,False,True,0.8275,0.8275,0.0,0.8275,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4216,torsion_safe_selector,best_fallback,False,True,0.828,0.828,0.0,0.828,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4217,torsion_safe_selector,best_fallback,False,True,0.821,0.821,0.0,0.821,0.0,0.0,0.0
fashion_mnist_mlp_N3_W128_input_noise_monomial_weight_seed4218,torsion_safe_selector,best_fallback,False,True,0.8205,0.8205,0.0,0.8205,0.0,0.0,0.0
