setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,epochs,max_train_samples,max_test_samples,batch_size,lr,optimizer,weight_decay,scheduler,step_size,gamma,augmentation,dataset_seed,val_fraction,mean_individual_accuracy,single_best_accuracy,single_worst_accuracy,individual_accuracy_spread,primary_alignment_layer,monomial_scale_methods,monomial_scale_method,pairwise_alignment_residual_mean,pairwise_alignment_residual_max,activation_assignment_similarity_mean,activation_assignment_similarity_min,pairwise_alignment_residual_json,alignment_source,alignment_noise_fraction,triangle_type,triangle,i,j,k,triangle_defect_count,triangle_defect_rate,cycle_defect,cycle_score,preregistration_role,setting_description,large_field_shard,large_field_row
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4036,fashion_mnist,mlp2,3,128,none,weight,4036,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8350666666666667,0.8362,0.833,0.0032000000000000917,hidden2,,none,0.6497803529103597,0.6608211994171143,0.1325274033996872,-0.7579964399337769,"[{""assigned_similarity_mean"":0.1510369572779382,""assigned_similarity_min"":-0.6721653342247009,""pair"":""0-1"",""residual"":0.6302695870399475},{""assigned_similarity_mean"":0.11162044070101729,""assigned_similarity_min"":-0.7579964399337769,""pair"":""0-2"",""residual"":0.6608211994171143},{""assigned_similarity_mean"":0.1349248122201061,""assigned_similarity_min"":-0.6410955786705017,""pair"":""1-2"",""residual"":0.6582502722740173}]",observed,0.0,permutation,0-1-2,0,1,2,125,0.9765625,0.9882117688026185,0.9882117688026185,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,74
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4037,fashion_mnist,mlp2,3,128,none,activation,4037,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8336666666666667,0.8342,0.833,0.0012000000000000899,hidden2,,none,0.2926020920276642,0.30198365449905396,0.6857775152232838,0.0,"[{""assigned_similarity_mean"":0.672174723504213,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.28596800565719604},{""assigned_similarity_mean"":0.7074974947609007,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.28985461592674255},{""assigned_similarity_mean"":0.6776603274047375,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.30198365449905396}]",observed,0.0,permutation,0-1-2,0,1,2,111,0.8671875,0.9312290266094587,0.9312290266094587,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,75
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4037,fashion_mnist,mlp2,3,128,none,weight,4037,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8336666666666667,0.8342,0.833,0.0012000000000000899,hidden2,,none,0.6626853744188944,0.6770240068435669,0.1044018834554663,-0.7440499067306519,"[{""assigned_similarity_mean"":0.11611742582317675,""assigned_similarity_min"":-0.637161374092102,""pair"":""0-1"",""residual"":0.6620242595672607},{""assigned_similarity_mean"":0.08866541462248279,""assigned_similarity_min"":-0.7440499067306519,""pair"":""0-2"",""residual"":0.6770240068435669},{""assigned_similarity_mean"":0.10842280992073938,""assigned_similarity_min"":-0.7241266369819641,""pair"":""1-2"",""residual"":0.6490078568458557}]",observed,0.0,permutation,0-1-2,0,1,2,125,0.9765625,0.9882117688026185,0.9882117688026185,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,76
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4038,fashion_mnist,mlp2,3,128,none,activation,4038,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8306666666666667,0.831,0.8304,0.0005999999999999339,hidden2,,none,0.28620320558547974,0.28717124462127686,0.7156072875319902,0.0,"[{""assigned_similarity_mean"":0.7307502697221935,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.28622835874557495},{""assigned_similarity_mean"":0.7011238355044043,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.28717124462127686},{""assigned_similarity_mean"":0.714947757369373,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.2852100133895874}]",observed,0.0,permutation,0-1-2,0,1,2,107,0.8359375,0.9142961773954871,0.9142961773954871,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,77
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4038,fashion_mnist,mlp2,3,128,none,weight,4038,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8306666666666667,0.831,0.8304,0.0005999999999999339,hidden2,,none,0.6672721902529398,0.6779080033302307,0.08372387888478745,-0.7120465636253357,"[{""assigned_similarity_mean"":0.07489363172498997,""assigned_similarity_min"":-0.7120465636253357,""pair"":""0-1"",""residual"":0.6773415207862854},{""assigned_similarity_mean"":0.12906757849577843,""assigned_similarity_min"":-0.6993888020515442,""pair"":""0-2"",""residual"":0.6465670466423035},{""assigned_similarity_mean"":0.047210426433593966,""assigned_similarity_min"":-0.6614938378334045,""pair"":""1-2"",""residual"":0.6779080033302307}]",observed,0.0,permutation,0-1-2,0,1,2,126,0.984375,0.9921567416492215,0.9921567416492215,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,78
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4039,fashion_mnist,mlp2,3,128,none,activation,4039,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8304,0.8312,0.83,0.0012000000000000899,hidden2,,none,0.30423563718795776,0.3180623948574066,0.6987175841107577,0.0,"[{""assigned_similarity_mean"":0.689959037816152,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.30400776863098145},{""assigned_similarity_mean"":0.7258497657458065,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.29063674807548523},{""assigned_similarity_mean"":0.6803439487703145,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.3180623948574066}]",observed,0.0,permutation,0-1-2,0,1,2,103,0.8046875,0.8970437559004577,0.8970437559004577,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,79
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4039,fashion_mnist,mlp2,3,128,none,weight,4039,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8304,0.8312,0.83,0.0012000000000000899,hidden2,,none,0.6639608939488729,0.667041540145874,0.10495186406285484,-0.7104005813598633,"[{""assigned_similarity_mean"":0.09788290618735118,""assigned_similarity_min"":-0.6943418383598328,""pair"":""0-1"",""residual"":0.6632958650588989},{""assigned_similarity_mean"":0.1433251118141925,""assigned_similarity_min"":-0.6248064041137695,""pair"":""0-2"",""residual"":0.6615452766418457},{""assigned_similarity_mean"":0.07364757418702084,""assigned_similarity_min"":-0.7104005813598633,""pair"":""1-2"",""residual"":0.667041540145874}]",observed,0.0,permutation,0-1-2,0,1,2,123,0.9609375,0.9802741963348827,0.9802741963348827,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,80
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4040,fashion_mnist,mlp2,3,128,none,activation,4040,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8335333333333333,0.8356,0.8322,0.0033999999999999586,hidden2,,none,0.2806262771288554,0.2865135669708252,0.7150185083373799,0.0,"[{""assigned_similarity_mean"":0.7043099426664412,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.2779756188392639},{""assigned_similarity_mean"":0.7087138020433486,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.27738964557647705},{""assigned_similarity_mean"":0.7320317803023499,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.2865135669708252}]",observed,0.0,permutation,0-1-2,0,1,2,108,0.84375,0.9185586535436918,0.9185586535436918,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,81
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4040,fashion_mnist,mlp2,3,128,none,weight,4040,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8335333333333333,0.8356,0.8322,0.0033999999999999586,hidden2,,none,0.6633027195930481,0.6747733354568481,0.11878756901205634,-0.7387993931770325,"[{""assigned_similarity_mean"":0.08958239366256748,""assigned_similarity_min"":-0.7323431372642517,""pair"":""0-1"",""residual"":0.6747733354568481},{""assigned_similarity_mean"":0.132546559903858,""assigned_similarity_min"":-0.6250250935554504,""pair"":""0-2"",""residual"":0.651939868927002},{""assigned_similarity_mean"":0.13423375346974353,""assigned_similarity_min"":-0.7387993931770325,""pair"":""1-2"",""residual"":0.6631949543952942}]",observed,0.0,permutation,0-1-2,0,1,2,125,0.9765625,0.9882117688026185,0.9882117688026185,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,82
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4041,fashion_mnist,mlp2,3,128,none,activation,4041,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8328000000000001,0.8362,0.8304,0.005800000000000027,hidden2,,none,0.2889806926250458,0.3020523488521576,0.7030729535035789,0.0,"[{""assigned_similarity_mean"":0.6945166308432817,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.2713126242160797},{""assigned_similarity_mean"":0.7309814288746566,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.2935771048069},{""assigned_similarity_mean"":0.6837208007927984,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.3020523488521576}]",observed,0.0,permutation,0-1-2,0,1,2,98,0.765625,0.875,0.875,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,83
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4041,fashion_mnist,mlp2,3,128,none,weight,4041,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8328000000000001,0.8362,0.8304,0.005800000000000027,hidden2,,none,0.6628245313962301,0.6780068874359131,0.1227337656838851,-0.7163062691688538,"[{""assigned_similarity_mean"":0.10935074422741309,""assigned_similarity_min"":-0.6241445541381836,""pair"":""0-1"",""residual"":0.6707049608230591},{""assigned_similarity_mean"":0.08160313185226187,""assigned_similarity_min"":-0.7163062691688538,""pair"":""0-2"",""residual"":0.6780068874359131},{""assigned_similarity_mean"":0.17724742097198032,""assigned_similarity_min"":-0.5862324237823486,""pair"":""1-2"",""residual"":0.639761745929718}]",observed,0.0,permutation,0-1-2,0,1,2,124,0.96875,0.9842509842514764,0.9842509842514764,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,84
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4042,fashion_mnist,mlp2,3,128,none,activation,4042,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.832,0.8334,0.8312,0.0021999999999999797,hidden2,,none,0.2940182089805603,0.2998877763748169,0.6966863145632184,0.0,"[{""assigned_similarity_mean"":0.6860110270608857,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.2998877763748169},{""assigned_similarity_mean"":0.7054787173401564,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.295833021402359},{""assigned_similarity_mean"":0.6985691992886132,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.286333829164505}]",observed,0.0,permutation,0-1-2,0,1,2,102,0.796875,0.8926785535678563,0.8926785535678563,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,85
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4042,fashion_mnist,mlp2,3,128,none,weight,4042,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.832,0.8334,0.8312,0.0021999999999999797,hidden2,,none,0.6648407777150472,0.6690071821212769,0.0908639877202404,-0.6895416378974915,"[{""assigned_similarity_mean"":0.09025324241292765,""assigned_similarity_min"":-0.6895416378974915,""pair"":""0-1"",""residual"":0.6603009700775146},{""assigned_similarity_mean"":0.11271731533634011,""assigned_similarity_min"":-0.6356151700019836,""pair"":""0-2"",""residual"":0.6690071821212769},{""assigned_similarity_mean"":0.06962140541145345,""assigned_similarity_min"":-0.6500390768051147,""pair"":""1-2"",""residual"":0.6652141809463501}]",observed,0.0,permutation,0-1-2,0,1,2,126,0.984375,0.9921567416492215,0.9921567416492215,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,86
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4043,fashion_mnist,mlp2,3,128,none,activation,4043,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8316,0.8322,0.8306,0.0016000000000000458,hidden2,,none,0.2955029805501302,0.3051256537437439,0.722886574609826,0.0,"[{""assigned_similarity_mean"":0.7241574447834864,""assigned_similarity_min"":0.0,""pair"":""0-1"",""residual"":0.28817540407180786},{""assigned_similarity_mean"":0.7192057730862871,""assigned_similarity_min"":0.0,""pair"":""0-2"",""residual"":0.29320788383483887},{""assigned_similarity_mean"":0.7252965059597045,""assigned_similarity_min"":0.0,""pair"":""1-2"",""residual"":0.3051256537437439}]",observed,0.0,permutation,0-1-2,0,1,2,106,0.828125,0.9100137361600648,0.9100137361600648,primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching.",prompt21_triangle_maps_part_000.csv.gz,87
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4043,fashion_mnist,mlp2,3,128,none,weight,4043,10,10000,5000,128,0.001,adamw,0.0001,cosine,3,0.5,none,314159,0.2,0.8316,0.8322,0.8306,0.0016000000000000458,hidden2,,none,0.6594084103902181,0.6756603717803955,0.1172387927596598,-0.7758044600486755,"[{""assigned_similarity_mean"":0.152018302950637,""assigned_similarity_min"":-0.7651082277297974,""pair"":""0-1"",""residual"":0.6609019637107849},{""assigned_similarity_mean"":0.05993381593361846,""assigned_similarity_min"":-0.7758044600486755,""pair"":""0-2"",""residual"":0.6756603717803955},{""assigned_similarity_mean"":0.13976425939472392,""assigned_similarity_min"":-0.7480255961418152,""pair"":""1-2"",""residual"":0.6416628956794739}]",observed,0.0,permutation,0-1-2,0,1,2,126,0.984375,0.9921567416492215,0.9921567416492215,neighbor_control,Same primary setting with weight matching.,prompt21_triangle_maps_part_000.csv.gz,88
