summary_type,scope,dataset,task_preset,architecture,width,n_tasks,n_runs,n_unique_seeds,mean_sign_conflict_fraction,mean_active_fraction,mean_pairwise_task_vector_cosine,mean_min_pairwise_task_vector_cosine,mean_delta_norm,mean_pairwise_delta_distance,mean_greedy_soup_accepted_count,mean_task_arithmetic_selected_scale,mean_ties_selected_density,mean_ties_selected_scale,mean_dare_selected_drop_rate,mean_dare_selected_scale,mean_triangle_cycle_score,mean_sync_disagreement,delta_norm_availability_fraction,mean_task_arithmetic_delta_vs_greedy,task_arithmetic_delta_vs_greedy_ci_low,task_arithmetic_delta_vs_greedy_ci_high,mean_ties_delta_vs_greedy,ties_delta_vs_greedy_ci_low,ties_delta_vs_greedy_ci_high,mean_dare_delta_vs_greedy,dare_delta_vs_greedy_ci_low,dare_delta_vs_greedy_ci_high,mean_best_generated_delta_vs_greedy,best_generated_delta_vs_greedy_ci_low,best_generated_delta_vs_greedy_ci_high,mean_best_generated_worst_task_delta_vs_greedy,best_generated_worst_task_delta_vs_greedy_ci_low,best_generated_worst_task_delta_vs_greedy_ci_high,best_generated_candidate_family_mode,best_generated_candidate_family_mode_count,candidate_family,win_count,win_fraction,claim_boundary,target,predictor,predictor_role,n_rows,predictor_unique_values,target_unique_values,pearson,spearman,triangle_cycle_unique_values,sync_disagreement_unique_values,claim_decision
setting_summary,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64,3.0,20.0,20.0,0.7841628216789984,0.8282143505903724,-0.039239299125829394,-0.43978940782496334,0.8401086267618745,1.2135812058448068,2.85,0.5875,0.5199999999999999,0.5,0.24,0.5625,0.0,0.0,1.0,0.010472222222222199,0.005361111111111127,0.014972222222222198,-0.03655555555555555,-0.04825555555555555,-0.024888194444444445,0.010861111111111117,0.004527083333333331,0.016388888888888897,0.013499999999999984,0.009109722222222182,0.017722222222222212,0.008250000000000002,0.0012479166666666517,0.016500000000000004,dare,11.0,,,,,,,,,,,,,,,
setting_summary,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,128,3.0,20.0,20.0,0.7894256527755209,0.854683299234034,-0.041940168664605856,-0.4177517500622815,1.0167658290214354,1.4706751237950768,2.8,0.425,0.4000000000000001,0.5,0.31999999999999995,0.5,0.0,0.0,1.0,0.030222222222222216,0.02386111111111111,0.036139583333333336,-0.05299999999999998,-0.06819513888888888,-0.03730277777777776,0.031611111111111104,0.025971527777777777,0.036861111111111095,0.03274999999999999,0.027055555555555572,0.03811111111111108,0.05458333333333334,0.04275000000000001,0.0665,dare,13.0,,,,,,,,,,,,,,,
setting_summary,fixed_setting,mnist,mnist_digit_subsets,mlp2,64,3.0,20.0,20.0,0.6984101573716505,0.7981489554950045,-0.06949088230448112,-0.49908007906702495,0.8636095207554206,1.2516242913631568,3.0,0.275,0.20000000000000004,0.5,0.39,0.5,0.0,0.0,1.0,0.04391666666666667,0.04080486111111109,0.047167361111111104,0.008111111111111135,0.0051652777777777825,0.011111805555555606,0.03916666666666668,0.03647222222222228,0.0418888888888889,0.044250000000000005,0.041333333333333354,0.0473888888888889,0.13874999999999998,0.12808125,0.14991666666666664,task_arithmetic,18.0,,,,,,,,,,,,,,,
setting_summary,fixed_setting,mnist,mnist_digit_subsets,mlp2,128,3.0,20.0,20.0,0.7126460132521958,0.8063771326152752,-0.07133549570374037,-0.46426850689814597,1.0138561812683087,1.4725247789651321,3.0,0.2625,0.20000000000000004,0.5,0.2699999999999999,0.5,0.0,0.0,1.0,0.04938888888888886,0.0469722222222222,0.05213888888888887,0.015499999999999996,0.011222222222222184,0.019528472222222232,0.04249999999999997,0.040554861111111076,0.044501388888888854,0.04952777777777775,0.04713888888888885,0.05227777777777778,0.1355,0.12799999999999997,0.1440020833333333,task_arithmetic,19.0,,,,,,,,,,,,,,,
setting_summary,fixed_setting,mnist,mnist_four_subsets,mlp2,64,4.0,20.0,20.0,0.7794947723070662,0.8042688465031789,-0.06075141226236115,-0.5001087757329351,0.8704801566114536,1.2530790369781921,3.9,0.8,0.765,0.5,0.24999999999999994,1.025,0.0,0.0,1.0,0.0007916666666666738,5.134781488891373e-18,0.001625000000000021,-0.008229166666666694,-0.011895833333333333,-0.005166145833333361,-0.00035416666666668317,-0.0013958333333333518,0.0006666666666666488,0.0013124999999999999,0.0006874999999999909,0.0020208333333333276,0.002749999999999986,0.001083333333333325,0.004666666666666652,weight_average,8.0,,,,,,,,,,,,,,,
setting_summary,fixed_setting,mnist,mnist_four_subsets,mlp2,128,4.0,20.0,20.0,0.8000290728093903,0.8121578093031907,-0.0629497646404697,-0.46542048857992563,1.0212991708156576,1.4742040342525975,4.0,0.8,0.6449999999999999,0.5,0.29,0.8625,0.0,0.0,1.0,0.0010000000000000009,-0.00031250000000001014,0.002291666666666686,-0.0053958333333333445,-0.007895833333333319,-0.0031453124999999953,8.333333333333526e-05,-0.001270833333333321,0.0013546875000000024,0.0021666666666666666,0.0012916666666666632,0.0031666666666666787,0.005083333333333334,0.002916666666666662,0.007333333333333325,task_arithmetic,7.0,,,,,,,,,,,,,,,
winner_frequency,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dare,11.0,0.55,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,task_arithmetic,6.0,0.3,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,64,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight_average,3.0,0.15,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
winner_frequency,fixed_setting,fashion_mnist,fashion_class_subsets,mlp2,128,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dare,13.0,0.65,winner is by test metric after validation selection; descriptive audit only,,,,,,,,,,,
