candidate_id,run_id,class_status,estimated_period,bootstrap_samples,bootstrap_detection_rate,bootstrap_same_class_rate,bootstrap_same_period_rate,bootstrap_coboundary_disagreement_rate,certification_floor,bootstrap_gate_passed,diagnostic_only
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4213:0-1-2:27,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4213,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4214:0-1-2:28,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4214,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4214:0-1-2:29,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4214,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4215:0-1-2:30,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4215,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4215:0-1-2:31,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4215,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4216:0-1-2:32,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4216,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4216:0-1-2:33,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4216,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4217:0-1-2:34,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4217,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4217:0-1-2:35,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4217,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4218:0-1-2:36,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4218,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4218:0-1-2:37,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4218,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4219:0-1-2:38,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4219,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4219:0-1-2:39,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4219,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4220:0-1-2:40,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4220,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4220:0-1-2:41,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4220,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4221:0-1-2:42,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4221,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:43,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4221,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4222:0-1-2:44,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4222,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4222:0-1-2:45,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4222,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4223:0-1-2:46,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4223,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4223:0-1-2:47,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4223,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4224:0-1-2:48,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4224,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4224:0-1-2:49,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4224,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4225:0-1-2:50,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4225,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4225:0-1-2:51,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4225,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4226:0-1-2:52,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4226,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4226:0-1-2:53,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4226,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4227:0-1-2:54,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4227,not_central_or_not_projectable,,100,0.0,1.0,0.0,1.0,0.8,False,True
