experiment,rank,effective_rank,mean,std
mu2,1,1,0.8456217447916666,0.07234147692022135
mu2,2,2,0.9335123697916666,0.005301455428571195
mu2,4,2,0.9335123697916666,0.005301455428571195
mu2,8,2,0.9335123697916666,0.005301455428571195
u1,1,1,0.9029622395833334,0.010793796132281925
u1,2,2,0.9029622395833334,0.010793796132281925
u1,4,4,0.9029622395833334,0.010793796132281925
u1,8,8,0.918017578125,0.003612686530865816
