setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,method,test_accuracy,test_loss,val_accuracy,val_loss,candidate_method,selector_method,selected_candidate_method,selected_primary_lift,selected_lift,selected_q_order,selected_depth,selected_prime_axis,selected_by_validation,control_gate_passed,selector_no_test_leakage,selector_epsilon,selector_epsilon_control,selector_loss_slack,pooling_threshold,lambda_branch,lambda_residual,best_fallback_val_accuracy,best_fallback_val_loss,best_fallback_test_accuracy,best_fallback_test_loss,residual_source,relation_set_id,aggregation_level,q_order,q_name,primary_type,primary_depth,prime_axis,is_prime_headline,is_depth_control,is_mixed_control,v_p_observed_order,eligible_by_observed_primary_depth,candidate_role,divides_primary_source,quotient_certified,relation_count,relation_count_status,relation_violation_rate,quotient_holonomy_nontrivial_rate,quotient_holonomy_entropy,quotient_assignment_confidence,pooling_residual_q,source_method,uses_validation_data,uses_test_data_for_selection,reason,implemented_real_lift,validation_accuracy,validation_loss,branch_count,capacity_multiplier,parameter_multiplier,inference_multiplier,is_single_model,is_extra_capacity,capacity_matched_to_same_branch_control,lift_implemented,unique_triangle_count,unique_holonomy_count,observed_holonomy_order_lcm,v2_observed_order,v3_observed_order,primary_source,group_closure_status,group_order_if_exact,group_exponent_if_exact,v2_group_order_if_exact,v3_group_order_if_exact,v2_group_exponent_if_exact,v3_group_exponent_if_exact,noncentral_holonomy_score,controlled_true_q,threshold_profile,activation_eligible_threshold_profile,relation_threshold,nontrivial_threshold,entropy_threshold,quotient_fit_status,assignment_strategy,quotient_status,naive_residual_q,naive_residual_q_max,pooling_residual_q_max,pooling_gate_passed,best_fallback_validation_accuracy,selection_score,best_random_same_branch_val_accuracy,best_wrong_prime_or_depth_val_accuracy
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4210,mnist,mlp,3.0,128.0,none,monomial_weight,4210.0,greedy_soup,0.913,0.3027777137756348,0.9345,0.2216636114120483,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9345,0.2216636114120483,0.913,0.3027777137756348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4211,mnist,mlp,3.0,128.0,none,monomial_weight,4211.0,greedy_soup,0.913,0.2961065006256103,0.9335,0.2135701942443847,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9335,0.2135701942443847,0.913,0.2961065006256103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4212,mnist,mlp,3.0,128.0,none,monomial_weight,4212.0,greedy_soup,0.911,0.2973061504364013,0.9325,0.2176472463607788,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9325,0.2176472463607788,0.911,0.2973061504364013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4213,mnist,mlp,3.0,128.0,none,monomial_weight,4213.0,greedy_soup,0.913,0.3015392961502075,0.935,0.2202158489227295,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.935,0.2202158489227295,0.913,0.3015392961502075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4214,mnist,mlp,3.0,128.0,none,monomial_weight,4214.0,greedy_soup,0.91,0.2991596698760986,0.936,0.2193833999633789,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.936,0.2193833999633789,0.91,0.2991596698760986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4215,mnist,mlp,3.0,128.0,none,monomial_weight,4215.0,greedy_soup,0.915,0.2926376247406005,0.9365,0.2114383878707885,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9365,0.2114383878707885,0.915,0.2926376247406005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4216,mnist,mlp,3.0,128.0,none,monomial_weight,4216.0,greedy_soup,0.9125,0.3027435159683228,0.9365,0.2199430742263794,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9365,0.2199430742263794,0.9125,0.3027435159683228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4217,mnist,mlp,3.0,128.0,none,monomial_weight,4217.0,greedy_soup,0.916,0.2971381311416626,0.9365,0.2129004430770874,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9365,0.2129004430770874,0.916,0.2971381311416626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4218,mnist,mlp,3.0,128.0,none,monomial_weight,4218.0,greedy_soup,0.913,0.2937593688964843,0.9355,0.2093890867233276,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.9355,0.2093890867233276,0.913,0.2937593688964843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnist_mlp_N3_W128_none_monomial_weight,mnist_mlp_N3_W128_none_monomial_weight_seed4219,mnist,mlp,3.0,128.0,none,monomial_weight,4219.0,greedy_soup,0.912,0.2981924333572388,0.933,0.2160159273147583,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,none,False,False,True,0.002,0.0005,inf,1e-08,0.0,0.01,0.933,0.2160159273147583,0.912,0.2981924333572388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
