regime,dataset,architecture,width,n_models,domain_shift,task_preset,path_method,n_rows,n_pair_rows,n_unique_runs,n_unique_seeds,mean_val_midpoint_loss_barrier,mean_val_max_loss_barrier,mean_test_max_loss_barrier,mean_val_accuracy_drop_barrier_t05,mean_test_accuracy_drop_barrier_t05,mean_delta_val_max_loss_barrier_vs_linear,mean_delta_test_max_loss_barrier_vs_linear,fraction_lowers_val_max_loss_barrier_vs_linear,mean_help_val_max_loss_barrier_vs_linear,pearson_cycle_vs_val_barrier_help,pearson_cycle_vs_val_barrier_help_ci_low,pearson_cycle_vs_val_barrier_help_ci_high,mean_cycle_score,mean_sync_disagreement,claim_decision,claim_boundary
fixed_independent_seed,fashion_mnist,mlp2,128,3,none,,c2m3_aligned_linear,6,6,2,2,0.08017331982652347,0.08017331982652347,0.0941444883743922,0.0283203125,0.0380859375,-0.935420980056127,-0.8596000373363495,1.0,0.935420980056127,0.17382993900254345,-0.8997025675261873,0.8913534154355662,0.9214571422125254,0.2174479166666667,alignment_conditioned_path_geometry,descriptive geometry diagnostic
fixed_independent_seed,fashion_mnist,mlp2,128,3,none,,git_rebasin_aligned_linear,6,6,2,2,0.05758275588353475,0.05758275588353475,0.07116507738828659,0.025716145833333332,0.02734375,-0.9580115439991156,-0.882579448322455,1.0,0.9580115439991156,0.24146394169985538,-0.9992345140540385,0.9926296890900214,0.9214571422125254,0.2174479166666667,alignment_conditioned_path_geometry,descriptive geometry diagnostic
fixed_independent_seed,fashion_mnist,mlp2,128,3,none,,greedy_soup_endpoint,2,0,2,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9214571422125253,0.21744791666666669,validation_selected_endpoint_diagnostic,descriptive geometry diagnostic
fixed_independent_seed,fashion_mnist,mlp2,128,3,none,,linear_interpolation,6,6,2,2,1.0155942998826504,1.0155942998826504,0.9537445257107416,0.3841145833333333,0.3756510416666667,0.0,0.0,0.0,0.0,,,,0.9214571422125254,0.2174479166666667,baseline_path_geometry,descriptive geometry diagnostic
fixed_independent_seed,fashion_mnist,mlp2,128,3,none,,monomial_shrinkage_aligned_linear,6,6,2,2,0.04467923132081827,0.04467923132081827,0.06299018549422424,0.015299479166666666,0.019856770833333332,-0.9709150685618321,-0.8907543402165174,1.0,0.9709150685618321,0.1740372386136302,-0.9904507227526048,0.966298543955717,0.9214571422125254,0.2174479166666667,alignment_conditioned_path_geometry,descriptive geometry diagnostic
fixed_independent_seed,fashion_mnist,mlp2,128,3,none,,slerp_interpolation,6,6,2,2,1.5362705998122692,1.5362705998122692,1.4626755615075429,0.3684895833333333,0.3603515625,0.5206762999296188,0.5089310357968012,0.16666666666666666,-0.5206762999296188,-0.35438611210402193,-0.9860292586623379,0.7478213669703473,0.9214571422125254,0.2174479166666667,descriptive_no_slerp_barrier_reduction_claim,"SLERP is a path geometry baseline, not a descent obstruction method"
fixed_independent_seed,mnist,mlp2,128,3,none,,c2m3_aligned_linear,6,6,2,2,0.07965704798698425,0.07965704798698425,0.07293100158373515,0.0166015625,0.015950520833333332,-0.8746579711635908,-0.8740921194354693,1.0,0.8746579711635908,-0.20747872497118752,-0.930345807719816,0.7937120577306102,0.914207409469903,0.2016059027777778,alignment_conditioned_path_geometry,descriptive geometry diagnostic
fixed_independent_seed,mnist,mlp2,128,3,none,,git_rebasin_aligned_linear,6,6,2,2,0.056072892621159554,0.056072892621159554,0.04833090056975683,0.010416666666666666,0.013346354166666666,-0.8982421265294155,-0.8986922204494476,1.0,0.8982421265294155,-0.22843908126309392,-0.9075296179919999,0.806251709625108,0.914207409469903,0.2016059027777778,alignment_conditioned_path_geometry,descriptive geometry diagnostic
fixed_independent_seed,mnist,mlp2,128,3,none,,greedy_soup_endpoint,2,0,2,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9142074094699031,0.2016059027777778,validation_selected_endpoint_diagnostic,descriptive geometry diagnostic
fixed_independent_seed,mnist,mlp2,128,3,none,,linear_interpolation,6,6,2,2,0.954315019150575,0.954315019150575,0.9470231210192045,0.3522135416666667,0.3629557291666667,0.0,0.0,0.0,0.0,,,,0.914207409469903,0.2016059027777778,baseline_path_geometry,descriptive geometry diagnostic
fixed_independent_seed,mnist,mlp2,128,3,none,,monomial_shrinkage_aligned_linear,6,6,2,2,0.053267134043077626,0.053267134043077626,0.04293137105802695,0.005208333333333333,0.011393229166666666,-0.9010478851074973,-0.9040917499611775,1.0,0.9010478851074973,-0.28905633092035227,-0.8961779457785406,0.921845723474766,0.914207409469903,0.2016059027777778,alignment_conditioned_path_geometry,descriptive geometry diagnostic
fixed_independent_seed,mnist,mlp2,128,3,none,,slerp_interpolation,6,6,2,2,1.0039906253417332,1.0039906253417332,1.0901037106911342,0.3512369791666667,0.3567708333333333,0.049675606191158295,0.1430805896719297,0.3333333333333333,-0.049675606191158295,0.14380996993098033,-0.9410349175229128,0.8659826097678925,0.914207409469903,0.2016059027777778,descriptive_no_slerp_barrier_reduction_claim,"SLERP is a path geometry baseline, not a descent obstruction method"
same_base_task_vector,mnist,mlp2,64,3,same_base_tasks,mnist_digit_subsets,c2m3_aligned_linear,9,9,3,3,-0.6165478914562199,0.0,0.0,-0.20421006944444445,-0.2026909722222222,0.0,0.0,0.0,0.0,,,,0.167251742885549,0.01417824074074074,alignment_conditioned_path_geometry,descriptive geometry diagnostic
same_base_task_vector,mnist,mlp2,64,3,same_base_tasks,mnist_digit_subsets,git_rebasin_aligned_linear,9,9,3,3,-0.6148155896613995,0.0,0.0,-0.20377604166666666,-0.20247395833333334,0.0,0.0,0.0,0.0,,,,0.167251742885549,0.01417824074074074,alignment_conditioned_path_geometry,descriptive geometry diagnostic
same_base_task_vector,mnist,mlp2,64,3,same_base_tasks,mnist_digit_subsets,greedy_soup_endpoint,3,0,3,3,-0.09061551466584206,0.0,0.0,-0.0016276041666666667,-0.0107421875,,,,,,,,0.167251742885549,0.014178240740740741,validation_selected_endpoint_diagnostic,descriptive geometry diagnostic
