source,group_name,noise_level,closure_status,group_order,truncated,expected_chain_signature,observed_chain_signature,chain_matches_expected,stage_depth,quotient_order,homomorphism_residual,kernel_order,kernel_normal,residual_group_order,coset_count,coset_action_law_residual,stabilizer_matches_kernel,final_regular_representation_verified,quotient_certified,certification_method,residual_before,residual_after,branch_multiplier,bootstrap_stability,bootstrap_kernel_stability,modal_chain,modal_chain_count,n_bootstrap,bootstrap_method
controlled_smoke_actual_mnist_logits,C2xC2,0.0,exact_closure,4,False,C2->C2,C2->C2,True,1,2,0.0,2,True,2,2,0.0,True,False,True,exact_multiplication_table_bruteforce,0.5,0.5,2,0.835,1.0,C2/K2->C2/K1,167,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,C2xC2,0.0,exact_closure,4,False,C2->C2,C2->C2,True,2,2,0.0,1,True,1,4,0.0,True,True,True,exact_multiplication_table_bruteforce,0.5,0.0,4,0.835,1.0,C2/K2->C2/K1,167,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,C2xC2,0.25,exact_closure,4,False,C2->C2,C2->C2,True,1,2,0.0,2,True,2,2,0.0,True,False,True,exact_multiplication_table_bruteforce,0.25,0.3333333333333333,2,0.49,1.0,C2/K2->C2/K1,98,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,C2xC2,0.25,exact_closure,4,False,C2->C2,C2->C2,True,2,2,0.0,1,True,1,4,0.0,True,True,True,exact_multiplication_table_bruteforce,0.3333333333333333,0.0,4,0.49,1.0,C2/K2->C2/K1,98,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,C4,0.0,exact_closure,4,False,C2->C2,C2->C2,True,1,2,0.0,2,True,2,2,0.0,True,False,True,permutation_sign_character,0.5,0.5,2,0.925,1.0,C2/K2->C2/K1,185,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,C4,0.0,exact_closure,4,False,C2->C2,C2->C2,True,2,2,0.0,1,True,1,4,0.0,True,True,True,exact_multiplication_table_bruteforce,0.5,0.0,4,0.925,1.0,C2/K2->C2/K1,185,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,C4,0.25,exact_closure,4,False,C2->C2,C2->C2,True,1,2,0.0,2,True,2,2,0.0,True,False,True,permutation_sign_character,0.5,0.0,2,0.94,1.0,C2/K2->C2/K1,188,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,C4,0.25,exact_closure,4,False,C2->C2,C2->C2,True,2,2,0.0,1,True,1,4,0.0,True,True,True,exact_multiplication_table_bruteforce,0.0,0.0,4,0.94,1.0,C2/K2->C2/K1,188,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,D4,0.0,exact_closure,8,False,C2->C2->C2,C2->C2->C2,True,1,2,0.0,4,True,4,2,0.0,True,False,True,exact_multiplication_table_bruteforce,0.5,0.75,2,0.985,1.0,C2/K4->C2/K2->C2/K1,197,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,D4,0.0,exact_closure,8,False,C2->C2->C2,C2->C2->C2,True,2,2,0.0,2,True,2,4,0.0,False,False,True,exact_multiplication_table_bruteforce,0.5,0.5,4,0.985,1.0,C2/K4->C2/K2->C2/K1,197,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,D4,0.0,exact_closure,8,False,C2->C2->C2,C2->C2->C2,True,3,2,0.0,1,True,1,8,0.0,True,True,True,permutation_sign_character,0.5,0.0,8,0.985,1.0,C2/K4->C2/K2->C2/K1,197,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,D4,0.25,exact_closure,8,False,C2->C2->C2,C2->C2->C2,True,1,2,0.0,4,True,4,2,0.0,True,False,True,exact_multiplication_table_bruteforce,0.5,0.75,2,0.985,1.0,C2/K4->C2/K2->C2/K1,197,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,D4,0.25,exact_closure,8,False,C2->C2->C2,C2->C2->C2,True,2,2,0.0,2,True,2,4,0.0,False,False,True,exact_multiplication_table_bruteforce,0.5,0.5,4,0.985,1.0,C2/K4->C2/K2->C2/K1,197,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,D4,0.25,exact_closure,8,False,C2->C2->C2,C2->C2->C2,True,3,2,0.0,1,True,1,8,0.0,True,True,True,permutation_sign_character,0.5,0.0,8,0.985,1.0,C2/K4->C2/K2->C2/K1,197,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,S3,0.0,exact_closure,6,False,C2->C3,C2->C3,True,1,2,0.0,3,True,3,2,0.0,True,False,True,permutation_sign_character,0.5,0.6666666666666666,2,0.97,1.0,C2/K3->C3/K1,194,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,S3,0.0,exact_closure,6,False,C2->C3,C2->C3,True,2,3,0.0,1,True,1,6,0.0,True,True,True,exact_multiplication_table_bruteforce,0.6666666666666666,0.0,6,0.97,1.0,C2/K3->C3/K1,194,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,S3,0.25,exact_closure,6,False,C2->C3,C2->C3,True,1,2,0.0,3,True,3,2,0.0,True,False,True,permutation_sign_character,0.8333333333333334,0.0,2,0.95,1.0,C2/K3->C3/K1,190,200,resample_holonomies_rebuild_group
controlled_smoke_actual_mnist_logits,S3,0.25,exact_closure,6,False,C2->C3,C2->C3,True,2,3,0.0,1,True,1,6,0.0,True,True,True,exact_multiplication_table_bruteforce,0.0,0.0,6,0.95,1.0,C2/K3->C3/K1,190,200,resample_holonomies_rebuild_group
