setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,method,test_accuracy,test_loss,val_accuracy,val_loss,candidate_method,selector_method,selected_candidate_method,selected_primary_lift,selected_lift,selected_q_order,selected_depth,selector_no_test_leakage,selector_epsilon,selector_epsilon_control,selector_loss_slack,pooling_threshold,lambda_branch,lambda_residual,best_fallback_val_accuracy,best_fallback_val_loss,best_fallback_test_accuracy,best_fallback_test_loss,relation_set_id,aggregation_level,q_order,q_name,primary_type,primary_depth,candidate_role,divides_primary_source,quotient_certified,relation_count,relation_count_status,relation_violation_rate,quotient_holonomy_nontrivial_rate,quotient_holonomy_entropy,quotient_assignment_confidence,pooling_residual_q,source_method,uses_validation_data,uses_test_data_for_selection,reason,validation_accuracy,validation_loss,branch_count,parameter_multiplier,inference_multiplier,is_single_model,is_extra_capacity,capacity_matched_to_same_branch_control,lift_implemented,residual_source,unique_triangle_count,unique_holonomy_count,observed_holonomy_order_lcm,v2_observed_order,v3_observed_order,primary_source,group_closure_status,group_order_if_exact,group_exponent_if_exact,v2_group_order_if_exact,v3_group_order_if_exact,v2_group_exponent_if_exact,v3_group_exponent_if_exact,noncentral_holonomy_score,controlled_true_q,threshold_profile,activation_eligible_threshold_profile,relation_threshold,nontrivial_threshold,entropy_threshold,quotient_fit_status,assignment_strategy,quotient_status,naive_residual_q,naive_residual_q_max,pooling_residual_q_max,pooling_gate_passed,best_fallback_validation_accuracy,selection_score,best_random_same_branch_val_accuracy
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4207.0,greedy_soup,0.8095,0.5386675224304199,0.8385,0.4914516620635986,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.8385,0.4914516620635986,0.8095,0.5386675224304199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4208.0,greedy_soup,0.813,0.5344125709533691,0.843,0.4870808525085449,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.843,0.4870808525085449,0.813,0.5344125709533691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4209,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4209.0,greedy_soup,0.817,0.5258516979217529,0.847,0.476715684890747,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.847,0.476715684890747,0.817,0.5258516979217529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4210,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4210.0,greedy_soup,0.8135,0.5346486778259277,0.842,0.4843445262908935,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.842,0.4843445262908935,0.8135,0.5346486778259277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4211,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4211.0,greedy_soup,0.81,0.5286343269348145,0.8435,0.4810509986877441,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.8435,0.4810509986877441,0.81,0.5286343269348145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4212,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4212.0,greedy_soup,0.8095,0.5380170116424561,0.838,0.488988525390625,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.838,0.488988525390625,0.8095,0.5380170116424561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4213,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4213.0,greedy_soup,0.814,0.5334797210693359,0.844,0.4854946632385254,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.844,0.4854946632385254,0.814,0.5334797210693359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4214,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4214.0,greedy_soup,0.817,0.5315609092712402,0.8435,0.4857248630523681,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.8435,0.4857248630523681,0.817,0.5315609092712402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4215,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4215.0,greedy_soup,0.819,0.5251066436767579,0.846,0.4796846504211425,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.846,0.4796846504211425,0.819,0.5251066436767579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4216,fashion_mnist,mlp,3.0,64.0,input_noise,monomial_activation,4216.0,greedy_soup,0.8185,0.5206946048736573,0.85,0.4770299816131592,best_fallback,primary_holonomy_safe_selector,best_fallback,False,False,1,0,True,0.0,0.0,0.0,1e-08,0.0,0.0,0.85,0.4770299816131592,0.8185,0.5206946048736573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
