setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,group_source,group_name,inferred_group_order,coefficient_group,coefficient_modulus,h2_exact,h2_method,h2_dimension,h2_size,class_orders_json,skipped_reason
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4200,real_fixed_setting_triangle_maps,inferred_residual_group,150,Z/2Z,2,False,skipped_large_group,,,[],group order 150 exceeds exact cohomology limit 32
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,fashion_mnist,mlp,3.0,64,none,monomial_activation,4200,real_fixed_setting_triangle_maps,inferred_residual_group,90,Z/2Z,2,False,skipped_large_group,,,[],group order 90 exceeds exact cohomology limit 32
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4201,real_fixed_setting_triangle_maps,inferred_residual_group,156,Z/2Z,2,False,skipped_large_group,,,[],group order 156 exceeds exact cohomology limit 32
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201,fashion_mnist,mlp,3.0,64,none,monomial_activation,4201,real_fixed_setting_triangle_maps,inferred_residual_group,257,Z/2Z,2,False,truncated_max_group_order,,,[],group closure exceeded max_group_order
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4202,real_fixed_setting_triangle_maps,inferred_residual_group,224,Z/2Z,2,False,skipped_large_group,,,[],group order 224 exceeds exact cohomology limit 32
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,fashion_mnist,mlp,3.0,64,none,monomial_activation,4202,real_fixed_setting_triangle_maps,inferred_residual_group,257,Z/2Z,2,False,truncated_max_group_order,,,[],group closure exceeded max_group_order
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4203,real_fixed_setting_triangle_maps,inferred_residual_group,120,Z/2Z,2,False,skipped_large_group,,,[],group order 120 exceeds exact cohomology limit 32
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,fashion_mnist,mlp,3.0,64,none,monomial_activation,4203,real_fixed_setting_triangle_maps,inferred_residual_group,228,Z/2Z,2,False,skipped_large_group,,,[],group order 228 exceeds exact cohomology limit 32
fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,fashion_mnist,mlp,3.0,64,input_noise,monomial_activation,4204,real_fixed_setting_triangle_maps,inferred_residual_group,257,Z/2Z,2,False,truncated_max_group_order,,,[],group closure exceeded max_group_order
fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,fashion_mnist,mlp,3.0,64,none,monomial_activation,4204,real_fixed_setting_triangle_maps,inferred_residual_group,257,Z/2Z,2,False,truncated_max_group_order,,,[],group closure exceeded max_group_order
