setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,model_index,local_seed,val_loss,val_accuracy,test_loss,test_accuracy,checkpoint_saved,checkpoint_path,checkpoint_metadata_json,preregistration_role,setting_description
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4001,fashion_mnist,mlp2,3,128,none,weight,4001,1,10049,0.426622200012207,0.861,0.48160025777816773,0.8306,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4001,""gamma"":0.5,""local_seed"":10049,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4001,fashion_mnist,mlp2,3,128,none,weight,4001,2,11058,0.4240251808166504,0.8595,0.47909231634140015,0.8342,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4001,""gamma"":0.5,""local_seed"":11058,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4002,fashion_mnist,mlp2,3,128,none,activation,4002,0,9041,0.4197515048980713,0.858,0.479816513967514,0.8312,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4002,""gamma"":0.5,""local_seed"":9041,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4002,fashion_mnist,mlp2,3,128,none,activation,4002,1,10050,0.42160791206359866,0.858,0.4792817277908325,0.8326,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4002,""gamma"":0.5,""local_seed"":10050,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4002,fashion_mnist,mlp2,3,128,none,activation,4002,2,11059,0.42012036514282225,0.863,0.4812016858100891,0.8348,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4002,""gamma"":0.5,""local_seed"":11059,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4002,fashion_mnist,mlp2,3,128,none,weight,4002,0,9041,0.4197515048980713,0.858,0.479816513967514,0.8312,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4002,""gamma"":0.5,""local_seed"":9041,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4002,fashion_mnist,mlp2,3,128,none,weight,4002,1,10050,0.42160791206359866,0.858,0.4792817277908325,0.8326,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4002,""gamma"":0.5,""local_seed"":10050,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4002,fashion_mnist,mlp2,3,128,none,weight,4002,2,11059,0.42012036514282225,0.863,0.4812016858100891,0.8348,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4002,""gamma"":0.5,""local_seed"":11059,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4003,fashion_mnist,mlp2,3,128,none,activation,4003,0,9042,0.4200776557922363,0.861,0.47584352674484254,0.8312,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4003,""gamma"":0.5,""local_seed"":9042,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4003,fashion_mnist,mlp2,3,128,none,activation,4003,1,10051,0.41875892066955567,0.8595,0.47622055153846743,0.8346,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4003,""gamma"":0.5,""local_seed"":10051,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4003,fashion_mnist,mlp2,3,128,none,activation,4003,2,11060,0.423547248840332,0.8545,0.47665683493614197,0.8354,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4003,""gamma"":0.5,""local_seed"":11060,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4003,fashion_mnist,mlp2,3,128,none,weight,4003,0,9042,0.4200776557922363,0.861,0.47584352674484254,0.8312,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4003,""gamma"":0.5,""local_seed"":9042,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4003,fashion_mnist,mlp2,3,128,none,weight,4003,1,10051,0.41875892066955567,0.8595,0.47622055153846743,0.8346,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4003,""gamma"":0.5,""local_seed"":10051,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4003,fashion_mnist,mlp2,3,128,none,weight,4003,2,11060,0.423547248840332,0.8545,0.47665683493614197,0.8354,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4003,""gamma"":0.5,""local_seed"":11060,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4004,fashion_mnist,mlp2,3,128,none,activation,4004,0,9043,0.42698906135559084,0.859,0.4807755736351013,0.8298,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4004,""gamma"":0.5,""local_seed"":9043,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4004,fashion_mnist,mlp2,3,128,none,activation,4004,1,10052,0.42353913497924806,0.859,0.4771120843887329,0.833,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4004,""gamma"":0.5,""local_seed"":10052,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4004,fashion_mnist,mlp2,3,128,none,activation,4004,2,11061,0.4224019603729248,0.8585,0.47964131669998167,0.833,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4004,""gamma"":0.5,""local_seed"":11061,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4004,fashion_mnist,mlp2,3,128,none,weight,4004,0,9043,0.42698906135559084,0.859,0.4807755736351013,0.8298,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4004,""gamma"":0.5,""local_seed"":9043,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4004,fashion_mnist,mlp2,3,128,none,weight,4004,1,10052,0.42353913497924806,0.859,0.4771120843887329,0.833,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4004,""gamma"":0.5,""local_seed"":10052,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4004,fashion_mnist,mlp2,3,128,none,weight,4004,2,11061,0.4224019603729248,0.8585,0.47964131669998167,0.833,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4004,""gamma"":0.5,""local_seed"":11061,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4005,fashion_mnist,mlp2,3,128,none,activation,4005,0,9044,0.42285518646240233,0.861,0.48078350214958193,0.8326,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4005,""gamma"":0.5,""local_seed"":9044,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4005,fashion_mnist,mlp2,3,128,none,activation,4005,1,10053,0.4242428798675537,0.8575,0.4829243946552277,0.8312,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4005,""gamma"":0.5,""local_seed"":10053,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_activation,fashion_mnist_mlp2_N3_W128_none_activation_seed4005,fashion_mnist,mlp2,3,128,none,activation,4005,2,11062,0.4229221687316895,0.8585,0.4796356250762939,0.834,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4005,""gamma"":0.5,""local_seed"":11062,""matching"":""activation"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":2,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",primary_replication,"Prompt 11 supported row: Fashion-MNIST, mlp2, N=3, W=128, no shift, activation matching."
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4005,fashion_mnist,mlp2,3,128,none,weight,4005,0,9044,0.42285518646240233,0.861,0.48078350214958193,0.8326,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4005,""gamma"":0.5,""local_seed"":9044,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":0,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
fashion_mnist_mlp2_N3_W128_none_weight,fashion_mnist_mlp2_N3_W128_none_weight_seed4005,fashion_mnist,mlp2,3,128,none,weight,4005,1,10053,0.4242428798675537,0.8575,0.4829243946552277,0.8312,False,,"{""architecture"":""mlp2"",""augmentation"":""none"",""checkpoint_saved"":false,""dataset"":""fashion_mnist"",""dataset_seed"":314159,""domain_shift"":""none"",""epochs"":10,""experiment_seed"":4005,""gamma"":0.5,""local_seed"":10053,""matching"":""weight"",""max_test_samples"":5000,""max_train_samples"":10000,""model_index"":1,""n_models"":3,""optimizer"":""adamw"",""scheduler"":""cosine"",""step_size"":3,""train_split_seed"":314176,""weight_decay"":0.0001,""width"":128}",neighbor_control,Same primary setting with weight matching.
