scenario,generator_count,detector_mode,period,index,alternating_rank,radical_size,quotient_size,candidate_rank,period_divides_rank,index_divides_rank,decision,selected_method,classification,max_centrality_score,max_phase_residual,notes
heisenberg_d2_k2_rank2,4,commutator_matrix,2.0,4.0,4.0,1.0,16.0,2,True,False,period_divisible_index_obstructed,none,period_divisible_index_obstructed,1.2246467991473532e-16,1.7319121124709866e-16,prime-period rank computation certified rank 4 and index 4 candidate rank is divisible by the period but not by the index
heisenberg_d2_k2_rank4,4,commutator_matrix,2.0,4.0,4.0,1.0,16.0,4,True,True,period_index_lift_success,period_index_projective_morita_lift,central_period_index_lift,1.2246467991473532e-16,1.7319121124709866e-16,prime-period rank computation certified rank 4 and index 4
heisenberg_d3_k2_rank3,4,commutator_matrix,3.0,9.0,4.0,1.0,81.0,3,True,False,period_divisible_index_obstructed,none,period_divisible_index_obstructed,2.9548066628047715e-16,3.040470972244059e-16,prime-period rank computation certified rank 4 and index 9 candidate rank is divisible by the period but not by the index
heisenberg_d3_k2_rank9,4,commutator_matrix,3.0,9.0,4.0,1.0,81.0,9,True,True,period_index_lift_success,period_index_projective_morita_lift,central_period_index_lift,2.9548066628047715e-16,3.040470972244059e-16,prime-period rank computation certified rank 4 and index 9
rank_deficient_d3_four_generators,4,commutator_matrix,3.0,3.0,2.0,9.0,9.0,3,True,True,period_index_lift_success,period_index_projective_morita_lift,central_period_index_lift,2.583903469664147e-16,3.040470972244059e-16,prime-period rank computation certified rank 2 and index 3
shuffled_generators_d2_k3,6,commutator_matrix,2.0,8.0,6.0,1.0,64.0,8,True,True,period_index_lift_success,period_index_projective_morita_lift,central_period_index_lift,1.2246467991473532e-16,1.7319121124709866e-16,prime-period rank computation certified rank 6 and index 8
composite_d4_k1,2,commutator_matrix,4.0,4.0,2.0,1.0,16.0,4,True,True,period_index_lift_success,period_index_projective_morita_lift,central_period_index_lift,1.0605752387249068e-16,1.2246467991473532e-16,composite-period brute-force radical certified radical size 1 and index 4
mixed_period_common_d12_unknown,4,commutator_matrix,12.0,,,,,12,True,,central_projective_index_unknown,none,central_projective_index_unknown,2.583903469664147e-16,3.040470972244059e-16,common period 12 exceeds max_root_order 4; index not certified
noncentral_control,2,commutator_matrix,,,,,,3,,,not_central_projective,best_validation_baseline,random_noncentral,1.0,inf,at least one generator commutator is noncentral
