setting_id,run_id,dataset,architecture,n_models,width,domain_shift,matching,seed,selector,selector_fold,selected_method,selection_reason,selected_val_accuracy,selected_val_loss,selected_test_accuracy,selected_test_loss,greedy_val_accuracy,greedy_test_accuracy,greedy_test_loss,single_best_val_accuracy,single_best_test_accuracy,single_best_test_loss,paired_delta_vs_greedy_soup,paired_delta_vs_single_best_model,paired_loss_delta_vs_greedy_soup,paired_loss_delta_vs_single_best_model,selected_is_single_model,selected_is_extra_capacity,selected_is_no_merge,selected_is_soup,selected_exact_relu_symmetry,selected_parameter_count_multiplier,selected_inference_time_multiplier,false_challenger,is_challenger_selection,validation_safe,test_used_for_selection,mean_cycle_score,max_cycle_score,nonidentity_triangle_fraction,sync_disagreement,pairwise_alignment_residual_mean,activation_assignment_similarity_mean,combined_obstruction_score,monomial_defect_score,linear_mode_connectivity_barrier,c2m3_barrier_delta_vs_git_rebasin,c2m3_barrier_delta_vs_weight_average,monomial_barrier_delta_vs_c2m3
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3010,fashion_mnist,mlp2,3,128,input_noise,activation,3010,greedy_baseline_selector,0,greedy_soup,fixed_greedy_boundary,0.855,0.4357939701080322,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.9100137361600648,0.9100137361600648,1.0,0.2222222222222222,0.2801888684431712,0.6560687098535709,0.6623462790225442,,0.0242689736187458,-0.0242689736187458,0.1217981092631816,0.0238871239125728
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3010,fashion_mnist,mlp2,3,128,input_noise,activation,3010,best_validation_selector,0,greedy_soup,best_validation_accuracy_no_test,0.855,0.4357939701080322,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.9100137361600648,0.9100137361600648,1.0,0.2222222222222222,0.2801888684431712,0.6560687098535709,0.6623462790225442,,0.0242689736187458,-0.0242689736187458,0.1217981092631816,0.0238871239125728
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3010,fashion_mnist,mlp2,3,128,input_noise,activation,3010,obstruction_rule_selector,0,greedy_soup,default_greedy_boundary,0.855,0.4357939701080322,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.9100137361600648,0.9100137361600648,1.0,0.2222222222222222,0.2801888684431712,0.6560687098535709,0.6623462790225442,,0.0242689736187458,-0.0242689736187458,0.1217981092631816,0.0238871239125728
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3010,fashion_mnist,mlp2,3,128,input_noise,activation,3010,logistic_or_tree_selector,0,greedy_soup,logistic_score=0.482840,0.855,0.4357939701080322,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.9100137361600648,0.9100137361600648,1.0,0.2222222222222222,0.2801888684431712,0.6560687098535709,0.6623462790225442,,0.0242689736187458,-0.0242689736187458,0.1217981092631816,0.0238871239125728
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3010,fashion_mnist,mlp2,3,128,input_noise,activation,3010,conservative_lcb_selector,0,greedy_soup,no_positive_validation_lcb,0.855,0.4357939701080322,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.855,0.8258,0.4931014705181122,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.9100137361600648,0.9100137361600648,1.0,0.2222222222222222,0.2801888684431712,0.6560687098535709,0.6623462790225442,,0.0242689736187458,-0.0242689736187458,0.1217981092631816,0.0238871239125728
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3015,fashion_mnist,mlp2,3,128,input_noise,activation,3015,greedy_baseline_selector,0,greedy_soup,fixed_greedy_boundary,0.8545,0.430536376953125,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.875,0.875,1.0,0.2161458333333333,0.2895205716292063,0.6860455766388137,0.6473880080305451,,0.0082196593284606,-0.0057438388466835,0.1073658317327499,0.0054019466042518
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3015,fashion_mnist,mlp2,3,128,input_noise,activation,3015,best_validation_selector,0,greedy_soup,best_validation_accuracy_no_test,0.8545,0.430536376953125,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.875,0.875,1.0,0.2161458333333333,0.2895205716292063,0.6860455766388137,0.6473880080305451,,0.0082196593284606,-0.0057438388466835,0.1073658317327499,0.0054019466042518
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3015,fashion_mnist,mlp2,3,128,input_noise,activation,3015,obstruction_rule_selector,0,greedy_soup,default_greedy_boundary,0.8545,0.430536376953125,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.875,0.875,1.0,0.2161458333333333,0.2895205716292063,0.6860455766388137,0.6473880080305451,,0.0082196593284606,-0.0057438388466835,0.1073658317327499,0.0054019466042518
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3015,fashion_mnist,mlp2,3,128,input_noise,activation,3015,logistic_or_tree_selector,0,greedy_soup,logistic_score=0.459292,0.8545,0.430536376953125,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.875,0.875,1.0,0.2161458333333333,0.2895205716292063,0.6860455766388137,0.6473880080305451,,0.0082196593284606,-0.0057438388466835,0.1073658317327499,0.0054019466042518
fashion_mnist_mlp2_N3_W128_input_noise_activation,fashion_mnist_mlp2_N3_W128_input_noise_activation_seed3015,fashion_mnist,mlp2,3,128,input_noise,activation,3015,conservative_lcb_selector,0,greedy_soup,no_positive_validation_lcb,0.8545,0.430536376953125,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.8545,0.8268,0.4916061694145203,0.0,0.0,0.0,0.0,True,False,False,True,False,1.0,1.0,False,False,True,False,0.875,0.875,1.0,0.2161458333333333,0.2895205716292063,0.6860455766388137,0.6473880080305451,,0.0082196593284606,-0.0057438388466835,0.1073658317327499,0.0054019466042518
