source,setting_id,diagnostic_level,n_models,width,seed,block_size,partition_method,block_assignment,triangle,cycle_score,centrality_score,phase_residual,detected_order_d,scalar_projective_candidate,residual_type,pairwise_feature_alignment_residual,global_feature_alignment_residual,global_sync_residual,max_global_sync_residual,accepted_global_sync,permutation_centrality,pairwise_block_centrality,global_block_centrality,improvement_permutation_to_pairwise_block,improvement_permutation_to_global_block,improvement_pairwise_block_to_global_block,remains_noncentral,expected_outcome,merge_evaluated,block_merge_notes,c2m3_accuracy,monomial_accuracy,greedy_soup_accuracy,ensemble_accuracy
synthetic,planted_recoverable_block_rotations,global_block_synchronization,3,4,-1,2,contiguous,"0,0,1,1",0-1-2,4.023654182875706e-16,4.023654182875706e-16,0.0,1,False,gauge_trivial,0.7374768065979089,0.7374768065979088,2.830929582183921e-16,7.651684148563109e-16,True,,,,,,,True,global gauges recovered,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,,,,
synthetic,planted_pairwise_noisy_global_projection,global_block_synchronization,3,4,-1,2,contiguous,"0,0,1,1",0-1-2,3.672415914451396e-16,2.0596540766976263e-16,0.0,1,False,gauge_trivial,0.6889230272567456,0.7067745184887596,0.03332944459721921,0.059991000404991786,True,,,,,,,True,cycle-consistent projection with nonzero connection residual,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,,,,
synthetic,planted_noncentral_block_holonomy,pairwise_block_procrustes,3,2,-1,2,contiguous,"0,0",0-1-2,0.778836684617301,0.7173560908995228,0.0,1,False,noncentral_holonomy,,,0.1772514968297522,0.26587724524462875,False,,,,,,,True,noncentral holonomy rejected,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,,,,
synthetic,planted_scalar_block_phase_mu2,pairwise_block_procrustes,3,4,-1,2,contiguous,"0,0,1,1",0-1-2,2.0,0.0,1.2246467991473532e-16,2,True,central_projective_candidate,,,0.6696354347929158,1.414213562373095,False,,,,,,,False,central mu2 phase detected before projection,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,,,,
real_mnist,mnist_mlp_N3_W16_S1700,permutation,3,16,1700,0,none,,0-1-2,1.3228756555322954,0.9921567416492215,0.0,1,False,noncentral_holonomy,,,,,False,0.9921567416492215,,,,,,True,,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,0.497,0.555,0.709,0.731
real_mnist,mnist_mlp_N3_W16_S1700,monomial_positive_scale,3,16,1700,0,none,,0-1-2,1.0255082992342364,0.3649568625442359,0.0,1,False,noncentral_holonomy,,,,,False,0.9921567416492215,,,,,,True,,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,0.497,0.555,0.709,0.731
real_mnist,mnist_mlp_N3_W16_S1700,low_rank_GL,3,16,1700,0,none,,0-1-2,0.772627169507961,0.5010890897201312,0.0,1,False,noncentral_holonomy,,,,,False,0.9921567416492215,,,,,,True,,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,0.497,0.555,0.709,0.731
real_mnist,mnist_mlp_N3_W16_S1700,pairwise_block_procrustes,3,16,1700,2,contiguous,"0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7",0-1-2,0.7236254277746669,0.6746003862598228,0.0,1,False,noncentral_holonomy,0.7951518656793547,0.7985105131144244,0.10411219632101489,1.414213562373095,True,0.9921567416492215,0.6746003862598228,2.591193788414246e-16,0.31755635538939875,0.9921567416492213,0.6746003862598225,True,,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,0.497,0.555,0.709,0.731
real_mnist,mnist_mlp_N3_W16_S1700,global_block_synchronization,3,16,1700,2,contiguous,"0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7",0-1-2,2.591193788414246e-16,2.591193788414246e-16,0.0,1,False,gauge_trivial,0.7951518656793547,0.7985105131144244,0.10411219632101489,1.414213562373095,True,0.9921567416492215,0.6746003862598228,2.591193788414246e-16,0.31755635538939875,0.9921567416492213,0.6746003862598225,True,,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,0.497,0.555,0.709,0.731
real_mnist,mnist_mlp_N3_W16_S1700,pairwise_block_procrustes,3,16,1700,2,activation_correlation,"2,0,1,3,4,2,5,4,6,5,7,0,1,7,6,3",0-1-2,0.7396459343513375,0.6872066946421396,0.0,1,False,noncentral_holonomy,0.8119833934584196,0.8314060617551192,0.1179506364780069,1.4142135623730954,True,0.9921567416492215,0.6872066946421396,4.542696095891199e-16,0.30495004700708195,0.9921567416492211,0.6872066946421391,True,,False,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,0.497,0.555,0.709,0.731
