setting_id,dataset,architecture,n_models,width,domain_shift,model_index,val_loss,val_accuracy,test_loss,test_accuracy,checkpoint
mnist_mlp_N2_W8_none,mnist,mlp,2,8,none,0,2.3288156609786186,0.09210526315789473,2.293481945991516,0.125,<repository-root>/reports/checkpoints/mnist_mlp_N2_W8_none/model_0.pt
mnist_mlp_N2_W8_none,mnist,mlp,2,8,none,1,2.3110486080771997,0.14473684210526316,2.29392671585083,0.1328125,<repository-root>/reports/checkpoints/mnist_mlp_N2_W8_none/model_1.pt
mnist_mlp_N2_W8_input_noise,mnist,mlp,2,8,input_noise,0,2.3286632738615336,0.09210526315789473,2.2934038639068604,0.12890625,<repository-root>/reports/checkpoints/mnist_mlp_N2_W8_input_noise/model_0.pt
mnist_mlp_N2_W8_input_noise,mnist,mlp,2,8,input_noise,1,2.3150231210809005,0.13157894736842105,2.2958667278289795,0.12890625,<repository-root>/reports/checkpoints/mnist_mlp_N2_W8_input_noise/model_1.pt
mnist_mlp_N2_W16_none,mnist,mlp,2,16,none,0,2.209423065185547,0.3684210526315789,2.244154453277588,0.265625,<repository-root>/reports/checkpoints/mnist_mlp_N2_W16_none/model_0.pt
mnist_mlp_N2_W16_none,mnist,mlp,2,16,none,1,2.2213484111585116,0.32894736842105265,2.255375623703003,0.23046875,<repository-root>/reports/checkpoints/mnist_mlp_N2_W16_none/model_1.pt
mnist_mlp_N2_W16_input_noise,mnist,mlp,2,16,input_noise,0,2.2090369776675574,0.34210526315789475,2.245909571647644,0.2578125,<repository-root>/reports/checkpoints/mnist_mlp_N2_W16_input_noise/model_0.pt
mnist_mlp_N2_W16_input_noise,mnist,mlp,2,16,input_noise,1,2.2260975084806742,0.3157894736842105,2.257497191429138,0.22265625,<repository-root>/reports/checkpoints/mnist_mlp_N2_W16_input_noise/model_1.pt
mnist_mlp_N3_W8_none,mnist,mlp,3,8,none,0,2.3097411707827917,0.17105263157894737,2.2887574434280396,0.171875,<repository-root>/reports/checkpoints/mnist_mlp_N3_W8_none/model_0.pt
mnist_mlp_N3_W8_none,mnist,mlp,3,8,none,1,2.318876166092722,0.17105263157894737,2.318070411682129,0.140625,<repository-root>/reports/checkpoints/mnist_mlp_N3_W8_none/model_1.pt
mnist_mlp_N3_W8_none,mnist,mlp,3,8,none,2,2.314929962158203,0.10526315789473684,2.281921625137329,0.12890625,<repository-root>/reports/checkpoints/mnist_mlp_N3_W8_none/model_2.pt
mnist_mlp_N3_W8_input_noise,mnist,mlp,3,8,input_noise,0,2.3109371787623356,0.17105263157894737,2.2888294458389282,0.1640625,<repository-root>/reports/checkpoints/mnist_mlp_N3_W8_input_noise/model_0.pt
mnist_mlp_N3_W8_input_noise,mnist,mlp,3,8,input_noise,1,2.322527232923006,0.18421052631578946,2.3193345069885254,0.140625,<repository-root>/reports/checkpoints/mnist_mlp_N3_W8_input_noise/model_1.pt
mnist_mlp_N3_W8_input_noise,mnist,mlp,3,8,input_noise,2,2.3188372160259045,0.07894736842105263,2.2840925455093384,0.125,<repository-root>/reports/checkpoints/mnist_mlp_N3_W8_input_noise/model_2.pt
mnist_mlp_N3_W16_none,mnist,mlp,3,16,none,0,2.224728634482936,0.23684210526315788,2.2670342922210693,0.15625,<repository-root>/reports/checkpoints/mnist_mlp_N3_W16_none/model_0.pt
mnist_mlp_N3_W16_none,mnist,mlp,3,16,none,1,2.2596222726922286,0.21052631578947367,2.282854676246643,0.1328125,<repository-root>/reports/checkpoints/mnist_mlp_N3_W16_none/model_1.pt
mnist_mlp_N3_W16_none,mnist,mlp,3,16,none,2,2.2745855231034127,0.18421052631578946,2.2762041091918945,0.125,<repository-root>/reports/checkpoints/mnist_mlp_N3_W16_none/model_2.pt
mnist_mlp_N3_W16_input_noise,mnist,mlp,3,16,input_noise,0,2.2255447789242395,0.23684210526315788,2.267542004585266,0.15234375,<repository-root>/reports/checkpoints/mnist_mlp_N3_W16_input_noise/model_0.pt
mnist_mlp_N3_W16_input_noise,mnist,mlp,3,16,input_noise,1,2.2672000684236226,0.17105263157894737,2.284946322441101,0.140625,<repository-root>/reports/checkpoints/mnist_mlp_N3_W16_input_noise/model_1.pt
mnist_mlp_N3_W16_input_noise,mnist,mlp,3,16,input_noise,2,2.275659862317537,0.2236842105263158,2.27760910987854,0.12109375,<repository-root>/reports/checkpoints/mnist_mlp_N3_W16_input_noise/model_2.pt
cifar10_cnn_N2_W8_none,cifar10,cnn,2,8,none,0,2.3223658109966077,0.13157894736842105,2.313339948654175,0.1328125,<repository-root>/reports/checkpoints/cifar10_cnn_N2_W8_none/model_0.pt
cifar10_cnn_N2_W8_none,cifar10,cnn,2,8,none,1,2.309430774889494,0.09210526315789473,2.328097343444824,0.07421875,<repository-root>/reports/checkpoints/cifar10_cnn_N2_W8_none/model_1.pt
cifar10_cnn_N2_W8_input_noise,cifar10,cnn,2,8,input_noise,0,2.322332683362459,0.13157894736842105,2.313340663909912,0.1328125,<repository-root>/reports/checkpoints/cifar10_cnn_N2_W8_input_noise/model_0.pt
cifar10_cnn_N2_W8_input_noise,cifar10,cnn,2,8,input_noise,1,2.3093801799573397,0.09210526315789473,2.3280664682388306,0.07421875,<repository-root>/reports/checkpoints/cifar10_cnn_N2_W8_input_noise/model_1.pt
cifar10_cnn_N2_W16_none,cifar10,cnn,2,16,none,0,2.2988006190249792,0.13157894736842105,2.310513973236084,0.1328125,<repository-root>/reports/checkpoints/cifar10_cnn_N2_W16_none/model_0.pt
cifar10_cnn_N2_W16_none,cifar10,cnn,2,16,none,1,2.2740699366519324,0.10526315789473684,2.2994662523269653,0.125,<repository-root>/reports/checkpoints/cifar10_cnn_N2_W16_none/model_1.pt
cifar10_cnn_N2_W16_input_noise,cifar10,cnn,2,16,input_noise,0,2.2988229048879525,0.13157894736842105,2.3105674982070923,0.1328125,<repository-root>/reports/checkpoints/cifar10_cnn_N2_W16_input_noise/model_0.pt
cifar10_cnn_N2_W16_input_noise,cifar10,cnn,2,16,input_noise,1,2.273990229556435,0.10526315789473684,2.2994749546051025,0.125,<repository-root>/reports/checkpoints/cifar10_cnn_N2_W16_input_noise/model_1.pt
cifar10_cnn_N3_W8_none,cifar10,cnn,3,8,none,0,2.302621138723273,0.13157894736842105,2.310776948928833,0.12890625,<repository-root>/reports/checkpoints/cifar10_cnn_N3_W8_none/model_0.pt
cifar10_cnn_N3_W8_none,cifar10,cnn,3,8,none,1,2.342465450889186,0.06578947368421052,2.322785258293152,0.09765625,<repository-root>/reports/checkpoints/cifar10_cnn_N3_W8_none/model_1.pt
cifar10_cnn_N3_W8_none,cifar10,cnn,3,8,none,2,2.315363231458162,0.09210526315789473,2.2988256216049194,0.125,<repository-root>/reports/checkpoints/cifar10_cnn_N3_W8_none/model_2.pt
cifar10_cnn_N3_W8_input_noise,cifar10,cnn,3,8,input_noise,0,2.3025679337350944,0.13157894736842105,2.310783624649048,0.12890625,<repository-root>/reports/checkpoints/cifar10_cnn_N3_W8_input_noise/model_0.pt
cifar10_cnn_N3_W8_input_noise,cifar10,cnn,3,8,input_noise,1,2.3426828886333264,0.06578947368421052,2.3227239847183228,0.09765625,<repository-root>/reports/checkpoints/cifar10_cnn_N3_W8_input_noise/model_1.pt
cifar10_cnn_N3_W8_input_noise,cifar10,cnn,3,8,input_noise,2,2.315156836258738,0.09210526315789473,2.2989357709884644,0.125,<repository-root>/reports/checkpoints/cifar10_cnn_N3_W8_input_noise/model_2.pt
cifar10_cnn_N3_W16_none,cifar10,cnn,3,16,none,0,2.3170390881990133,0.10526315789473684,2.3133416175842285,0.0859375,<repository-root>/reports/checkpoints/cifar10_cnn_N3_W16_none/model_0.pt
